reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
HSST,b4013,metA,ECDH1ME8569_3869,3.2429483657208334e-06,3.2429483657208333,2.2062010930183904,0.0006269316296880414,1.036747272702443,1.0748449074559536,1.036747272702443,1.036747272702443
HSTPT,b2021,hisC,ECDH1ME8569_1957,3.97848079594414e-06,3.97848079594414,1.2726893134315824,0.0004934837239802585,2.7057914825125575,7.321307546837504,2.7057914825125575,2.7057914825125575
I4FE4SR,b2529,iscU,ECDH1ME8569_2456,1.1352913948069265e-05,11.352913948069265,0.06437243515845209,6.274098114704725e-05,11.288541512910813,127.43116948871075,11.288541512910813,11.288541512910813
ICDHyr,b1136,icd,ECDH1ME8569_1071,3.2195172044708184e-05,32.19517204470819,1052.8912375055859,9.859339017048241e-06,1020.6960654608777,1041820.4580473163,1020.6960654608777,-1020.6960654608777
ICYSDS,b2530,iscS,ECDH1ME8569_2457,1.2873431638154276e-05,12.873431638154276,0.03743353036219338,4.751834880290193e-05,12.835998107792083,164.76284742324194,12.835998107792083,12.835998107792083
IGPS,b1262,trpC,ECDH1ME8569_1202,1.8347964505556066e-06,1.8347964505556067,1.5578255075524319,0.0008581381193921854,0.2769709430031748,0.07671290326806791,0.2769709430031748,0.2769709430031748
IPMD,b0073,leuB,ECDH1ME8569_0071,8.915171056584879e-06,8.915171056584878,31.84624224830279,0.00011402954706858693,22.931071191717912,525.8340259996352,22.931071191717912,-22.931071191717912
IPPS,b0074,leuA,ECDH1ME8569_0072,5.383628621593036e-06,5.383628621593036,10.723485240747038,0.0003419556116368772,5.339856619154003,28.514068713122818,5.339856619154003,-5.339856619154003
K2L4Aabcpp,b0914,msbA,ECDH1ME8569_0865,1.0785790518083713e-06,1.0785790518083713,0.40977683550150407,0.0009109828059979698,0.6688022163068672,0.4472964045369776,0.6688022163068672,0.6688022163068672
KARA2,b3774,ilvC,ECDH1ME8569_3655,3.460310917334048e-05,34.60310917334048,11.952618565243915,8.50743153486023e-06,22.65049060809656,513.0447247874705,22.65049060809656,22.65049060809656
KDOCT2,b0918,kdsB,ECDH1ME8569_0869,1.0780342546512547e-06,1.0780342546512547,6.610504373639462,0.0009176258905999179,5.532470118988208,30.608225617497393,5.532470118988208,-5.532470118988208
KDOPP,b3198,kdsC,ECDH1ME8569_3087,8.243088035913852e-08,0.08243088035913852,1.0664147867145226,0.0008495399095110995,0.9839839063553841,0.9682243279664013,0.9839839063553841,-0.9839839063553841
KDOPS,b1215,kdsA,ECDH1ME8569_1154,4.83349216310118e-06,4.83349216310118,0.9923096382814306,0.00037017919060184507,3.8411825248197498,14.754683188980627,3.8411825248197498,3.8411825248197498
LPADSS,b0182,lpxB,ECDH1ME8569_0175,1.0927030997217691e-07,0.1092703099721769,0.789988494136823,0.000854158237817863,0.6807181841646461,0.4633772462524131,0.6807181841646461,-0.6807181841646461
MDH,b3236,mdh,ECDH1ME8569_3124,3.1973528331401056e-05,31.973528331401056,1130.2403879708302,9.859339017048241e-06,1098.2668596394292,1206190.0949822536,1098.2668596394292,-1098.2668596394292
MEPCT,b2747,ispD,ECDH1ME8569_2657,3.6863362131747355e-07,0.36863362131747357,0.33077799638156224,0.0008854991334884401,0.037855624935911325,0.0014330483392883914,0.037855624935911325,0.037855624935911325
METAT,b2942,metK,ECDH1ME8569_2842,1.3188049262789714e-05,13.188049262789715,0.1243359735247594,4.377650155187077e-05,13.063713289264955,170.6606049041178,13.063713289264955,13.063713289264955
MOAT,b3633,waaA,ECDH1ME8569_3518,5.485437198781638e-07,0.5485437198781639,1.1931742054596888,0.0008994538984830316,0.6446304855815249,0.4155484629410726,0.6446304855815249,-0.6446304855815249
MOAT2,b3633,waaA,ECDH1ME8569_3518,5.485437198781638e-07,0.5485437198781639,1.6142272891655889,0.0008991023915994413,1.0656835692874251,1.1356814698491862,1.0656835692874251,-1.0656835692874251
MOCOS,b0827,moeA,ECDH1ME8569_0780,1.2728767258595469e-06,1.2728767258595468,0.019408120679888455,0.0009021806057645231,1.2534686051796584,1.5711835441710384,1.2534686051796584,1.2534686051796584
MOHMT,b0134,panB,ECDH1ME8569_0128,4.213372858378429e-06,4.2133728583784285,0.07680816480228254,0.00045026242828334194,4.136564693576146,17.111167464140713,4.136564693576146,4.136564693576146
MPTAT,b0009,mog,ECDH1ME8569_0009,1.3008193227803616e-07,0.13008193227803616,0.04430016518366504,0.0008589569533268556,0.08578176709437113,0.007358511565832933,0.08578176709437113,0.08578176709437113
MPTSS,b0826,moeB,ECDH1ME8569_0779,1.4564666350772484e-07,0.14564666350772484,0.05330730440495359,0.0008609644707121237,0.09233935910277125,0.008526557239510542,0.09233935910277125,0.09233935910277125
MTHFC,b0529,folD,ECDH1ME8569_0514,3.174898649461087e-06,3.174898649461087,84.19182934806025,0.0003793181291741501,81.01693069859917,6563.743059821621,81.01693069859917,-81.01693069859917
MTHFD,b0529,folD,ECDH1ME8569_0514,3.174898649461087e-06,3.174898649461087,62.77654644284179,0.0005713357266866221,59.60164779338071,3552.3564196862035,59.60164779338071,-59.60164779338071
MTHFR2,b3941,metF,ECDH1ME8569_3810,5.872358849449992e-06,5.872358849449992,14.65612617698385,0.0002997320676917315,8.783767327533859,77.15456846425131,8.783767327533859,-8.783767327533859
NADS1,b1740,nadE,ECDH1ME8569_1684,4.951373149844976e-06,4.951373149844976,0.16975212947906498,0.0003520289922289237,4.781621020365911,22.863899582405136,4.781621020365911,4.781621020365911
