reactions,data_type,kcat,MW,kcat_MW
GTHOr,ours,20.466305,48771.94720000004,1510.677802095216
HACD8_num1,ours,20.466305,79592.95340000032,925.6937310734305
HADPCOADH3,ours,20.466305,51732.00010000003,1424.2383410186367
HACD5_num1,ours,20.466305,79592.95340000032,925.6937310734305
HACD6_num1,ours,20.466305,79592.95340000032,925.6937310734305
GTHRDHpp,ours,20.466265,61767.21370000017,1192.8424415880654
HCYSMT2,ours,20.466265,33422.42890000004,2204.46437990627
HCINNMt2rpp,ours,20.466265,41550.29410000004,1773.2378457460768
GTHPi_copy1,ours,20.466232,20469.3199,3599.456921868714
GALUi,ours,20.433792,32941.8982,2233.0726284619504
G3PD6,ours,20.433792,58957.58900000012,495.6254296174583
PROabcpp,ours,20.349257,44162.282500000045,621.8596976984132
HSTPT,ours,20.315258,39359.66870000007,1858.1185059619131
CTPS2,ours,20.081614,60373.441100000055,1197.4439270449325
PLIPA2E120pp,ours,20.032534,33162.71369999999,2174.6447848747675
SELNPS,ours,19.934566,36686.86010000001,1956.1346325192867
NADH18pp,ours,19.9186,100298.05420000057,132.69041785193656
NADH9,ours,19.9186,47358.13240000004,1514.1424791489442
HKNTDH,ours,19.879753,31937.101000000024,2240.8768660624505
HMPK1_num1,ours,19.80654,28633.28150000001,2490.2330527501704
PUNP4_num1,ours,19.662369,29834.296999999995,2372.58911781967
3OAS100_num1,ours,19.312939,42612.87280000006,1631.5863219623134
2AGPGAT120,ours,19.312939,80699.04430000036,861.5539502739774
ASNt2rpp,ours,19.155834,54232.43370000004,1271.5822930144466
AGM3PH,ours,19.155796,37594.31700000004,1834.3428236773107
HSST,ours,19.039042,35726.83990000002,1918.4610615393376
PMPK,ours,18.659096,28633.28150000001,2345.967422560351
MCITS,ours,18.597609,43101.66680000005,1553.3365034504866
MCOATA,ours,18.597609,8639.416499999992,1630.722980916176
FEENTERtonex,ours,18.358978,15526.81839999999,440.5752404313438
ALAALAabcpp_num1,ours,18.358978,34620.53030000002,334.3474164214432
PSSA120,ours,18.150106,141708.5374000001,461.0899441828546
DSBAO2,ours,17.991365,23104.262199999983,1497.6777073763683
FACOAE180,ours,17.456377,31965.918600000045,1965.9362205846294
FRD3,ours,17.456377,15014.85349999998,518.4407943744621
EGMEACPR,ours,17.456377,27863.63610000001,2255.375320523942
FHL_num1,ours,17.456377,63382.75620000021,134.4034395491381
FACOAE181,ours,17.456377,31965.918600000045,1965.9362205846294
ENLIPAabctex,ours,17.456377,40357.1724,422.88689981990035
FDMO,ours,17.359358,41735.731200000046,1497.3665730337063
G2PPpp,ours,17.359358,26103.21480000001,2394.099319904458
G2PP,ours,17.359358,29171.7701,2142.2659161844963
CTBTabcpp,ours,16.930052,37619.23870000002,517.3710774176382
HEPT4,ours,16.773394,41728.92550000005,1447.059028634704
HEXt2rpp,ours,16.773361,47527.18760000007,1270.516995623783
HEX1,ours,16.773361,34722.67050000003,1739.0396167829301
HETZK,ours,16.773361,27338.87259999998,2208.726763663255
HEX7,ours,16.773361,32499.37440000002,1858.0080606105441
HSDy_num1,ours,16.773333,88886.59570000051,679.3375123038901
GUAD,ours,16.773333,50243.629500000025,1201.8239804908994
14GLUCANabcpp,ours,16.689098,43387.08860000004,346.05786621078965
ACACt2pp,ours,16.661268,47527.18760000007,1262.0263859248407
ACOATA,ours,16.66121,8639.416499999992,1422.881137480582
AGPAT120,ours,16.60476,27452.833700000017,2177.4486617022694
G3PIabcpp,ours,16.518808,48448.15090000003,389.35428517831036
GHMT2r,ours,16.518808,45316.05480000002,1312.2878649180195
LPLIPAL2ATG120,ours,16.392742,38977.781800000055,1514.0387285969134
3OAR160,ours,16.319431,25560.01369999998,2298.5101764636397
3OAR141,ours,16.319431,25560.01369999998,2298.5101764636397
GAMptspp,ours,16.229534,9119.2594,351.2926700452526
2AGPEAT140,ours,16.005928,80699.04430000036,714.0275488987389
3OAR80,ours,16.00587,25560.01369999998,2254.3466790082375
G3PSabcpp,ours,15.991054,31499.36120000001,376.9149323254899
GLCNt2rpp_num1,ours,15.991028,47137.38670000007,1221.2747636262134
HXAND,ours,15.886596,81319.90470000042,440.6214618628553
3OAS140_num1,ours,15.79894,42612.87280000006,1334.7183670752167
3OAS141,ours,15.798909,42612.87280000006,1334.71574814829
G3PT,ours,15.791127,30412.456100000025,1869.2359805823098
GLUt4pp,ours,15.791127,42424.63480000005,1339.9775264535672
G1PACT,ours,15.646076,49189.49640000002,1145.0792897322688
FUSAtpp,ours,15.646076,53740.044600000125,269.52469380584216
FUMt2_3pp_num1,ours,15.646076,45750.16070000011,1231.162311523856
PAPA141,ours,15.50097,29020.883700000028,1922.8736304814852
TDSR1,ours,15.412835,25621.389599999995,634.7393501314275
5DOAN,ours,15.391904,24353.6853,2275.2554168875627
AACPS5,ours,15.391904,8639.416499999992,620.2351585622996
SGDS,ours,15.3808,35799.75100000005,1546.6833833564913
RNTR3c2_num1,ours,15.144899,19736.6991,376.1288870126508
PRATPP,ours,15.144899,22755.554000000004,2395.9705133964217
ASPO4,ours,15.098262,60336.71520000015,900.8402764358617
SHCHD2,ours,15.094408,49950.81540000002,1087.867502559327
CITt7pp,ours,14.9313755,53091.92080000001,1012.4506891074845
ADNt2pp_copy1_num1,ours,14.923909,46388.71720000007,1158.1711166610987
HPPK2,ours,14.909599,18078.5667,2968.9608302852903
