reactions,data_type,kcat,MW,kcat_MW
THDPS,ours,6775.507849130117,29891.73429999999,816005.789830282
TMAOR1pp,ours,6170.421513920867,43606.071400000044,160896.5426751404
TMAOR2pp,ours,6170.421513920867,43606.071400000044,160896.5426751404
FALDH2,ours,5921.947397693842,39358.55440000008,541661.4242238984
SDPDS,ours,5334.7106861409775,41268.53570000004,465365.63859976013
TKT2,ours,4408.78337766644,73041.82930000033,217294.94334555382
THRD,ours,4285.16879892508,37238.64480000004,414263.40187681245
GHMT2r,ours,4020.9618192544544,45316.05480000002,319433.42405252875
TKT1,ours,3919.002035989124,73041.82930000033,193155.17512046735
TKT2_reverse,ours,3850.5723986318753,73041.82930000033,189782.4954265581
TKT1_reverse,ours,3850.5723986318753,73041.82930000033,189782.4954265581
ALCD2x_reverse_num3,ours,3465.492476899806,39358.55440000008,316977.41715938825
GHMT2r_reverse,ours,3310.3453654124482,45316.05480000002,262980.60076237726
ACKr_num2,ours,2908.465143907754,43289.950100000045,241868.48203523114
LGTHL,ours,2702.2228688191035,14919.668699999982,652025.3581601838
TMAOR1,ours,2642.4264717275223,22751.54820000001,40820.20410232737
FBA3_reverse,ours,2486.7014471218868,39146.79310000004,228680.93401088286
PPPGO3,ours,1937.296800335272,21226.0465,328571.24293998786
MDH,ours,1866.8948122740087,32336.896699999983,207837.54812769138
GLCURt2rpp_num1,ours,1857.2971599464747,33668.87360000001,198589.0545446494
GLCURt2rpp_reverse_num1,ours,1857.0630912445963,33668.87360000001,198564.0270567455
THFAT,ours,1770.383620310177,45316.05480000002,140642.89270646384
ALR2_num4,ours,1570.8564218314568,38831.70450000006,145630.56634800145
MALTHXabcpp,ours,1480.7401615756778,40989.96800000002,30703.98296705424
MALTPTabcpp,ours,1466.0842260872837,40989.96800000002,30400.08387302071
FBA_reverse_num3,ours,1451.8775304036606,39146.79310000004,133516.9165990553
MALTTTRabcpp,ours,1444.674001647666,43387.08860000004,29956.130785522026
MALTTRabcpp,ours,1411.7327131604447,32225.00920000001,29273.074576964686
MDH_reverse,ours,1383.4396514899706,32336.896699999983,154015.48242456722
MALTabcpp,ours,1349.335714329174,43387.08860000004,27979.237589878467
GLNTRS,ours,1286.3787166483528,63477.14480000018,72954.81538315909
CINNDO,ours,1217.9457859225854,11328.653099999983,34526.095239662674
MTRPOX,ours,1206.5318280714907,40901.496100000055,106194.51597657724
MCPST,ours,1100.5727909164307,30811.44880000002,128590.57920376492
PHETA1_num2,ours,1086.632339517552,43572.83760000009,89777.8670779793
ALCD19,ours,1075.3606492597544,39358.55440000008,98359.7694669169
ALR2_num3,ours,1060.5001926382533,30986.260200000008,123209.46990233145
GALKr_num2,ours,1039.0680148916665,41441.64150000006,90262.95094054115
DSBCGT,ours,984.8174112890027,25621.389599999995,138374.33238361162
PPCDC,ours,975.85003173703,43437.64430000001,80875.93539811982
DHFS,ours,957.3664729392393,45405.13430000011,75905.9378573681
ACCOAC,ours,954.4476712650098,33321.56119999999,25533.280975823687
GRXR_num1,ours,856.369053160798,24349.92030000001,126609.39146395776
ASR,ours,855.6210474623704,15830.087399999986,76660.90543990945
ALCD19_reverse,ours,818.887436804119,39358.55440000008,74900.99210795258
UAGPT3,ours,807.2730013133548,37814.274400000046,76854.12058913059
GLYBabcpp,ours,783.5258063219233,32608.876199999984,21099.50937363956
LCADi,ours,731.351037207704,52272.17150000008,50368.3634789829
ASPTA_reverse,ours,717.7644184256475,43572.83760000009,59301.89651757555
APRAUR,ours,716.764356909931,40337.85500000001,63968.49026493231
PHYTSpp,ours,704.0430245679759,47056.27350000005,53862.21007162224
OCBT_reverse_num1,ours,686.5865982094672,36906.69700000006,66971.90359663121
OCBT_reverse_num2,ours,669.0365422883032,36826.74470000008,65401.695747435595
UGLYCH,ours,666.7978855430789,18169.33249999999,132116.7075320508
DHPPDA2,ours,654.4547680158372,40337.85500000001,58407.5966572098
BTS5,ours,622.8184995933015,38647.68880000006,58015.02413608448
ACODA,ours,622.425997440684,42346.84509999999,52913.825941344156
ALR2_num1,ours,602.4910380144629,31109.242900000023,69721.00683466216
PPNCL2,ours,599.6578232737941,43437.64430000001,49698.09478792703
URDGLYCD,ours,573.5402264117222,37966.6857,54383.06707614986
PPPNDO,ours,563.9637206897632,43977.69430000003,15987.136174127643
GALKr_reverse_num2,ours,553.8937245540664,41441.64150000006,48116.27474733683
NACODA,ours,550.9186841659026,42346.84509999999,46834.829331766436
GLUDy,ours,546.235018339031,48580.831000000064,40477.818628102694
PPNDH,ours,524.2911154512692,43110.836000000025,43781.29005952396
ACKr_reverse_num2,ours,512.5197652173493,43289.950100000045,42621.23542578202
HCO3E_reverse_num2,ours,497.63420586224464,23763.997000000003,75386.44029891439
ASPTA,ours,489.426184609673,43572.83760000009,40436.527929840835
TYRTA_num2,ours,475.77903915402584,43572.83760000009,39308.996964533
AMPTASECG_num3,ours,473.1008092071436,54879.20500000006,31034.759216094968
GLUDy_reverse,ours,451.1635451442146,48580.831000000064,33432.7085207573
UACGAMPpp,ours,422.9396634485968,60823.23910000007,25032.911941957835
UACGALPpp,ours,422.9396634485968,60823.23910000007,25032.911941957835
NTRIR4pp,ours,412.55409688291115,35041.793700000024,11081.42307471605
FHL_num1,ours,410.08658594100234,34358.84780000001,3157.416207465841
ALCD2x_num3,ours,394.39550504477126,39358.55440000008,36074.08452382523
DSBGGT,ours,383.8913512532417,27494.67260000001,50264.605242532314
UGLCURPpp,ours,378.44351711110465,60823.23910000007,22399.278331100508
FRD3,ours,376.24139380869826,15014.85349999998,11174.076217690324
FRD2,ours,375.66687827701526,13106.770899999983,11157.013554078843
TYRTA_reverse_num2,ours,375.59263283754484,43572.83760000009,31031.56812112596
PHETA1_reverse_num2,ours,369.03006317389645,43572.83760000009,30489.36678445804
UDPGALPpp,ours,361.0785702007155,60823.23910000007,21371.48353091531
UDPGPpp,ours,360.49675137084984,60823.23910000007,21337.046894220042
GF6PTA,ours,358.47586413024254,66893.53170000012,19292.046302122075
FUM_num2,ours,346.07304543853,50488.33450000006,24676.253948894006
ASNt2rpp,ours,339.37203898937815,54232.43370000004,22527.83541155669
ASNt2rpp_reverse,ours,338.9273985274573,54232.43370000004,22498.319759137885
PPC,ours,324.5480626099471,99061.43350000068,11794.428811650516
SUCDi,ours,322.74278049438396,14298.97849999999,9816.682801003142
GCALDD,ours,321.8988276981906,52272.17150000008,22169.268015075373
TGBPA_reverse_num1,ours,310.2938171757103,47191.86040000006,14232.721684909404
ABUTD,ours,286.5918441443534,50829.40480000006,20297.909113420723
HEX1,ours,282.8826497631405,34722.67050000003,29328.89447968309
AMPTASECG_num1,ours,282.48133421699606,52914.774700000016,19218.314902532988
ACKr_num1,ours,276.38241083414727,43383.618700000006,22934.386499273976
BSORy,ours,275.82934170470435,85849.65890000053,11566.564653373707
CHLabcpp,ours,271.48940476699386,41138.05670000002,7310.918408182534
BSORx,ours,265.04747766250523,85849.65890000053,11114.44042773026
GLYCL,ours,258.9704791293943,50687.87920000004,4460.301480718569
4HTHRS,ours,250.03707840673042,47113.25360000006,19105.738056355087
ALCD2x_reverse_num1,ours,248.93954038123897,35379.17940000002,25330.783827407253
CYANSTpp,ours,247.658073786756,11475.176599999995,77695.45486840891
DDGLCNt2rpp_reverse,ours,245.62225708621125,33668.87360000001,26262.83658953058
DDGLCNt2rpp,ours,245.62224722374646,33668.87360000001,26262.83553499951
THRS,ours,238.17627053151344,47113.25360000006,18199.43451991707
