reactions,data_type,kcat,MW,kcat_MW
ACACT2r_num1,ours,54.75284455626381,46529.971200000095,4236.199492909836
ACACT1r_reverse_num2,ours,54.523454371619316,46529.971200000095,4218.45169201027
AB6PGH,ours,54.40888148000001,55360.13120000004,3538.1414220347783
MDDCP2pp_num4,ours,54.27873013048907,43345.53450000004,4508.040579584052
E4PD_num2,ours,54.245330801702856,35532.06830000002,5495.970266558623
ACACT2r_reverse_num1,ours,54.19900147107548,46529.971200000095,4193.348937552563
ECOAH4_reverse_num1,ours,54.07580002196154,79592.95340000032,2445.8557166577107
HACD4_reverse_num1,ours,53.90974506029402,79592.95340000032,2438.345028381089
ACACT7r_num1,ours,53.73346262470797,46529.971200000095,4157.330435849234
ACACT6r_num1,ours,53.73346262470797,46529.971200000095,4157.330435849234
ACACT4r_num1,ours,53.73346262470797,46529.971200000095,4157.330435849234
ACACT3r_num1,ours,53.73346015892681,46529.971200000095,4157.330245073011
RMK,ours,53.70578989440678,54068.42650000009,3575.854822034891
ACACT8r_reverse_num1,ours,53.61502286842845,46529.971200000095,4148.166812670239
TGBPA_reverse_num2,ours,53.59104831280859,30815.56650000002,2475.501166023015
OXCDC,ours,53.48203494879211,60580.53590000012,3178.1713871509546
ECOAH3_reverse_num1,ours,53.155670446655655,79592.95340000032,2404.238132065088
DXPRIi,ours,53.154600076640854,43387.53750000009,4410.403800305714
LIPATPT,ours,53.12268540824843,37925.43480000006,5042.570203300452
