reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
GART,b1849,purT,ECDH1ME8569_1795,2.7978462795299677e-06,2.797846279529968,0.13008346006038018,0.005685963313118902,2.667762819469588,7.116958460944325,2.667762819469588,2.667762819469588
GCALDD,b1415,aldA,ECDH1ME8569_1358,4.890240115602106e-06,4.890240115602106,0.014920118272996835,0.0025803166817442314,4.875319997329109,23.768745076357106,4.875319997329109,4.875319997329109
GF6PTA,b3729,glmS,ECDH1ME8569_3617,5.8167839630325035e-06,5.816783963032504,0.5963023577582667,0.0017739440933231643,5.220481605274237,27.253428191006677,5.220481605274237,5.220481605274237
GHMT2r,b2551,glyA,ECDH1ME8569_2478,2.2950564120388113e-05,22.950564120388112,52.74625886363753,4.7986011884158606e-05,29.795694743249417,887.783425232901,29.795694743249417,-29.795694743249417
GLNS_num1,b3870,glnA,ECDH1ME8569_3741,2.042380162432324e-05,20.42380162432324,30.872623506381974,4.9798435729482646e-05,10.448821882058734,109.17787872298943,10.448821882058734,-10.448821882058734
GLU5K,b0242,proB,ECDH1ME8569_0230,1.4876682273218065e-06,1.4876682273218065,3.6143598877298952,0.007092366330725257,2.1266916604080888,4.522817418449313,2.1266916604080888,-2.1266916604080888
GLUDy_reverse,b1761,gdhA,ECDH1ME8569_1705,1.3466588675299861e-05,13.466588675299862,42.40455007349553,7.431682111291339e-05,28.937961398195668,837.4056098834626,28.937961398195668,-28.937961398195668
GLUPRT,b2312,purF,ECDH1ME8569_2250,2.171204281312229e-06,2.171204281312229,21.039405726978682,0.0005341951861904002,18.868201445666454,356.0090257942497,18.868201445666454,-18.868201445666454
GLUR_reverse,b3967,murI,ECDH1ME8569_3835,2.056176968946941e-07,0.2056176968946941,0.32740754948708317,0.007125219100531988,0.12178985259238906,0.014832768194475855,0.12178985259238906,-0.12178985259238906
GLUTRS,b2400,gltX,ECDH1ME8569_2336,4.362130365738859e-06,4.362130365738859,0.8194672246827078,0.0034791786461717228,3.5426631410561513,12.550462130997836,3.5426631410561513,3.5426631410561513
GMPS2,b2507,guaA,ECDH1ME8569_2434,6.940845852180162e-06,6.9408458521801615,18.082606020035787,0.0003577593658488905,11.141760167855626,124.13881963801423,11.141760167855626,-11.141760167855626
GND,b2029,gnd,ECDH1ME8569_1965,1.29208059883338e-05,12.9208059883338,19.47054724330959,0.00011807116569003946,6.549741254975789,42.89911050713182,6.549741254975789,-6.549741254975789
GPDDA2,b3449,ugpQ,ECDH1ME8569_3326,3.9334214795598564e-07,0.39334214795598565,1.1490441314626655e-16,0.007246476485935749,0.39334214795598554,0.15471804535862843,0.39334214795598554,0.39334214795598554
GRTT,b0421,ispA,ECDH1ME8569_0406,4.420965986014022e-07,0.4420965986014022,0.062092619094076554,0.007284702530979219,0.3800039795073257,0.144403024441404,0.3800039795073257,0.3800039795073257
GRXR_num1,b1064,grxB,ECDH1ME8569_0999,1.8286270397352298e-06,1.8286270397352298,8.874260180960317,0.004021617172762565,7.045633141225087,49.64094636072929,7.045633141225087,-7.045633141225087
GTHOr,b3500,gor,ECDH1ME8569_3377,1.7761430452417978e-06,1.776143045241798,1.244836187196906,0.007274282392413469,0.5313068580448919,0.2822869774055349,0.5313068580448919,0.5313068580448919
HACD1_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.5297615499941832,0.007344837438525672,0.054036016061043024,0.0029198910317493,0.054036016061043024,-0.054036016061043024
HACD2_num2,b2341,fadJ,ECDH1ME8569_2279,1.5596137430016718e-07,0.15596137430016718,0.7067668572491849,0.007071965790202116,0.5508054829490177,0.30338668004670055,0.5508054829490177,-0.5508054829490177
HACD3_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.6169160831835491,0.007347558863516735,0.14119054925040886,0.01993477119763213,0.14119054925040886,-0.14119054925040886
HACD4_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.7093868227624647,0.007348767471284326,0.23366128882932446,0.05459759789738099,0.23366128882932446,-0.23366128882932446
