reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
ACS,b4069,acs,ECDH1ME8569_3927,1.8088901081048712e-06,1.8088901081048712,0.4256882974822963,0.03819631025436006,1.383201810622575,1.9132472489095698,1.383201810622575,1.383201810622575
ACt4pp,b4067,actP,ECDH1ME8569_3925,1.5062990327149895e-07,0.15062990327149894,0.006834846889782596,0.035878862737204975,0.14379505638171636,0.020677018239820988,0.14379505638171636,0.14379505638171636
ADCL,b1096,pabC,ECDH1ME8569_1031,6.662319869907531e-08,0.06662319869907532,0.007848509665802169,0.03548664021178692,0.05877468903327315,0.0034544640709579595,0.05877468903327315,0.05877468903327315
ADNK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,6.815504389127241,0.00489849899805775,0.007094284396481577,6.8106058901291835,46.38435259066233,6.8106058901291835,6.8106058901291835
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,1.7298886299385619,1.2998612009473651,0.025356613420421923,0.4300274289911967,0.18492358968477873,0.4300274289911967,0.4300274289911967
ADSL1r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,4.182066742253502,1.4948431809040374,0.018895649279048733,2.6872235613494646,7.2211704686716995,2.6872235613494646,2.6872235613494646
ADSL2r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,4.182066742253502,1.6491126707767363,0.016940043824143776,2.532954071476766,6.415856328210726,2.532954071476766,2.532954071476766
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,10.315747924796947,5.128634474073771,0.0008325786682680892,5.187113450723175,26.906145950673288,5.187113450723175,5.187113450723175
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,2.134144047810011,0.007833504920829957,1.8728428504585006,3.5075403425135216,1.8728428504585006,-1.8728428504585006
AGPR_reverse,b3958,argC,ECDH1ME8569_3826,3.0702971826759706e-06,3.0702971826759704,0.8614147445497884,0.03108374562798763,2.208882438126182,4.879161625462267,2.208882438126182,2.208882438126182
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.00893807716872862,0.015652113726089642,4.9261734477301635,24.267184837121686,4.9261734477301635,4.9261734477301635
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,6.116183714588417,4.76994811345532,0.001408244579834668,1.3462356011330971,1.8123502937581915,1.3462356011330971,1.3462356011330971
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,0.9070035925458143,6.137841157457028,0.0011329032315038157,5.230837564911213,27.36166163048627,5.230837564911213,-5.230837564911213
AIRC3_reverse,b0523,purE,ECDH1ME8569_0508,4.243876726888729e-06,4.243876726888729,6.891932871734597,0.0009913449076398725,2.648056144845868,7.012201346255962,2.648056144845868,-2.648056144845868
ALAR_num1,b1190,dadX,ECDH1ME8569_1129,1.5227866036697024e-07,0.15227866036697024,0.03303184647053916,0.03595253545307743,0.11924681389643108,0.014219802624450068,0.11924681389643108,0.11924681389643108
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,0.5978299808573923,0.0007497291531332282,0.03734317825716917,0.597080251704259,0.35650482697522135,0.597080251704259,0.597080251704259
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,2.8658452114775734,0.8421761748853905,0.03214213845337321,2.023669036592183,4.095236369661934,2.023669036592183,2.023669036592183
