reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
ECOAH4_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,205.15858504103846,142.80504276779433,2.1547435436275393,2.3120896951169163,0.18562760993927538,0.15734615148937703,0.024757811388517986,-0.15734615148937703
ECOAH5_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,205.15858504103846,149.21543422851397,2.1738137470883845,2.3120896951169163,0.18922367096392465,0.13827594802853183,0.019120237803189236,-0.13827594802853183
ECOAH6_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,160.51309295878107,163.07261683266668,2.212381040397131,2.2055104633317577,0.20166330665801085,0.006870577065373418,4.72048292112352e-05,0.006870577065373418
ECOAH7_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,160.51309295878104,124.76673146725444,2.09609879795605,2.2055104633317577,0.19393557407025994,0.10941166537570757,0.011970912520285806,-0.10941166537570757
ENO,b2779,eno,ECDH1ME8569_2689,2.1044715490378184e-05,193.52482642417988,221.24666251125365,2.3448767281206955,2.2867366866025347,0.16827349521349594,0.05814004151816077,0.003380264427733458,0.05814004151816077
FACOAE120,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,35.480391994455466,30.444344423849675,1.4835066265702104,1.5499884093583505,0.2639506129463345,0.0664817827881401,0.004419827442689441,-0.0664817827881401
FACOAE160,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,57.5463542026671,12.015887357905216,1.079755848415961,1.760017814502412,0.22406679353162193,0.6802619660864508,0.4627563425038036,-0.6802619660864508
FBA3,b2925,fbaA,ECDH1ME8569_2826,1.7958548232298585e-05,19.05612119666928,7.525444850994417,0.8765321774382175,1.2800345062544305,0.28077164582479947,0.40350232881621295,0.16281412936010722,-0.40350232881621295
FBA_num1,b2097,fbaB,ECDH1ME8569_2031,1.8129735217538047e-07,8814.359616065245,12.80046972071771,1.107225906630118,3.945190765267016,0.00966505830976026,2.837964858636898,8.054044538857948,-2.837964858636898
FCLT,b0475,hemH,ECDH1ME8569_0459,6.438165678380548e-08,1.9452860349055063,3.882217105021385,0.5890798187587619,0.28898346902817434,0.27258524782673194,0.3000963497305876,0.09005781912162313,0.3000963497305876
FUM_num1,b1612,fumA,ECDH1ME8569_1555,3.008662377852203e-06,446.3730542137232,12.445138405052566,1.0949997308535198,2.6496979700704326,0.06535977527157397,1.5546982392169129,2.417086615024169,-1.5546982392169129
G1PACT,b3730,glmU,ECDH1ME8569_3618,1.2564927020864003e-06,21.52282838096459,43.75420376175831,1.6410197849658708,1.332899342716074,0.20676474134905168,0.30812044224979673,0.09493820693221032,0.30812044224979673
G1SAT,b0154,hemL,ECDH1ME8569_0148,3.932851012986989e-06,1.247592724406159,8.584808539317432,0.9337306138539354,0.09607283341480236,0.259554328171482,0.8376577804391331,0.7016705571302149,0.8376577804391331
G3PD2_reverse,b3608,gpsA,ECDH1ME8569_3493,1.0261783147236653e-06,37.97430077616545,114.99453998709744,2.0606772202686714,1.5794897859094472,0.10179167788317395,0.4811874343592242,0.23154134698521267,0.4811874343592242
G5SD,b0243,proA,ECDH1ME8569_0231,2.0286008041562178e-06,30.738857280669734,27.34608972257122,1.4368952343871912,1.4876877185337996,0.2787916351707859,0.05079248414660831,0.002579876445783456,-0.05079248414660831
G6PDH2r,b1852,zwf,ECDH1ME8569_1798,2.975173728874062e-06,382.27375514252316,347.6502209910525,2.541142509789991,2.582374482722052,0.08352646440252727,0.041231972932060934,0.0017000755918702055,-0.041231972932060934
GAPD,b1779,gapA,ECDH1ME8569_1723,4.076985676604439e-05,111.87941377252348,131.058387377272,2.117464819827499,2.0487501820825322,0.19835576129929064,0.06871463774496656,0.004721701440421983,0.06871463774496656
GARFT,b2500,purN,ECDH1ME8569_2426,7.640153997198038e-07,160.23695565898828,6.0668357811620535,0.7829622394964824,2.2047626852055022,0.07951420043150251,1.4218004457090199,2.0215165074183674,-1.4218004457090199
GART,b1849,purT,ECDH1ME8569_1795,2.7978462795299677e-06,1.2392732926673216,6.146310617577178,0.7886145045196059,0.09316709040294595,0.2964380716704456,0.69544741411666,0.4836471058015492,0.69544741411666
