reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
BMOGDS1_num1,b3857,mobA,ECDH1ME8569_3729,3.5956893146688003e-07,1.0745089548797366,1977.6601861297008,3.296151670493206,0.031210039221273318,0.05974931489702798,3.2649416312719324,10.659843855612626,3.2649416312719324
BMOGDS2_num1,b3857,mobA,ECDH1ME8569_3729,3.5956893146688003e-07,1.0745089548797366,1977.6601861297008,3.296151670493206,0.031210039221273318,0.05974931489702798,3.2649416312719324,10.659843855612626,3.2649416312719324
BPNT,b4214,cysQ,ECDH1ME8569_4071,1.9061972641819487e-06,29.555082625330666,20.4811,1.3113532780411492,1.4706321778170333,0.12744761325339518,0.15927889977588405,0.025369767913816118,-0.15927889977588405
CHORM_num1,b2599,pheA,ECDH1ME8569_2520,3.433097047918728e-06,21.685367865880043,140085.76775,5.146394014646136,1.336166793824725,0.004584656845761086,3.8102272208214107,14.517831474288451,3.8102272208214107
CHORS,b2329,aroC,ECDH1ME8569_2267,1.3962388758315705e-06,60.94206147974862,1.43915,0.1581060620236364,1.784917140962086,0.0340067173286948,1.6268110789384498,2.646514286556883,-1.6268110789384498
CHRPL,b4039,ubiC,ECDH1ME8569_3896,3.860857147948872e-06,1.0126838743334645,1.8674,0.2712373544708358,0.005473894462711013,0.12588365590306624,0.2657634600081248,0.07063021667549015,0.2657634600081248
CPPPGO2,b3867,hemN,ECDH1ME8569_3738,2.0932224122861485e-07,1.2339485120960334,301.014,2.478586694867441,0.09129703864447716,0.04813433266031831,2.3872896562229635,5.699151902709155,2.3872896562229635
CS,b0720,gltA,ECDH1ME8569_0679,1.2312363871569814e-05,42.45049321392876,115.92916875,2.06419272184254,1.6278827404891187,0.12395562904460593,0.43630998135342147,0.190366399828623,0.43630998135342147
CTECOAI7_copy1_reverse,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,70.43892994121309,79.890625,1.9024958187426497,1.8478127498483867,0.11789119082903447,0.054683068894263,0.0029902380236947134,0.054683068894263
CTPS2,b2780,pyrG,ECDH1ME8569_2690,3.4733219241236484e-06,11.14912126021106,8.515833333333333,0.930227153104242,1.0472406389644038,0.1404361159718178,0.1170134858601618,0.013692155873146285,-0.1170134858601618
CYSS_num2,b2421,cysM,ECDH1ME8569_2355,1.4021061993986586e-06,39.82132494830974,151.5,2.180412632838324,1.6001157059215987,0.1202897897554265,0.5802969269167253,0.33674452338899524,0.5802969269167253
CYSTL_num2,b3008,metC,ECDH1ME8569_2906,2.694530134278513e-06,13.543298918704624,18.505,1.2672890894311306,1.1317244640304016,0.13197939729872488,0.135564625400729,0.018377767660039977,0.135564625400729
CYTK1,b0910,cmk,ECDH1ME8569_0861,1.1524136041127072e-06,35.47251700328273,125.9,2.1000257301078626,1.5498920055526795,0.12485872127671571,0.5501337245551832,0.30264711489295815,0.5501337245551832
DALAt2pp,b4208,cycA,ECDH1ME8569_4065,5.910857392659474e-07,6.161876545712191,1977.6601861297008,3.296151670493206,0.7897129929012306,0.05453610641680398,2.506438677591975,6.282234844529009,2.506438677591975
DAPDC,b2838,lysA,ECDH1ME8569_2745,2.190401187067305e-06,35.40369264197773,25.52142857142857,1.4069049805242018,1.5490485617545502,0.12569285342925507,0.14214358123034843,0.02020479768498866,-0.14214358123034843
DAPE,b3809,dapF,ECDH1ME8569_3689,1.4776771832910413e-07,552.2713693602868,99.44,1.9975611156335884,2.7421525292799185,0.03609112353535362,0.7445914136463301,0.5544163732758403,-0.7445914136463301
DDPA_num2,b0754,aroG,ECDH1ME8569_0707,1.121045722984629e-05,8.465657717571865,3.502,0.5443161417474273,0.9276607051520621,0.13382766619635886,0.38334456340463485,0.14695305429189012,-0.38334456340463485
DHAD1,b3771,ilvD,ECDH1ME8569_3652,1.948899221143476e-06,99.51140152243458,15.895461538461538,1.2012731425494376,1.9978728429025283,0.08846294504770316,0.7965997003530907,0.6345710826026338,-0.7965997003530907
DHAD2,b3771,ilvD,ECDH1ME8569_3652,1.948899221143476e-06,33.73639917795486,15.895461538461538,1.2012731425494376,1.5280987267238293,0.12214850712801495,0.32682558417439167,0.10681496247093238,-0.32682558417439167
DHDPS,b2478,dapA,ECDH1ME8569_2404,5.166700084031225e-06,16.766371398699917,1977.6601861297008,3.296151670493206,1.22443908216264,0.060248215021243175,2.071712588330566,4.291993048647332,2.071712588330566
DHFR_num2,b0048,folA,ECDH1ME8569_0047,1.3181969249849714e-06,5.4704588943941665,8.1,0.9084850188786497,0.7380237590471228,0.12700914866959748,0.17046125983152693,0.029057041103351337,0.17046125983152693
DHFS,b2315,folC,ECDH1ME8569_2253,6.390658917833849e-07,1.2298853413098485,1.4166667,0.15126768554934264,0.08986462529507659,0.12338220473400353,0.06140306025426605,0.003770335808589027,0.06140306025426605
DHORD2,b0945,pyrD,ECDH1ME8569_0896,2.306952442925174e-06,32.48843636766178,1977.6601861297008,3.296151670493206,1.5117288097371786,0.0531579351966935,1.7844228607560273,3.1841649459887242,1.7844228607560273
DHORTS_reverse,b1062,pyrC,ECDH1ME8569_0997,8.873639191832538e-06,9.186305937380526,2.605,0.4158077276355433,0.9631409049076907,0.11962628140623591,0.5473331772721474,0.29957360694282387,-0.5473331772721474
DHPPDA2,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.2351176855546064,7.166667,0.8553172253956858,0.09170834039076582,0.10406827833774215,0.76360888500492,0.5830985292584571,0.76360888500492
DHPS2,b3177,folP,ECDH1ME8569_3066,4.3278871527791934e-07,1.3394540464341018,1.0421333333333334,0.017923287319016618,0.12692781856204388,0.10671317221242155,0.10900453124302727,0.011881987831512108,-0.10900453124302727
DHQS,b3389,aroB,ECDH1ME8569_3268,1.515760666746113e-06,56.2154692832716,7.5,0.8750612633917001,1.7498558404787394,0.09384761937587444,0.8747945770870393,0.765265552100892,-0.8747945770870393
DHQTi,b1693,aroD,ECDH1ME8569_1637,1.1100991510169853e-06,76.39275789810122,65.12818181818182,1.813768954155157,1.88305218902109,0.11584033887692942,0.06928323486593313,0.004800166633488052,-0.06928323486593313
DMATT,b0421,ispA,ECDH1ME8569_0406,4.420965986014022e-07,1.1380887896003118,1.7394,0.2403994657386411,0.056176145476660284,0.12884570554710179,0.18422332026198082,0.03393823172834835,0.18422332026198082
DMPPS,b0029,ispH,ECDH1ME8569_0026,4.713441631434499e-07,1.1295201870754958,3.64,0.561101383649056,0.052893997148501244,0.1257408088371913,0.5082073865005547,0.2582747476937242,0.5082073865005547
