UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q9R9D6,826,['Lipopolysaccharide core heptose(I) kinase WaaP'],Homodimer.,"['waaP', 'rfaP']",2
P39411,827,"['Inosine/xanthosine triphosphatase', 'ITPase/XTPase', 'Non-canonical purine NTP phosphatase', 'Non-standard purine NTP phosphatase', 'Nucleoside-triphosphate phosphatase', 'NTPase']",Homodimer.,"['yjjX', 'b4394', 'JW5801']",2
P33026,828,['Sugar efflux transporter B'],Homodimer.,"['setB', 'yeiO', 'b2170', 'JW2157']",2
Q9ZIS7,829,['Lipopolysaccharide core heptose(II) kinase WaaY'],Homodimer.,"['waaY', 'rfaY']",2
P31675,830,['Sugar efflux transporter A'],Homodimer.,"['setA', 'yabM', 'b0070', 'JW0069']",2
P07102,831,"['Phytase AppA', '6-phytase', 'Histidine acid phosphatase phytase', 'HAP phytase', 'Myo-inositol hexakisphosphate phosphohydrolase', 'Phosphoanhydride phosphatase', 'pH 2.5 acid phosphatase', 'Acid phosphatase']",Monomer.,"['appA', 'b0980', 'JW0963']",1
P24173,832,['Lipopolysaccharide heptosyltransferase 1'],Monomer.,"['waaC', 'rfa-2', 'rfaC', 'yibC', 'b3621', 'JW3596']",1
P0AEY3,833,"['Nucleoside triphosphate pyrophosphohydrolase', 'NTP-PPase']",Homodimer. Interacts with Era.,"['mazG', 'b2781', 'JW2752']",2
P02920,834,['Lactose permease'],Monomer.,"['lacY', 'b0343', 'JW0334']",1
P37692,835,['Lipopolysaccharide heptosyltransferase 2'],Monomer.,"['waaF', 'rfaF', 'b3620', 'JW3595']",1
P06149,836,"['Quinone-dependent D-lactate dehydrogenase', '(R)-lactate:quinone 2-oxidoreductase', 'D-lactate dehydrogenase', 'D-LDH', 'Respiratory D-lactate dehydrogenase']",Monomer.,"['dld', 'b2133', 'JW2121']",1
