,kcat,data_type,MW,kcat_MW
AGM4PApp_num1,1976.6601861297006,fill,31412,226536.8862239565
CAt6pp,1976.6601861297006,fill,34741,204829.35638199598
CBIAT,74.93867,Other_species,21999,12263.248874948862
CBItonex,1976.6601861297006,fill,136315.0,52202.44778686808
CBIuabcpp,0.845,Other_species,91397.0,33.28336816306881
CBL1abcpp,0.845,Other_species,91397.0,33.28336816306881
ASPt2_3pp_num1,1976.6601861297006,fill,45751,155537.07394520167
ASPt2pp_copy1,1976.6601861297006,fill,47159,150893.29014752057
ASPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
ASR,0.20714285714285716,Other_species,40180.0,18.559340112351563
ATHRDHr,24.779999999999998,Other_species,27249,3273.808213145436
ATPPRT,0.8356666666666667,Other_species,33367,90.1609374531723
CBL1tonex,1976.6601861297006,fill,136315.0,52202.44778686808
CBLAT,93.629375,Other_species,21999,15321.866903041047
AGM4PCP,1976.6601861297006,fill,33567,211993.22757669503
CBMKr_num1,300.6,Other_species,31644,34197.95221843004
CBPS,400.85923076923075,Other_species,159273.0,9060.501345295377
ATPS4rpp_num1,17.25,Other_species,240979.0,257.69880363019183
BALAt2pp,1976.6601861297006,fill,51660,137746.35443412547
BALAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
BETALDHx,4.788,Other_species,52911,325.76968872257186
BETALDHy,4.788,Other_species,52911,325.76968872257186
BMOCOS,1976.6601861297006,fill,44067,161480.85120536733
BMOGDS1_num1,1976.6601861297006,fill,77952,91286.64652692583
BMOGDS2_num1,1976.6601861297006,fill,77952,91286.64652692583
CD2t3pp_num1,1976.6601861297006,fill,32927,216113.72642715467
CD2tex_num1,1976.6601861297006,fill,38922,182826.59344501625
CD2tpp,1976.6601861297006,fill,26485,268679.50425021414
BPNT,19.4811,Other_species,27176,2580.6579334707094
BSORx,1976.6601861297006,fill,85851,82887.52221950731
AGM4PH,1976.6601861297006,fill,37595,189279.8688673207
CDGR,0.05405,Other_species,32588,5.970909537252976
CGLYtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CHLabcpp,1976.6601861297006,fill,133688.0,53228.23791265426
CHLt2pp_num1,1976.6601861297006,fill,75842,93826.33198052428
CHLtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CHOLD,4.696068478873239,Other_species,61878,273.2125557378012
CFAS160E,14.649714285714285,Other_species,43909,1201.0970741436022
AGM4Pt2pp,1976.6601861297006,fill,53245,133645.9136081683
CFAS160G,14.649714285714285,Other_species,43909,1201.0970741436022
CFAS180E,14.649714285714285,Other_species,43909,1201.0970741436022
CHORM_num1,140084.76775,Other_species,43111,11697830.342603976
CHORS,0.43915,Other_species,39137,40.39502261287273
CHRPL,0.8674,Other_species,18777,166.30132609042977
CHTBSptspp,1976.6601861297006,fill,63562,111953.31597600646
CHTBStex_num1,1976.6601861297006,fill,40368,176277.66225889124
CFAS180G,14.649714285714285,Other_species,43909,1201.0970741436022
CGLYabcpp,1976.6601861297006,fill,203503.0,34967.42883430181
COLIPAPabctex,1976.6601861297006,fill,148608.0,47884.209935312516
AGMH,1976.6601861297006,fill,37595,189279.8688673207
CITt7pp,1976.6601861297006,fill,53093,134028.5286208525
CITtex_num1,1976.6601861297006,fill,38922,182826.59344501625
COLIPAabcpp,1976.6601861297006,fill,64461,110391.96832296927
COLIPAabctex,1976.6601861297006,fill,148608.0,47884.209935312516
CLIPAabctex,1976.6601861297006,fill,148608.0,47884.209935312516
CPGNabcpp,1976.6601861297006,fill,132307.0,53783.826026339666
CPGNtonex,1976.6601861297006,fill,149141.0,47713.081379814554
CPPPGO,0.017,Other_species,34323,1.7830609212481427
CLPNS120pp_num1,1976.6601861297006,fill,47634,149388.60205036154
CLPNS140pp_num1,1976.6601861297006,fill,54822,129801.47878710959
CPPPGO2,300.014,Other_species,52729,20483.043486506478
CLPNS141pp_num1,1976.6601861297006,fill,47634,149388.60205036154
CRNCAL2,1976.6601861297006,fill,58559,121518.07015261399
AGMT,1.516,Other_species,33557,162.63670769139077
CLPNS160pp_num1,1976.6601861297006,fill,47634,149388.60205036154
CLPNS161pp_num1,1976.6601861297006,fill,54822,129801.47878710959
CLPNS180pp_num1,1976.6601861297006,fill,47634,149388.60205036154
CRNDCAL2,1976.6601861297006,fill,58559,121518.07015261399
CLPNS181pp_num1,1976.6601861297006,fill,47634,149388.60205036154
AGMt2pp,1976.6601861297006,fill,53245,133645.9136081683
CLt3_2pp_num1,1976.6601861297006,fill,50349,141333.02885989638
CLtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CRNDabcpp,1976.6601861297006,fill,117806.0,60404.195627276385
CRNDt2rpp,1976.6601861297006,fill,54846,129744.67910270434
CRNDtex_num1,1976.6601861297006,fill,41220,172634.07739124022
CRNabcpp,1976.6601861297006,fill,117806.0,60404.195627276385
CRNt2rpp,1976.6601861297006,fill,54846,129744.67910270434
CRNt7pp,1976.6601861297006,fill,56587,125752.85259983604
CRNt8pp,1976.6601861297006,fill,56587,125752.85259983604
CMPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CMtex_num1,1976.6601861297006,fill,41220,172634.07739124022
CMtpp,1976.6601861297006,fill,208985.0,34050.179056233326
CO2tex_num1,1976.6601861297006,fill,38922,182826.59344501625
CRNtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CS,114.92916875,Other_species,48015,8616.994845360825
COBALT2abcpp,1976.6601861297006,fill,76840,92607.71304095422
AGMtex_num1,1976.6601861297006,fill,38922,182826.59344501625
COBALT2t3pp_num1,1976.6601861297006,fill,34678,205201.47269354988
CSND,117.01142857142857,Other_species,47591,8851.277402390007
CSNt2pp,1976.6601861297006,fill,43650,163023.5205055423
CSNtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CTBTCAL2,1976.6601861297006,fill,58559,121518.07015261399
COBALT2tex_num1,1976.6601861297006,fill,38922,182826.59344501625
COBALT2tpp_num1,1976.6601861297006,fill,26485,268679.50425021414
CTBTabcpp,1976.6601861297006,fill,117806.0,60404.195627276385
CTBTt2rpp,1976.6601861297006,fill,54846,129744.67910270434
CTECOAI6_copy1,78.890625,Other_species,79594,3568.1866723622384
COLIPAKpp,1976.6601861297006,fill,26759,265928.3482217916
CTECOAI7_copy1,78.890625,Other_species,79594,3568.1866723622384
CTECOAI8_copy1,78.890625,Other_species,79594,3568.1866723622384
CTPS2,7.515833333333333,Other_species,60374,448.1564912048233
CU1abcpp,0.26,Other_species,87873,10.651736028131507
CYANtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CYNTt2pp,1976.6601861297006,fill,41361,172045.56635639665
CYNTtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CYSDDS,3470.8,Other_species,35153,355442.77871020965
CU2tex_num1,1976.6601861297006,fill,40368,176277.66225889124
CYSDS_num1,67.03066666666666,Other_species,52773,4572.610994258427
CU2tpp,1976.6601861297006,fill,26485,268679.50425021414
CUt3,1976.6601861297006,fill,221533.0,32121.519909299845
CUtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CYANST,151.25,Other_species,12082,45067.04188048336
CYSDtex_num1,1976.6601861297006,fill,38922,182826.59344501625
CYSS_num1,150.5,Other_species,34490,15708.90113076254
CYSSADS,89.0,Other_species,43234,7410.834065781561
CYSTL_num1,17.505,Other_species,43642,1443.9759864350854
CYANSTpp,151.25,Other_species,11475,47450.98039215686
DASYN141,8.92,Other_species,31454,1020.9194379093279
CYSTRS,35.30572413793104,Other_species,52202,2434.784240001374
CYStex_num1,1976.6601861297006,fill,38922,182826.59344501625
CYStpp_num1,1976.6601861297006,fill,21248,334901.01045119175
CYTBD2pp,1976.6601861297006,fill,100344.0,70915.8162926226
CYTBDpp,1976.6601861297006,fill,100344.0,70915.8162926226
CYTBO3_4pp,1976.6601861297006,fill,143931.0,49440.194746558576
DASYN160,8.92,Other_species,31454,1020.9194379093279
DASYN161,8.92,Other_species,31454,1020.9194379093279
DASYN180,8.92,Other_species,31454,1020.9194379093279
DASYN181,8.92,Other_species,31454,1020.9194379093279
DC6PH,1976.6601861297006,fill,50513,140874.16447383686
CYTD,4.824999999999999,Other_species,31540,550.729232720355
CYTDH_num1,13.0465,Other_species,33748,1391.7091383193078
