,UniProtID,proteinNames,txt_subunit,geneNames
1071,P0ABM5,['Heme exporter protein D'],The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['ccmD', 'yojM', 'b2198', 'JW2186']"
1072,P0AAD6,"['Serine transporter SdaC', 'H(+)/L-serine symporter', 'L-serine transport system']",The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['sdaC', 'dcrA', 'b2796', 'JW2767']"
1073,P0AC75,"['3-deoxy-D-manno-octulosonic acid transferase', 'Kdo transferase', 'Bifunctional Kdo transferase', 'Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase', 'Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase']",The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['waaA', 'kdtA', 'b3633', 'JW3608']"
1074,P0AAD8,['Threonine/serine transporter TdcC'],The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['tdcC', 'b3116', 'JW3087']"
1075,P27241,"['Probable 3-deoxy-manno-octulosonic acid transferase', 'Kdo transferase']",The complex is composed of two ATP-binding proteins (CcmA) and two transmembrane proteins (CcmB).,"['waaZ', 'rfaZ', 'b3624', 'JW3599']"
1076,P08312,['Phenylalanine--tRNA ligase alpha subunit'],Tetramer of two alpha and two beta subunits.,"['pheS', 'b1714', 'JW5277']"
1077,P07395,['Phenylalanine--tRNA ligase beta subunit'],Tetramer of two alpha and two beta subunits.,"['pheT', 'b1713', 'JW1703']"
1078,P0AGE4,['Serine/threonine transporter SstT'],Tetramer of two alpha and two beta subunits.,"['sstT', 'ygjU', 'b3089', 'JW3060']"
1079,P24207,['Phenylalanine-specific permease'],Tetramer of two alpha and two beta subunits.,"['pheP', 'b0576', 'JW0565']"
1080,P46136,['Aromatic amino acid exporter YddG'],Tetramer of two alpha and two beta subunits.,"['yddG', 'b1473', 'JW1469']"
1081,P51025,"['S-formylglutathione hydrolase FrmB', 'FGH']",Tetramer of two alpha and two beta subunits.,"['frmB', 'yaiM', 'b0355', 'JW0346']"
1082,P43676,['Low-affinity inorganic phosphate transporter PitB'],Tetramer of two alpha and two beta subunits.,"['pitB', 'b2987', 'JW2955']"
1083,P37329,['Molybdate-binding protein ModA'],"The complex is composed of two ATP-binding proteins (ModC), two transmembrane proteins (ModB) and a solute-binding protein (ModA).","['modA', 'b0763', 'JW0746']"
