,UniProtID,proteinNames,txt_subunit,geneNames
248,P15047,"['2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase', 'DiDHB-DH']",Homotetramer; dimer of dimers. EntA and EntE interact together.,"['entA', 'b0596', 'JW0588']"
249,P10378,"['Enterobactin synthase component E', '2,3-dihydroxybenzoate-AMP ligase', 'DHB-AMP ligase', '2,3-dihydroxybenzoate-AMP synthase', 'Dihydroxybenzoic acid-activating enzyme', 'Enterochelin synthase E']","Proteins EntB, EntD, EntE, and EntF form a multienzyme complex called enterobactin synthase. Monomer. EntA and EntE interact together.","['entE', 'b0594', 'JW0586']"
250,P0AFG3,['2-oxoglutarate dehydrogenase E1 component'],"Homodimer (PubMed:17367808). Part of the 2-oxoglutarate dehydrogenase (OGDH) complex composed of E1 (2-oxoglutarate dehydrogenase), E2 (dihydrolipoamide succinyltransferase) and E3 (dihydrolipoamide dehydrogenase); the complex contains multiple copies of the three enzymatic components (E1, E2 and E3) (Probable). Interacts (via N-terminus) with SucB, the E2 component of OGDH complex (PubMed:17367808).","['sucA', 'b0726', 'JW0715']"
251,P0CI31,"['3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase', '2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase', '3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase', 'CI-dihydrodiol dehydrogenase', 'Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase', 'Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase', 'PP-dihydrodiol dehydrogenase']","Homodimer (PubMed:17367808). Part of the 2-oxoglutarate dehydrogenase (OGDH) complex composed of E1 (2-oxoglutarate dehydrogenase), E2 (dihydrolipoamide succinyltransferase) and E3 (dihydrolipoamide dehydrogenase); the complex contains multiple copies of the three enzymatic components (E1, E2 and E3) (Probable). Interacts (via N-terminus) with SucB, the E2 component of OGDH complex (PubMed:17367808).","['hcaB', 'phdD', 'yfhX', 'b2541', 'JW2525']"
252,P0ABA0,"['ATP synthase subunit b', 'ATP synthase F(0) sector subunit b', 'ATPase subunit I', 'F-type ATPase subunit b', 'F-ATPase subunit b']","F-type ATPases have 2 components, F(1) - the catalytic core - and F(0) - the membrane proton channel. F(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). F(0) has three main subunits: a(1), b(2) and c(10-14). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. F(1) is attached to F(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.","['atpF', 'papF', 'uncF', 'b3736', 'JW3714']"
253,P0AEX3,['Alpha-ketoglutarate permease'],"F-type ATPases have 2 components, F(1) - the catalytic core - and F(0) - the membrane proton channel. F(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). F(0) has three main subunits: a(1), b(2) and c(10-14). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. F(1) is attached to F(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.","['kgtP', 'witA', 'b2587', 'JW2571']"
254,P0ABB4,"['ATP synthase subunit beta', 'ATP synthase F1 sector subunit beta', 'F-ATPase subunit beta']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.","['atpD', 'papB', 'uncD', 'b3732', 'JW3710']"
255,P0ABA4,"['ATP synthase subunit delta', 'ATP synthase F(1) sector subunit delta', 'F-type ATPase subunit delta', 'F-ATPase subunit delta']","F-type ATPases have 2 components, F(1) - the catalytic core - and F(0) - the membrane proton channel. F(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). F(0) has three main subunits: a(1), b(2) and c(10-14). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. F(1) is attached to F(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.","['atpH', 'papE', 'uncH', 'b3735', 'JW3713']"
256,P0ABR9,"['2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase']",Homotetramer.,"['mhpB', 'b0348', 'JW0339']"
257,P77790,"['D-alanyl-D-alanine dipeptidase', 'D-Ala-D-Ala dipeptidase']",Homotetramer.,"['ddpX', 'vanX', 'yddT', 'b1488', 'JW1483']"
258,P04036,"['4-hydroxy-tetrahydrodipicolinate reductase', 'HTPA reductase']",Homotetramer.,"['dapB', 'b0031', 'JW0029']"
259,P17445,"['Betaine aldehyde dehydrogenase', 'BADH']",Dimer of dimers.,"['betB', 'b0312', 'JW0304']"
260,P37313,['Dipeptide transport ATP-binding protein DppF'],"The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['dppF', 'dppE', 'b3540', 'JW3509']"
261,P12281,"['Molybdopterin molybdenumtransferase', 'MPT Mo-transferase']","Homodimer. Interacts with MobA, MogA and MobB in vivo.","['moeA', 'bisB', 'chlE', 'narE', 'b0827', 'JW0811']"
262,P0A6L2,"['4-hydroxy-tetrahydrodipicolinate synthase', 'HTPA synthase']",Homotetramer; dimer of dimers.,"['dapA', 'b2478', 'JW2463']"
263,P0AAG0,['Dipeptide transport ATP-binding protein DppD'],"The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['dppD', 'b3541', 'JW3510']"
264,P0AFS3,"['Dihydromonapterin reductase', 'H(2)-MPt reductase']","The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['folM', 'ydgB', 'b1606', 'JW1598']"
265,P32125,"['Molybdopterin-guanine dinucleotide biosynthesis adapter protein', 'MGD biosynthesis adapter protein', 'Molybdenum cofactor biosynthesis adapter protein', 'Moco biosynthesis adapter protein', 'Molybdopterin-guanine dinucleotide biosynthesis protein B']","Homodimer. Interacts with MobA, MogA and MoeA in vivo.","['mobB', 'yihC', 'b3856', 'JW5575']"
266,P76128,"['Probable D,D-dipeptide-binding periplasmic protein DdpA']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['ddpA', 'yddS', 'b1487', 'JW5240']"
267,P07112,['Mobilization protein A'],Interacts with MobB and MobC to form the relaxosome.,"['mobA', 'repB']"
268,P23847,"['Dipeptide-binding protein', 'DBP']","The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA).","['dppA', 'b3544', 'JW3513']"
269,P0ABQ4,['Dihydrofolate reductase'],"The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA).","['folA', 'tmrA', 'b0048', 'JW0047']"
270,P0AEF8,['Dipeptide transport system permease protein DppB'],"The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['dppB', 'b3543', 'JW3512']"
271,P22255,"[""3'(2'),5'-bisphosphate nucleotidase CysQ"", ""3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase"", ""3'-phosphoadenosine 5'-phosphate phosphatase"", 'PAP phosphatase', 'DPNPase']","The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['cysQ', 'amtA', 'b4214', 'JW4172']"
272,P77268,"['Probable D,D-dipeptide transport ATP-binding protein DdpD']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['ddpD', 'yddP', 'b1484', 'JW1479']"
273,P08192,"['Dihydrofolate synthase/folylpolyglutamate synthase', 'DHFS / FPGS', 'Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase', 'Folylpolyglutamate synthetase', 'Tetrahydrofolylpolyglutamate synthase']",Monomer.,"['folC', 'dedC', 'b2315', 'JW2312']"
274,P77622,"['Probable D,D-dipeptide transport ATP-binding protein DdpF']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['ddpF', 'yddO', 'b1483', 'JW1478']"
275,P20099,['Biotin sulfoxide reductase'],"The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['bisC', 'b3551', 'JW5940']"
276,P77308,"['Probable D,D-dipeptide transport system permease protein DdpB']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['ddpB', 'yddR', 'b1486', 'JW1481']"
277,P32166,"['1,4-dihydroxy-2-naphthoate octaprenyltransferase', 'DHNA-octaprenyltransferase']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['menA', 'yiiW', 'b3930', 'JW3901']"
278,P77463,"['Probable D,D-dipeptide transport system permease protein DdpC']","The complex is composed of two ATP-binding proteins (DdpD and DdpF), two transmembrane proteins (DdpB and DdpC) and a solute-binding protein (DdpA).","['ddpC', 'yddQ', 'b1485', 'JW1480']"
279,P0AEG1,['Dipeptide transport system permease protein DppC'],"The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:16905647, PubMed:7536291). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647).","['dppC', 'b3542', 'JW3511']"
280,P12996,['Biotin synthase'],Homodimer.,"['bioB', 'b0775', 'JW0758']"
281,P07862,"['D-alanine--D-alanine ligase B', 'D-Ala-D-Ala ligase B', 'D-alanylalanine synthetase B']",Monomer.,"['ddlB', 'ddl', 'b0092', 'JW0090']"
282,P0ABU0,"['1,4-dihydroxy-2-naphthoyl-CoA synthase', 'DHNA-CoA synthase']",Homohexamer. Dimer of a homotrimer.,"['menB', 'b2262', 'JW2257']"
283,P07862,"['D-alanine--D-alanine ligase B', 'D-Ala-D-Ala ligase B', 'D-alanylalanine synthetase B']",Monomer.,"['ddlB', 'ddl', 'b0092', 'JW0090']"
284,P0A8Z3,"['Acyl-CoA thioester hydrolase YbgC', 'Acyl-CoA thioesterase']","Interacts with ACP, PlsB and PssA, forming altogether a complex at the inner membrane.","['ybgC', 'b0736', 'JW0726']"
285,Q47539,['Taurine transport system permease protein TauC'],"Interacts with ACP, PlsB and PssA, forming altogether a complex at the inner membrane.","['tauC', 'ssiC', 'yaiJ', 'b0367', 'JW0359']"
286,P51981,['L-Ala-D/L-Glu epimerase'],Monomer.,"['ycjG', 'ycjH', 'b1325', 'JW1318']"
287,P75853,['Putative aliphatic sulfonates-binding protein'],Monomer.,"['ssuA', 'ycbO', 'b0936', 'JW0919']"
288,P29012,"['Alanine racemase, catabolic']",Monomer.,"['dadX', 'alnB', 'dadB', 'b1190', 'JW1179']"
289,Q47538,['Taurine import ATP-binding protein TauB'],"The complex is composed of two ATP-binding proteins (TauB), two transmembrane proteins (TauC) and a solute-binding protein (TauA).","['tauB', 'ssiB', 'yaiQ', 'b0366', 'JW0358']"
290,Q47537,['Taurine-binding periplasmic protein'],"The complex is composed of two ATP-binding proteins (TauB), two transmembrane proteins (TauC) and a solute-binding protein (TauA).","['tauA', 'ssiA', 'yaiR', 'b0365', 'JW0357']"
291,P0AC16,"['Dihydroneopterin aldolase', 'DHNA', ""7,8-dihydroneopterin 2'-epimerase"", '7,8-dihydroneopterin aldolase', '7,8-dihydroneopterin epimerase', 'Dihydroneopterin epimerase']",Homooctamer.,"['folB', 'ygiG', 'b3058', 'JW3030']"
292,P0A6B4,"['Alanine racemase, biosynthetic']",Homodimer.,"['alr', 'b4053', 'JW4013']"
293,P0A7E1,"['Dihydroorotate dehydrogenase (quinone)', 'DHOdehase']",Monomer.,"['pyrD', 'b0945', 'JW0928']"
294,P05020,"['Dihydroorotase', 'DHOase']",Homodimer.,"['pyrC', 'b1062', 'JW1049']"
295,P75851,['Putative aliphatic sulfonates transport permease protein SsuC'],Homodimer.,"['ssuC', 'ycbM', 'b0934', 'JW5121']"
296,P0AAI1,['Aliphatic sulfonates import ATP-binding protein SsuB'],"The complex is composed of two ATP-binding proteins (SsuB), two transmembrane proteins (SsuC) and a solute-binding protein (SsuA).","['ssuB', 'ycbE', 'b0933', 'JW0916']"
297,P75823,"['Low specificity L-threonine aldolase', 'Low specificity L-TA']",Homotetramer.,"['ltaE', 'ybjU', 'b0870', 'JW0854']"
298,P31801,['Sodium-potassium/proton antiporter ChaA'],Homotetramer.,"['chaA', 'b1216', 'JW1207']"
299,P0AC13,"['Dihydropteroate synthase', 'DHPS']",Homodimer.,"['folP', 'dhpS', 'b3177', 'JW3144']"
300,P0A825,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'b2551', 'JW2535']"
301,P38489,"['Oxygen-insensitive NAD(P)H nitroreductase', 'Dihydropteridine reductase', 'FMN-dependent nitroreductase']",Homodimer.,"['nfsB', 'dprA', 'nfnB', 'nfsI', 'ntr', 'b0578', 'JW0567']"
302,P77434,['Glutamate-pyruvate aminotransferase AlaC'],Homodimer.,"['alaC', 'yfdZ', 'b2379', 'JW2376']"
303,P0A959,['Glutamate-pyruvate aminotransferase AlaA'],Homodimer.,"['alaA', 'yfbQ', 'b2290', 'JW2287']"
304,P0AC19,"[""Dihydroneopterin triphosphate 2'-epimerase""]",Homooctamer.,"['folX', 'b2303', 'JW2300']"
305,P00957,"['Alanine--tRNA ligase', 'Alanyl-tRNA synthetase', 'AlaRS', 'Protein lactyltransferase']",Homotetramer.,"['alaS', 'lovB', 'b2697', 'JW2667']"
306,P13029,"['Catalase-peroxidase', 'CP', 'Hydroperoxidase I', 'HPI', 'Peroxidase/catalase']",Homotetramer.,"['katG', 'b3942', 'JW3914']"
307,P07639,"['3-dehydroquinate synthase', 'DHQS']",Monomer.,"['aroB', 'b3389', 'JW3352']"
308,P0A9S7,['High-affinity branched-chain amino acid transport ATP-binding protein LivG'],Monomer.,"['livG', 'b3455', 'JW3420']"
309,P05194,"['3-dehydroquinate dehydratase', '3-dehydroquinase', 'Type I DHQase', 'Type I dehydroquinase', 'DHQ1']",Homodimer.,"['aroD', 'b1693', 'JW1683']"
310,P21179,['Catalase HPII'],Homotetramer.,"['katE', 'b1732', 'JW1721']"
311,P0AD96,"['Leu/Ile/Val-binding protein', 'LIV-BP']",Homotetramer.,"['livJ', 'b3460', 'JW3425']"
312,P45394,['Inner membrane protein YrbG'],Homotetramer.,"['yrbG', 'b3196', 'JW3163']"
313,P0AEX7,['High-affinity branched-chain amino acid transport system permease protein LivH'],Homotetramer.,"['livH', 'b3457', 'JW3422']"
314,P22939,"['Farnesyl diphosphate synthase', 'FPP synthase', '(2E,6E)-farnesyl diphosphate synthase', 'Geranyltranstransferase']",Homotetramer.,"['ispA', 'b0421', 'JW0411']"
315,P22731,['High-affinity branched-chain amino acid transport ATP-binding protein LivF'],Homotetramer.,"['livF', 'b3454', 'JW3419']"
316,P62623,"['4-hydroxy-3-methylbut-2-enyl diphosphate reductase', 'HMBPP reductase']",Homodimer.,"['ispH', 'lytB', 'yaaE', 'b0029', 'JW0027']"
317,P22729,['High-affinity branched-chain amino acid transport system permease protein LivM'],Homodimer.,"['livM', 'b3456', 'JW3421']"
318,P0A9H5,"['Corrinoid adenosyltransferase', 'Cob(II)alamin adenosyltransferase', 'Cob(II)yrinic acid a,c-diamide adenosyltransferase', 'Cobinamide/cobalamin adenosyltransferase']",Homodimer.,"['btuR', 'cobA', 'b1270', 'JW1262']"
319,P0AAE0,['D-serine/D-alanine/glycine transporter'],Homodimer.,"['cycA', 'dagA', 'ytfD', 'b4208', 'JW4166']"
320,P30143,['Uncharacterized transporter YaaJ'],Homodimer.,"['yaaJ', 'b0007', 'JW0006']"
321,P37306,['Carbamate kinase'],Homodimer.,"['allK', 'arcC', 'ybcF', 'b0521', 'JW0510']"
322,P17993,"['Ubiquinone biosynthesis O-methyltransferase', '2-octaprenyl-6-hydroxyphenol methylase', '3-demethylubiquinone-8 3-O-methyltransferase']","Homodimer (Probable). Component of the Ubi complex metabolon, which regroups five ubiquinone biosynthesis proteins (UbiE, UbiF, UbiG, UbiH and UbiI) and two accessory factors (UbiK and the lipid-binding protein UbiJ) (PubMed:30686758).","['ubiG', 'pufX', 'yfaB', 'b2232', 'JW2226']"
323,P25437,"['S-(hydroxymethyl)glutathione dehydrogenase', 'Alcohol dehydrogenase class-3', 'Alcohol dehydrogenase class-III', 'Glutathione-dependent formaldehyde dehydrogenase']",Homodimer.,"['frmA', 'adhC', 'b0356', 'JW0347']"
324,P77783,"['Probable dimethyl sulfoxide reductase chain YnfF', 'DMSO reductase']","The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['ynfF', 'b1588', 'JW5260']"
325,P77374,"['Putative dimethyl sulfoxide reductase chain YnfE', 'DMSO reductase']","The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['ynfE', 'b1587', 'JW1579']"
326,Q46807,['Carbamate kinase-like protein YqeA'],"The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['yqeA', 'b2874', 'JW2842']"
327,P39451,"['Alcohol dehydrogenase, propanol-preferring']","The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['adhP', 'yddN', 'b1478', 'JW1474']"
328,P77624,['Carbamate kinase-like protein YahI'],"The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['yahI', 'b0323', 'JW0315']"
329,P0AAJ1,['Probable anaerobic dimethyl sulfoxide reductase chain YnfG'],"The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['ynfG', 'b1589', 'JW1581']"
330,P76173,['Anaerobic dimethyl sulfoxide reductase chain YnfH'],"The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein.","['ynfH', 'b1590', 'JW5261']"
331,P80668,"['Phenylacetaldehyde dehydrogenase', 'PAD']",Homodimer.,"['feaB', 'maoB', 'padA', 'ydbG', 'b1385', 'JW1380']"
332,P0AFC0,"['Dihydroneopterin triphosphate diphosphatase', 'Dihydroneopterin triphosphate pyrophosphatase', 'dATP pyrophosphohydrolase']",Homodimer.,"['nudB', 'ntpA', 'b1865', 'JW1854']"
333,P00968,['Carbamoyl phosphate synthase large chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carB', 'pyrA', 'b0033', 'JW0031']"
334,P23883,"['NADP/NAD-dependent aldehyde dehydrogenase PuuC', 'ALDH', '3-hydroxypropionaldehyde dehydrogenase', 'Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase', 'Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase']","Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['puuC', 'aldH', 'b1300', 'JW1293']"
335,P0A6F1,['Carbamoyl phosphate synthase small chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carA', 'pyrA', 'b0032', 'JW0030']"
336,P37685,['Aldehyde dehydrogenase B'],Homotetramer.,"['aldB', 'yiaX', 'b3588', 'JW3561']"
337,P77756,"['7-cyano-7-deazaguanine synthase', '7-cyano-7-carbaguanine synthase', 'PreQ(0) synthase', 'Queuosine biosynthesis protein QueC']",Homotetramer.,"['queC', 'ybaX', 'b0444', 'JW0434']"
338,P08337,"['8-oxo-dGTP diphosphatase', '8-oxo-dGTPase', '7,8-dihydro-8-oxoguanine-triphosphatase', 'Mutator protein MutT', 'dGTP pyrophosphohydrolase']",Monomer.,"['mutT', 'b0099', 'JW0097']"
339,P32718,"['D-allose kinase', 'Allokinase']",Monomer.,"['alsK', 'yjcT', 'b4084', 'JW5724']"
340,P37672,"['2,3-diketo-L-gulonate reductase', '2,3-DKG reductase']",Homodimer.,"['dlgD', 'yiaK', 'b3575', 'JW3547']"
341,P37617,"['Zinc/cadmium/lead-transporting P-type ATPase', 'Pb(II)/Cd(II)/Zn(II)-translocating ATPase', 'Zn(2+)/Cd(2+)/Pb(2+) export ATPase']",Homodimer.,"['zntA', 'yhhO', 'b3469', 'JW3434']"
342,P37351,['Ribose-5-phosphate isomerase B'],"Homodimer, and homotetramer.","['rpiB', 'yjcA', 'b4090', 'JW4051']"
343,P75757,['Zinc transporter ZitB'],"Homodimer, and homotetramer.","['zitB', 'ybgR', 'b0752', 'JW0735']"
344,P0A6I9,['Dephospho-CoA kinase'],"Monomer (PubMed:11292795, PubMed:12538896). Forms homotrimers in the presence of sulfate. The trimeric form exists in solution in equilibrium with the monomeric form (PubMed:12538896).","['coaE', 'yacE', 'b0103', 'JW0100']"
345,P77425,"['Allantoate amidohydrolase', 'AAH']",Homodimer.,"['allC', 'glxB7', 'ylbB', 'b0516', 'JW0504']"
346,P05793,"['Ketol-acid reductoisomerase (NADP(+))', 'KARI', 'Acetohydroxy-acid isomeroreductase', 'AHIR', 'Alpha-keto-beta-hydroxylacyl reductoisomerase', 'Ketol-acid reductoisomerase type 2', 'Ketol-acid reductoisomerase type II']",Homotetramer.,"['ilvC', 'b3774', 'JW3747']"
347,P77671,['Allantoinase'],Homotetramer.,"['allB', 'glxB3', 'ybbX', 'b0512', 'JW0500']"
348,P0A9J4,['2-dehydropantoate 2-reductase'],Monomer.,"['panE', 'apbA', 'b0425', 'JW0415']"
349,P69380,['Cation-efflux pump FieF'],"Homodimer (PubMed:15258151, PubMed:17717154, PubMed:19749753). The subunits are held together in a parallel orientation through zinc binding at the interface of the cytoplasmic domains (PubMed:17717154, PubMed:19749753).","['fieF', 'yiiP', 'b3915', 'JW3886']"
350,P0A8H3,"['Zinc transporter ZupT', 'Divalent metal ion transporter ZupT', 'Zinc uptake transporter']",Homodimer.,"['zupT', 'ygiE', 'b3040', 'JW3008']"
351,P75712,"['Putative allantoin permease', 'Allantoin transport protein', 'Allantoin transporter']",Homodimer.,"['ybbW', 'glxB2', 'b0511', 'JW0499']"
352,P0A6L0,"['Deoxyribose-phosphate aldolase', 'DERA', '2-deoxy-D-ribose 5-phosphate aldolase', 'Phosphodeoxyriboaldolase', 'Deoxyriboaldolase']",Monomer and homodimer.,"['deoC', 'dra', 'thyR', 'b4381', 'JW4344']"
353,P32719,['D-allulose-6-phosphate 3-epimerase'],Homohexamer. Trimer of dimers.,"['alsE', 'yjcU', 'b4085', 'JW4046']"
354,P06282,"['CDP-diacylglycerol pyrophosphatase', 'CDP-diacylglycerol phosphatidylhydrolase', 'CDP-diglyceride hydrolase']",Homohexamer. Trimer of dimers.,"['cdh', 'b3918', 'JW3889']"
355,P32721,['D-allose import ATP-binding protein AlsA'],"The complex is composed of two ATP-binding proteins (AlsA), two transmembrane proteins (AlsC) and a solute-binding protein (AlsB).","['alsA', 'yjcW', 'b4087', 'JW4048']"
356,P0AEG4,['Thiol:disulfide interchange protein DsbA'],"The complex is composed of two ATP-binding proteins (AlsA), two transmembrane proteins (AlsC) and a solute-binding protein (AlsB).","['dsbA', 'dsf', 'ppfA', 'b3860', 'JW3832']"
357,P32720,['D-allose transport system permease protein AlsC'],"The complex is composed of two ATP-binding proteins (AlsA), two transmembrane proteins (AlsC) and a solute-binding protein (AlsB).","['alsC', 'yjcV', 'b4086', 'JW4047']"
358,Q46920,"['NADPH-dependent 7-cyano-7-deazaguanine reductase', '7-cyano-7-carbaguanine reductase', 'NADPH-dependent nitrile oxidoreductase', 'PreQ(0) reductase']",Homodimer.,"['queF', 'yqcD', 'b2794', 'JW2765']"
359,P0ACJ0,['Leucine-responsive regulatory protein'],Homodimer.,"['lrp', 'alsB', 'ihb', 'livR', 'oppI', 'b0889', 'JW0872']"
360,P0A6M2,['Disulfide bond formation protein B'],Homodimer.,"['dsbB', 'roxB', 'ycgA', 'b1185', 'JW5182']"
361,P23930,"['Apolipoprotein N-acyltransferase', 'ALP N-acyltransferase']",Monomer.,"['lnt', 'cutE', 'b0657', 'JW0654']"
362,P0AEG6,['Thiol:disulfide interchange protein DsbC'],Homodimer.,"['dsbC', 'xprA', 'b2893', 'JW2861']"
363,P62615,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']",Homodimer.,"['ispE', 'ipk', 'ychB', 'b1208', 'JW1199']"
364,P69776,"['Major outer membrane lipoprotein Lpp', 'Braun lipoprotein', 'BLP', 'Murein-lipoprotein']","Homotrimer (PubMed:10843861, PubMed:3013869). Interacts with OmpA (PubMed:3013869). Has been isolated from outer membrane preparations as an approximately 87 kDa complex, suggesting it also forms larger complexes (PubMed:16079137). Seems to interact with TolB, Pal and TonB (PubMed:9701827). In pull-down experiments interacts with CedA (PubMed:28818726).","['lpp', 'mlpA', 'mulI', 'b1677', 'JW1667']"
365,P36655,"['Thiol:disulfide interchange protein DsbD', 'C-type cytochrome biogenesis protein CycZ', 'Inner membrane copper tolerance protein', 'Protein-disulfide reductase', 'Disulfide reductase']","Homotrimer (PubMed:10843861, PubMed:3013869). Interacts with OmpA (PubMed:3013869). Has been isolated from outer membrane preparations as an approximately 87 kDa complex, suggesting it also forms larger complexes (PubMed:16079137). Seems to interact with TolB, Pal and TonB (PubMed:9701827). In pull-down experiments interacts with CedA (PubMed:28818726).","['dsbD', 'cutA2', 'cycZ', 'dipZ', 'b4136', 'JW5734']"
366,Q46857,"['2,5-diketo-D-gluconic acid reductase A']",Monomer.,"['dkgA', 'yqhE', 'b3012', 'JW5499']"
367,P0AGG4,"['Thioredoxin 2', 'Trx-2']",Monomer.,"['trxC', 'yfiG', 'b2582', 'JW2566']"
368,P0A9H7,['Cyclopropane-fatty-acyl-phospholipid synthase'],Homodimer (PubMed:30057024). Homodimerization is required for catalysis (PubMed:30057024). One subunit probably binds to the lipid bilayer and positions the other subunit for catalysis (PubMed:30057024).,"['cfa', 'cdfA', 'b1661', 'JW1653']"
369,Q46851,"['L-glyceraldehyde 3-phosphate reductase', 'GAP reductase']",Homotetramer.,"['gpr', 'mgrA', 'yghZ', 'b3001', 'JW2970']"
370,P33359,['Glycine betaine uptake system permease protein YehW'],"The complex is composed of two ATP-binding proteins (YehX), two transmembrane proteins (YehW and YehY) and a solute-binding protein (YehZ).","['yehW', 'b2128', 'JW2116']"
