reaction_id,scaling_factor
RIBtex_num2,4.208408957727503
GUI1_reverse,2.338300669907021
HACD8_num1,4.330646172791229
G1Ptex_num1,6.427973706449594
G1Ptex_reverse_num1,4.350929181217161
HACD1_reverse_num2,0.6364838943580999
CHLtex_num1,6.685264862439155
CHLtex_reverse_num1,4.776986845054366
ASCBptspp,0.01
LCARS_reverse,0.21871329268797535
IDONtex_reverse_num3,0.6713303226804986
IDONtex_num3,4.048201286212771
FORtex_num4,1.1755549404087962
FORtex_reverse_num4,2.4184441424315892
HACD5_num2,5.9560413242331425
G3PD2,5.112900680624148
TARTRDtex_num1,0.01
TARTRDtex_reverse_num1,3.40080258196024
HACD2_reverse_num2,6.121996800327603
AKGtex_num4,0.841807927727613
AKGtex_reverse_num4,3.2022758556008966
ASPtex_reverse_num4,3.2110253539973996
ASPtex_num4,5.130131629654418
ACtex_num2,0.6399819921531863
ACtex_reverse_num2,5.219166093988826
HYXNtex_num1,5.88068403871274
HYXNtex_reverse_num1,1.2951572380561618
HACD6_reverse_num2,5.458326857788846
CYSDtex_num1,2.966828947612549
CYSDtex_reverse_num1,0.01
RPI_num2,5.556737567554042
MEOHtex_reverse_num3,0.9303931782341567
MEOHtex_num3,0.31375745878251937
ECOAH4_reverse_num1,2.241111759650671
G1Ptex_num3,8.583293947640119
G1Ptex_reverse_num3,1.6537222201878243
CHLtex_num3,5.065021325499866
CHLtex_reverse_num3,0.19469811894820155
GLYtex_reverse_num1,1.906523341646984
GLYtex_num1,1.2353179147727453
TMAtex_num4,0.17234275889862608
TMAtex_reverse_num4,1.7256246109021816
ECOAH5_reverse_num1,4.610926214248566
UAGAAT,3.036630277711842
XTSNtex_reverse_num2,3.5560455584255397
XTSNtex_num2,4.147558941078177
FRUptspp,0.6886781947239887
ECOAH3_num2,4.588296844014131
A5PISO_num1,2.4025718819948416
HYXNtex_reverse_num3,2.367988237769069
HYXNtex_num3,1.3346441437313543
CYSDtex_num3,5.978747818495542
CYSDtex_reverse_num3,4.526826889074348
ETOHtex_num1,3.1559540181691377
ETOHtex_reverse_num1,0.048988312065244934
HACD7_reverse_num1,0.01
ECOAH8_reverse_num1,0.01
GLYtex_reverse_num3,3.6279070869903003
GLYtex_num3,5.498154558719238
CS,0.01
ALATA_L_reverse_num1,4.200760703908226
SKMtex_reverse_num4,2.694536119975174
SKMtex_num4,0.33678907165644434
PSERtex_reverse_num4,3.712564708740232
PSERtex_num4,2.972239305271086
TSULtex_reverse_num4,5.625523504870477
TSULtex_num4,0.38995185852731123
TARTRtex_num1,0.01
TARTRtex_reverse_num1,4.08069172189703
DMSOtex_num1,4.003308045326925
DMSOtex_reverse_num1,4.029206764503154
G3PD2_reverse,2.1997046281792407
XYLUt2pp,1.616225099981032
UREAtex_num4,2.6395583230505357
UREAtex_reverse_num4,2.238670129660415
FUMtex_num2,1.24894200873354
FUMtex_reverse_num2,4.115635800209511
GALTtex_reverse_num1,5.056229106271347
GALTtex_num1,1.437085325016737
ORNtex_reverse_num1,5.24355284858211
ORNtex_num1,3.234305002134354
PPALtex_num2,5.682740104641339
PPALtex_reverse_num2,0.01
GAMptspp,0.01
ETOHtex_num3,0.5331437784826267
ETOHtex_reverse_num3,1.1224123027394677
FUM_reverse_num2,0.01
GUI2_reverse,6.1585725851677475
FUCtex_reverse_num1,3.075572754413333
FUCtex_num1,2.834034138779777
IDONtex_num4,0.3660009781159602
IDONtex_reverse_num4,0.44377401901956703
TARTRtex_reverse_num3,1.915883087142269
TARTRtex_num3,1.3370076194598084
ASPTA_reverse,0.3159949461294899
DMSOtex_reverse_num3,4.020258979801473
DMSOtex_num3,4.108557224159391
MALTTTRtexi,4.885219362869987
ACKr_num3,2.2809320468990637
TARTRDtex_reverse_num2,2.704820170254542
TARTRDtex_num2,2.4663735311411346
FORtex_num2,4.650352052375142
FORtex_reverse_num2,2.981969219301803
GALTtex_num3,1.084902533270598
GALTtex_reverse_num3,1.5185859368524373
ORNtex_reverse_num3,2.0725183503308804
ORNtex_num3,0.045920242283445774
AKGtex_reverse_num2,1.3213263539620232
AKGtex_num2,3.4321766787847374
RMNtex_num2,6.541536708208817
RMNtex_reverse_num2,3.941418313582962
ASPtex_num2,8.881828498857491
ASPtex_reverse_num2,4.549150836319236
ECOAH6_num2,6.2881375060703615
G1Ptex_reverse_num4,0.01
G1Ptex_num4,3.425958827272188
CHLtex_num4,1.3598221883256074
CHLtex_reverse_num4,2.526885900773622
CYNTt2pp,8.92082864412141
MEOHtex_reverse_num2,0.30086449270027615
SLNTtex_reverse_num4,5.067833679004144
SLNTtex_num4,6.9397150278453825
HACD3_reverse_num2,0.9902888122836422
ACACT1r_num1,0.17057596155443963
FUCtex_num3,1.5754283761911245
FUCtex_reverse_num3,2.5956113999826034
HACD8_reverse_num1,2.085693541629916
HACD7_num2,2.5477749112278394
