BIGG id,Value,KinLLM_Bayesian
THRS,0.3265296,0.32652960000000025
METS,0.0926154,0.09261539999999999
ASPTA_reverse,1.75660739999994,1.7566074000000806
ALATA_L_reverse,0.6027108,0.0
ICL,0.1276456255846899,0.0
MALS,0.1280470255847102,0.0
ACKr,0.0,0.0
PTAr,4.600454399999999,4.600454399999998
ACKr_reverse,4.6004544,4.600454399999998
PTAr_reverse,0.0,0.0
CHORS,0.2286713999999995,0.2286714000000001
DHQS,0.2286713999999997,0.22867140000000008
DHQTi,0.2286713999999997,0.22867140000000005
DHAD1,0.5245614,0.5245614000000016
IPMD,0.2703186,0.27031859999999996
IPPS,0.2703186000000001,0.27031859999999996
PSERT,1.8915435423176568,1.03163940000006
PSP_L,1.8915435423176568,1.0316394000000597
SERAT,0.1487231999999999,0.1487232000000017
SERAT_reverse,0.0,0.0
DAPDC,0.2058966,0.20589659999999999
DAPE,0.2225694,0.22256939999999992
DHDPS,0.2225693999999999,0.22256939999999995
DHDPRy,0.2225693999999999,0.22256939999999992
CYSTL,0.0923465999999999,0.0923466
ANS,0.0341057999999999,0.0341058
GHMT2r,1.529928342317657,0.6700242000000581
MTHFC,1.4211339423176572,0.5947284000000765
MTHFD,1.421133942317657,0.5947284000000765
MTHFR2,0.0926154,0.09261539999999999
GHMT2r_reverse,0.0,0.0
MTHFC_reverse,0.0,0.0
MTHFD_reverse,0.0,0.0
GLUPRT,0.268942799999971,0.26894280000003823
PRAIS,0.2689427999999709,0.26894280000003834
