metname,inchikey
3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L
ag,FOIXSVOLVBLSDH-UHFFFAOYSA-N
3hpalmACP,NA
sectrna,NA
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L
tre6p,LABSPYBHMPDTEL-LIZSDCNHSA-L
2ddg6p,OVPRPPOVAXRCED-WVZVXSGGSA-K
ttrcyc,OFVLGDICTFRJMM-WESIUVDSSA-N
atp,ZKHQWZAMYRWXGA-KQYNXXCUSA-J
cdec3eACP,NA
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
acgal1p,FZLJPEPAYPUMMR-JAJWTYFOSA-L
3hpppn,QVWAEZJXDYOKEH-UHFFFAOYSA-M
progly,RNKSNIBMTUYWSH-YFKPBYRVSA-N
peamn,BHHGXPLMPWCGHP-UHFFFAOYSA-O
btal,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
12ppd__S,DNIAPMSPPWPWGF-VKHMYHEASA-N
3oddcoa,HQANBZHVWIDNQZ-GMHMEAMDSA-J
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
imacp,YCFFMSOLUMRAMD-UHFFFAOYSA-L
murein4p3p,AKLORNSFZCNZDU-UHFFFAOYSA-H
tartr__L,FEWJPZIEWOKRBE-JCYAYHJZSA-L
pe141,NA
f1p,RHKKZBWRNHGJEZ-VRPWFDPXSA-L
damp,KHWCHTKSEGGWEX-RRKCRQDMSA-L
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
3hoctaACP,NA
hacolipa,NA
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M
phphhlipa,MVYTXVAKEAWEGM-WMKPBWIYSA-D
kokdolipidA,NA
ser__D,MTCFGRXMJLQNBG-UWTATZPHSA-N
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N
4crsol,IWDCLRJOBJJRNH-UHFFFAOYSA-N
o2s,OUUQCZGPVNCOIJ-UHFFFAOYSA-M
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
dhpmp,PLSQMGZYOGSOCE-XINAWCOVSA-L
fldox,NA
cdigmp,NA
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
3ig3p,NQEQTYPJSIEPHW-MNOVXSKESA-L
dsbcrd,NA
o16a4und,RNMNOQBZUYAUDM-UBJCEAIVSA-J
xdp,YMOPVQQBWLGDOD-UUOKFMHZSA-K
aso3,AQLMHYSWFMLWBS-UHFFFAOYSA-N
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N
cbp,FFQKYPRQEYGKAF-UHFFFAOYSA-L
ni2,VEQPNABPJHWNSG-UHFFFAOYSA-N
tmao,UYPYRKYUKCHHIB-UHFFFAOYSA-N
kdo2lipid4p,LDKYKDQAKNLWER-RLUYZOBBSA-H
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
ogmeACP,NA
iscu_2fe2s,NA
peng,JGSARLDLIJGVTE-MBNYWOFBSA-M
q8h2,LOJUQFSPYHMHEO-SGHXUWJISA-N
tma,GETQZCLCWQTVFV-UHFFFAOYSA-O
glntrna,NA
lipidAds,HLDJGHAAKRKPAV-QDORLFPLSA-L
uamr,NQBRVZNDBBMBLJ-MQTLHLSBSA-K
clpn141,NA
glutcoa,SYKWLIJQEHRDNH-CKRMAKSASA-I
pan4p,JDMUPRLRUUMCTL-VIFPVBQESA-L
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
cph4,QSIYONWVWDSRRO-UHFFFAOYSA-M
ddca,NA
4izp,MYNHYKDPSRPBNZ-UHFFFAOYSA-N
cechddd,RKDFGWAXBBGKMR-APPZFPTMSA-M
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
phom,FXDNYOANAXWZHG-VKHMYHEASA-L
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
pa140,OZSITQMWYBNPMW-GDLZYMKVSA-L
adpglc,WFPZSXYXPSUOPY-ROYWQJLOSA-L
sl26da,GLXUWZBUPATPBR-BQBZGAKWSA-L
frulysp,NA
ditp,UFJPAQSLHAGEBL-RRKCRQDMSA-J
murein3p3p,QKZNHGKXDALVQW-UHFFFAOYSA-I
melib,DLRVVLDZNNYCBX-ZZFZYMBESA-N
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M
spmd,ATHGHQPFGPMSJY-UHFFFAOYSA-Q
sbt__D,FBPFZTCFMRRESA-JGWLITMVSA-N
LalaDgluMdap,NA
dhcinnm,SIUKXCMDYPYCLH-SNAWJCMRSA-M
23doguln,GJQWCDSAOUMKSE-STHAYSLISA-M
sufbcd_4fe4s,NA
h2o,XLYOFNOQVPJJNP-UHFFFAOYSA-N
3ocpalm9eACP,NA
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
kdolipid4,GPNCBCJEDRRCDW-ACUQGRCXSA-I
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
34dhphaccoa,BWFUCVJSCADRJW-CECATXLMSA-J
ap4a,YOAHKNVSNCMZGQ-XPWFQUROSA-J
cdpdodec11eg,KISJWPWNABZPGN-IGIWICMZSA-L
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
2agpe141,NA
unaga,NEVJGTXBHJNFAZ-JXCMATCVSA-L
sucorn,VWXQFHJBQHTHMK-LURJTMIESA-M
2odecg3p,NA
1tdec7eg3p,NA
phetrna,NA
14dhncoa,NA
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
met__L,FFEARJCKVFRZRR-BYPYZUCNSA-N
1agpe141,NA
apg120,AJCVDIXUOBZCPE-ZESVVUHVSA-M
od2coa,NBCCUIHOHUKBMK-ZDDAFBBHSA-J
clpn160,GRTNLBQYBYZCCM-ULKDXPJMSA-L
4ppcys,XQYALQVLCNHCFT-CBAPKCEASA-K
udcpo4,NA
2hyoxplac,CCVYRRGZDBSHFU-UHFFFAOYSA-M
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
icolipa,YKVGZDADLKRSPK-YRCDCJNSSA-C
hg2,BQPIGGFYSBELGY-UHFFFAOYSA-N
apg141,NA
scl,KWIZRXMMFRBUML-AHGFGAHVSA-F
arab__D,SRBFZHDQGSBBOR-ZRMNMSDTSA-N
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
quln,GJAWHXHKYYXBSV-UHFFFAOYSA-L
3ohdcoa,NQMPLXPCRJOSHL-BBECNAHFSA-J
udpg,HSCJRCZFDFQWRP-RDKQLNKOSA-L
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K
anhm4p,OUWAMZWZTFUVMV-NPLPHQDTSA-L
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
ala_B,UCMIRNVEIXFBKS-UHFFFAOYSA-N
fusa,IECPWNUMDGFDKC-MZJAQBGESA-M
quin,AAWZDTNXLSGCEK-WYWMIBKRSA-M
pppg9,UHSGPDMIQQYNAX-UHFFFAOYSA-L
histrna,NA
apg160,BSAFHIMUDGXOPA-OKPYTHRESA-M
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M
2hphaccoa,NA
salchs4fe,NA
adprib,SRNWOUGRCWSEMX-TYASJMOZSA-L
ctbt,GUYHPGUANSLONG-SNAWJCMRSA-N
oxur,UWBHMRBRLOJJAA-UHFFFAOYSA-M
udpLa4o,URJZIQLTPCJVMW-QNSCKLTRSA-L
thdp,CXMBCXQHOXUCEO-BYPYZUCNSA-L
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N
3hcpalm9eACP,NA
ggagicolipa,WLEFLXRCTUWFSD-CCRRCLIHSA-C
arbtn_fe3,KDHHWXGBNUCREU-HOTGVXAUSA-K
25drapp,OCLCLRXKNJCOJD-UMMCILCDSA-L
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
sucglu,JCNBNOQGFSXOML-YFKPBYRVSA-K
12dgr140,NA
bz,WPYMKLBDIGXBTP-UHFFFAOYSA-M
uLa4fn,YYVYMEXYAGAGTM-MOVGJWTDSA-M
chitob,CDOJPCSDOXYJJF-CBTAGEKQSA-N
4h2opntn,HFKQINMYQUXOCH-UHFFFAOYSA-M
lipopb,NA
seln,SPVXKVOXSXTJOY-UHFFFAOYSA-M
ps181,NA
toctd2eACP,NA
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
3hhcoa,VAAHKRMGOFIORX-IKTBLOROSA-J
moadamp,NA
fecrm,GGUNGDGGXMHBMJ-OCIDDWSYSA-N
moco,NA
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M
nadp,XJLXINKUBYWONI-NNYOXOHSSA-K
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
enter,SERBHKJMVBATSJ-BZSNNMDCSA-M
feroxGfe,NA
uama,NTMMCWJNQNKACG-KBKUWGQMSA-K
dhpt,WBFYVDCHGVNRBH-UHFFFAOYSA-M
dhptd,UYTRITJAZOPLCZ-BYPYZUCNSA-N
dsbdrd,NA
sucbz,YIVWQNVQRXFZJB-UHFFFAOYSA-L
trnapro,NA
3oddecACP,NA
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
allul6p,GSXOAOHZAIYLCY-NGJCXOISSA-L
trnaala,NA
ddcaACP,NA
salchs2fe,NA
etha,HZAXFHJVJLSVMW-UHFFFAOYSA-O
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
hmfurn,DLVYTANECMRFGX-UHFFFAOYSA-N
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N
