metname,inchikey
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
mdhdhf,CCVJVKWZZMMBHB-WVZVXSGGSA-N
dhmptp,DGGUVLXVLHAAGT-NJGYIYPDSA-K
glcur,AEMOLEFTQBMNLQ-AQKNRBDQSA-M
kdo2lipid4,XAOLJGCZESYRFT-VHSKNIDJSA-H
dtdpglu,YSYKRGRSMLTJNL-URARBOGNSA-L
halipa,FKGIQBXWASHJRH-JYIPIDLLSA-J
trnatyr,NA
prfp,QOUSHGMTBIIAHR-KEOHHSTQSA-J
cbi,XQRJFEVDQXEIAX-JFYQDRLCSA-M
acmum6p,NMEMTQKUEVNSPV-MKFCKLDKSA-K
u3hga,ZFPNNOXCEDQJQS-SSVOXRMNSA-M
salchsx,NA
sufbcd,NA
3hdcoa,HIVSMYZAMUNFKZ-PNPVFPMQSA-J
mmet,YDBYJHTYSHBBAU-YFKPBYRVSA-O
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
actACP,NA
26dap_LL,GMKMEZVLHJARHF-WHFBIAKZSA-N
pe140,NA
pg120,NA
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N
murein5p3p,SBOXLYQXPDGZLN-UHFFFAOYSA-G
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K
3ophb,UTIBHEBNILDQKX-LQOKPSQISA-M
so2,RAHZWNYVWXNFOC-UHFFFAOYSA-N
thrp,USRGIUJOYOXOQJ-GBXIJSLDSA-L
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
cpmp,CZAKJJUNKNPTTO-AJFJRRQVSA-N
26dap__M,GMKMEZVLHJARHF-SYDPRGILSA-N
2dr5p,ALQNUOMIEBHXQG-CRCLSJGQSA-L
rbl__L,ZAQJHHRNXZUBTE-UCORVYFPSA-N
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
fgam,VDXLUNDMVKSKHO-ZRTZXPPTSA-L
idon__L,RGHNJXZEOKUKBD-SKNVOMKLSA-M
dgtp,HAAZLUGHYHWQIW-KVQBGUIXSA-J
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
35dhpha,NA
murein5px4px4p,UVVIMBIDZMDRCG-UHFFFAOYSA-D
dimp,PHNGFPPXDJJADG-RRKCRQDMSA-L
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
4h3npac,QBHBHOSRLDPIHG-UHFFFAOYSA-L
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
gtp,XKMLYUALXHKNFT-UUOKFMHZSA-J
2mcit,YNOXCRMFGMSKIJ-NFNCENRGSA-K
selnp,JRPHGDYSKGJTKZ-UHFFFAOYSA-K
