reac,reaction,ec_number
5DGLCNR_reverse,glcn_c + nadp_c --> 5dglcn_c + h_c + nadph_c,1.1.1
5DGLCNt2rpp_reverse,5dglcn_c + h_c --> 5dglcn_p + h_p,NA
5DGLCNtex_reverse_num1,5dglcn_p --> 5dglcn_e,NA
5MTRtex_reverse_num1,5mtr_p --> 5mtr_e,NA
3HPPtex_reverse_num1,3hpp_p --> 3hpp_e,NA
A5PISO_reverse_num1,ara5p_c --> ru5p__D_c,NA
ADK3_reverse,adp_c + gdp_c --> amp_c + gtp_c,2.7.4.10
ACMANAtex_reverse_num1,acmana_p --> acmana_e,NA
ABUTtex_reverse_num1,4abut_p --> 4abut_e,NA
ACACT1r_reverse_num1,aacoa_c + coa_c --> 2.0 accoa_c,NA
ACNAMtex_reverse_num1,acnam_p --> acnam_e,NA
ACOAD1f_reverse,b2coa_c + fadh2_c --> btcoa_c + fad_c,1.3.3.6
ACOAD2f_reverse,fadh2_c + hx2coa_c --> fad_c + hxcoa_c,1.3.99.3
ACOAD3f_reverse,fadh2_c + oc2coa_c --> fad_c + occoa_c,1.3.3.6
ACACT2r_reverse_num1,3ohcoa_c + coa_c --> accoa_c + btcoa_c,NA
ACACT3r_reverse_num1,3oocoa_c + coa_c --> accoa_c + hxcoa_c,NA
ACACT4r_reverse_num1,3odcoa_c + coa_c --> accoa_c + occoa_c,NA
ACACT5r_reverse_num1,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,NA
ACACT6r_reverse_num1,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,NA
ACACT7r_reverse_num1,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,NA
ACACT8r_reverse_num1,accoa_c + pmtcoa_c --> 3ohodcoa_c + coa_c,NA
ACOAD4f_reverse,dc2coa_c + fadh2_c --> dcacoa_c + fad_c,1.3.99.3
ACOAD5f_reverse,dd2coa_c + fadh2_c --> ddcacoa_c + fad_c,1.3.3.6
ACOAD6f_reverse,fadh2_c + td2coa_c --> fad_c + tdcoa_c,1.3.3.6
ACOAD7f_reverse,fadh2_c + hdd2coa_c --> fad_c + pmtcoa_c,1.3.3.6
ACOAD8f_reverse,fadh2_c + od2coa_c --> fad_c + stcoa_c,NA
ACOATA_reverse,acACP_c + coa_c --> ACP_c + accoa_c,2.3.1.-
ACACt2pp_reverse,acac_c + h_c --> acac_p + h_p,NA
ACONIs_reverse,acon_C_c --> acon_T_c,5.3.3.7
ACACtex_reverse_num1,acac_p --> acac_e,NA
ACALD_reverse_num1,accoa_c + h_c + nadh_c --> acald_c + coa_c + nad_c,NA
ACALDtex_reverse_num1,acald_p --> acald_e,NA
ACALDtpp_reverse,acald_c --> acald_p,NA
ACONTa_reverse_num1,acon_C_c + h2o_c --> cit_c,NA
ACONTb_reverse_num1,icit_c --> acon_C_c + h2o_c,NA
ACOTA_reverse_num1,acg5sa_c + glu__L_c --> acorn_c + akg_c,NA
ACGAL1Ptex_reverse_num1,acgal1p_p --> acgal1p_e,NA
ACGALtex_reverse_num1,acgal_p --> acgal_e,NA
ACGAM1Ptex_reverse_num1,acgam1p_p --> acgam1p_e,NA
ACGAtex_reverse_num1,acgam_p --> acgam_e,NA
ACSERtex_reverse_num1,acser_p --> acser_e,NA
ACt2rpp_reverse,ac_c + h_c --> ac_p + h_p,NA
ACKr_reverse_num1,actp_c + adp_c --> ac_c + atp_c,NA
ADK4_reverse,adp_c + idp_c --> amp_c + itp_c,NA
ACtex_reverse_num1,ac_p --> ac_e,NA
ADNt2pp,adn_c + h_c --> adn_p + h_p,NA
ADEt2rpp_reverse_num1,ade_c + h_c --> ade_p + h_p,NA
ADEtex_reverse_num1,ade_p --> ade_e,NA
ADNtex_reverse,adn_p --> adn_e,NA
ADK1_reverse,2.0 adp_c --> amp_c + atp_c,2.7.4.3
ANHGMtex_reverse_num1,anhgm_p --> anhgm_e,NA
ALAALAtex_reverse_num1,alaala_p --> alaala_e,NA
ALAGLUE_reverse,LalaLglu_c --> LalaDglu_c,5.1.1.20
ALAR_reverse_num1,ala__D_c --> ala__L_c,NA
ALATA_L_reverse_num1,glu__L_c + pyr_c --> akg_c + ala__L_c,NA
ALAt2pp,ala__L_c + h_c --> ala__L_p + h_p,NA
ALAtex_reverse_num1,ala__L_p --> ala__L_e,NA
ALCD19_reverse,glyc_c + nad_c --> glyald_c + h_c + nadh_c,1.1.1.21
ALCD2x_reverse_num1,acald_c + h_c + nadh_c --> etoh_c + nad_c,NA
ALDD19xr_reverse,2.0 h_c + nadh_c + pac_c --> h2o_c + nad_c + pacald_c,1.2.1.39
ALLPI_reverse,allul6p_c --> all6p_c,5.3.1.6
ALLTNt2rpp_reverse,alltn_c + h_c --> alltn_p + h_p,NA
ALLTNtex_reverse_num1,alltn_p --> alltn_e,NA
ALLULPE_reverse,f6p_c --> allul6p_c,5.1.3
APPLDHr_reverse,appl_c + nad_c --> aact_c + h_c + nadh_c,1.1.1.75
ALLtex_reverse_num1,all__D_p --> all__D_e,NA
ARAI_reverse,rbl__L_c --> arab__L_c,5.3.1.4
ADSL1r_reverse,amp_c + fum_c --> dcamp_c,4.3.2.2
ADSL2r_reverse,aicar_c + fum_c --> 25aics_c,4.3.2.2
AMANAPEr_reverse,acgam6p_c --> acmanap_c,5.1.3.9
AMAOTr_reverse,amob_c + dann_c --> 8aonn_c + amet_c,2.6.1.62
ARBt2rpp_reverse,arab__L_c + h_c --> arab__L_p + h_p,NA
ARBtex_reverse_num1,arab__L_p --> arab__L_e,NA
ARGAGMt7pp_reverse,agm_p + arg__L_c --> agm_c + arg__L_p,NA
ARGORNt7pp_reverse,arg__L_c + orn_p --> arg__L_p + orn_c,NA
AMPtex_reverse_num1,amp_p --> amp_e,NA
ARGSL_reverse,arg__L_c + fum_c --> argsuc_c,4.3.2.1
ASAD_reverse,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,1.2.1.11
ASCBtex_reverse_num1,ascb__L_p --> ascb__L_e,NA
ARGtex_reverse_num1,arg__L_p --> arg__L_e,NA
ASNt2rpp_reverse,asn__L_c + h_c --> asn__L_p + h_p,NA
ASNtex_reverse_num1,asn__L_p --> asn__L_e,NA
BTNtex_reverse_num1,btn_p --> btn_e,NA
ASO3tex_reverse_num1,aso3_p --> aso3_e,NA
BUTSO3tex_reverse_num1,butso3_p --> butso3_e,NA
BUTt2rpp_reverse,but_c + h_c --> but_p + h_p,NA
BUTtex_reverse_num1,but_p --> but_e,NA
ASPK_reverse_num1,4pasp_c + adp_c --> asp__L_c + atp_c,NA
CA2tex_reverse_num1,ca2_p --> ca2_e,NA
ASPTA_reverse,glu__L_c + oaa_c --> akg_c + asp__L_c,2.6.1.1
CAt6pp_reverse,ca2_p + na1_c --> ca2_c + na1_p,NA
CBIAT_reverse,adocbi_c + pppi_c --> atp_c + cbi_c + h_c,2.5.1.17
ASPt2pp,asp__L_c + h_c --> asp__L_p + h_p,NA
ASPtex_reverse_num1,asp__L_p --> asp__L_e,NA
ATHRDHr_reverse,2aobut_c + h_c + nadph_c --> athr__L_c + nadp_c,1.1.1.381
CBLAT_reverse,adocbl_c + pppi_c --> atp_c + cbl1_c + h_c,2.5.1.17
CBMKr_reverse_num1,adp_c + cbp_c + 2.0 h_c --> atp_c + co2_c + nh4_c,NA
ATPS4rpp_reverse_num1,atp_c + h2o_c + 3.0 h_c --> adp_c + 4.0 h_p + pi_c,NA
BALAtex_reverse_num1,ala_B_p --> ala_B_e,NA
CD2tex_reverse_num1,cd2_p --> cd2_e,NA
CGLYtex_reverse_num1,cgly_p --> cgly_e,NA
CHLtex_reverse_num1,chol_p --> chol_e,NA
CHTBStex_reverse_num1,chtbs_p --> chtbs_e,NA
CITtex_reverse_num1,cit_p --> cit_e,NA
CLPNS120pp_reverse_num1,clpn120_p + glyc_p --> 2.0 pg120_p,NA
CLPNS140pp_reverse_num1,clpn140_p + glyc_p --> 2.0 pg140_p,NA
CRNBTCT_reverse,crncoa_c + gbbtn_c --> bbtcoa_c + crn_c,2.8.3.21
CLPNS141pp_reverse_num1,clpn141_p + glyc_p --> 2.0 pg141_p,NA
CRNCAR_reverse,crnDcoa_c --> crncoa_c,5.1.1
CRNCBCT_reverse,crncoa_c + ctbt_c --> crn_c + ctbtcoa_c,2.8.3.21
CLPNS160pp_reverse_num1,clpn160_p + glyc_p --> 2.0 pg160_p,NA
CLPNS161pp_reverse_num1,clpn161_p + glyc_p --> 2.0 pg161_p,NA
CLPNS180pp_reverse_num1,clpn180_p + glyc_p --> 2.0 pg180_p,NA
CRNCDH_reverse,ctbtcoa_c + h2o_c --> crncoa_c,4.2.1.149
CLPNS181pp_reverse_num1,clpn181_p + glyc_p --> 2.0 pg181_p,NA
CLtex_reverse_num1,cl_p --> cl_e,NA
CRNDt2rpp_reverse,crn__D_c + h_c --> crn__D_p + h_p,NA
CRNDtex_reverse_num1,crn__D_p --> crn__D_e,NA
CRNt2rpp_reverse,crn_c + h_c --> crn_p + h_p,NA
CMPtex_reverse_num1,cmp_p --> cmp_e,NA
CMtex_reverse_num1,cm_p --> cm_e,NA
CO2tex_reverse_num1,co2_p --> co2_e,NA
CO2tpp_reverse,co2_c --> co2_p,NA
CRNtex_reverse_num1,crn_p --> crn_e,NA
AGMtex_reverse_num1,agm_p --> agm_e,NA
CSNtex_reverse_num1,csn_p --> csn_e,NA
COBALT2tex_reverse_num1,cobalt2_p --> cobalt2_e,NA
CTBTt2rpp_reverse,ctbt_c + h_c --> ctbt_p + h_p,NA
CTECOAI6,td2coa_c --> tdecoa_c,5.3.3.8
CTECOAI7,hdd2coa_c --> hdcoa_c,5.3.3.8
CTECOAI8,od2coa_c --> odecoa_c,5.3.3.8
CYANtex_reverse_num1,cyan_p --> cyan_e,NA
CYNTtex_reverse_num1,cynt_p --> cynt_e,NA
CU2tex_reverse_num1,cu2_p --> cu2_e,NA
CUtex_reverse_num1,cu_p --> cu_e,NA
CYSDtex_reverse_num1,cys__D_p --> cys__D_e,NA
CYStex_reverse_num1,cys__L_p --> cys__L_e,NA
DCAtex_reverse_num1,dca_p --> dca_e,NA
DCMPtex_reverse_num1,dcmp_p --> dcmp_e,NA
CYTDt2pp,cytd_c + h_c --> cytd_p + h_p,NA
CYTDtex_reverse_num1,cytd_p --> cytd_e,NA
DCYTtex_reverse,dcyt_p --> dcyt_e,NA
CYTK1_reverse,adp_c + cdp_c --> atp_c + cmp_c,2.7.4.14
CYTK2_reverse,adp_c + dcdp_c --> atp_c + dcmp_c,2.7.4.13
D_LACt2pp_reverse_num1,h_c + lac__D_c --> h_p + lac__D_p,NA
D_LACtex_reverse_num1,lac__D_p --> lac__D_e,NA
DDGLCNt2rpp_reverse,2ddglcn_c + h_c --> 2ddglcn_p + h_p,NA
DDGLCNtex_reverse_num1,2ddglcn_p --> 2ddglcn_e,NA
DADK,adp_c + dadp_c --> atp_c + damp_c,2.7.4.11
DADNtex_reverse,dad_2_p --> dad_2_e,NA
DDPGALA_reverse,g3p_c + pyr_c --> 2dh3dgal6p_c,4.1.2.21
DGK1_reverse,adp_c + dgdp_c --> atp_c + dgmp_c,2.7.4.12
DGMPtex_reverse_num1,dgmp_p --> dgmp_e,NA
DGSNtex_reverse_num1,dgsn_p --> dgsn_e,NA
DHACOAH_reverse,3hadpcoa_c --> 23dhacoa_c + h2o_c,4.2.1.17
AGPR_reverse,acg5p_c + h_c + nadph_c --> acg5sa_c + nadp_c + pi_c,1.2.1.38
DHAtex_reverse_num1,dha_p --> dha_e,NA
DHAtpp_reverse,dha_c --> dha_p,NA
DHBD_reverse,23dhb_c + h_c + nadh_c --> 23ddhb_c + nad_c,1.3.1.28
DALAtex_reverse_num1,ala__D_p --> ala__D_e,NA
DAMPtex_reverse_num1,damp_p --> damp_e,NA
DAPE_reverse,26dap__M_c --> 26dap_LL_c,5.1.1.7
DAPtex_reverse_num1,15dap_p --> 15dap_e,NA
DHFR_reverse_num1,nadp_c + thf_c --> dhf_c + h_c + nadph_c,NA
DHNPA2r_reverse,6hmhpt_c + gcald_c --> dhnpt_c,4.1.2.25
DHNPTE_reverse,dhmpt_c --> dhnpt_c,NA
DHPTPE_reverse,dhmptp_c --> ahdt_c,5.1.99.d
AICART_reverse,fprica_c + thf_c --> 10fthf_c + aicar_c,2.1.2.3
DIMPtex_reverse_num1,dimp_p --> dimp_e,NA
DHORTS_reverse,cbasp_c + h_c --> dhor__S_c + h2o_c,3.5.2.3
DINStex_reverse_num1,din_p --> din_e,NA
AIRC3_reverse,5caiz_c --> 5aizc_c,5.4.99.18
DURItex_reverse,duri_p --> duri_e,NA
E4PD_reverse_num1,4per_c + 2.0 h_c + nadh_c --> e4p_c + h2o_c + nad_c,NA
DMSOtex_reverse_num1,dmso_p --> dmso_e,NA
DMSOtpp_reverse,dmso_c --> dmso_p,NA
DMStex_reverse_num1,dms_p --> dms_e,NA
AKGt2rpp_reverse,akg_c + h_c --> akg_p + h_p,NA
DOPAtex_reverse_num1,dopa_p --> dopa_e,NA
DOXRBCNtex_reverse_num1,doxrbcn_p --> doxrbcn_e,NA
AKGtex_reverse_num1,akg_p --> akg_e,NA
DSERDHr_reverse,2amsa_c + h_c + nadph_c --> nadp_c + ser__D_c,NA
DSERtex_reverse_num1,ser__D_p --> ser__D_e,NA
DTMPK_reverse,adp_c + dtdp_c --> atp_c + dtmp_c,2.7.4.12
DTMPtex_reverse_num1,dtmp_p --> dtmp_e,NA
DUMPtex_reverse_num1,dump_p --> dump_e,NA
DURADx_reverse,h_c + nadh_c + ura_c --> 56dura_c + nad_c,1.3.1.1
DURIPP_reverse_num1,2dr1p_c + ura_c --> duri_c + pi_c,NA
ECOAH1_reverse_num1,b2coa_c + h2o_c --> 3hbcoa_c,NA
ALAALAr_reverse_num1,adp_c + alaala_c + h_c + pi_c --> 2.0 ala__D_c + atp_c,NA
ECOAH2_reverse_num1,h2o_c + hx2coa_c --> 3hhcoa_c,NA
ECOAH3_reverse_num1,h2o_c + oc2coa_c --> 3hocoa_c,NA
ECOAH4_reverse_num1,dc2coa_c + h2o_c --> 3hdcoa_c,NA
FCI_reverse,fcl__L_c --> fuc__L_c,5.3.1.3
ECOAH5_reverse_num1,dd2coa_c + h2o_c --> 3hddcoa_c,NA
ECOAH6_reverse_num1,h2o_c + td2coa_c --> 3htdcoa_c,NA
ECOAH7_reverse_num1,h2o_c + hdd2coa_c --> 3hhdcoa_c,NA
ECOAH8_reverse_num1,h2o_c + od2coa_c --> 3hodcoa_c,NA
ETHAtex_reverse_num1,etha_p --> etha_e,NA
ETHSO3tex_reverse_num1,ethso3_p --> ethso3_e,NA
ENO_reverse,h2o_c + pep_c --> 2pg_c,4.2.1.11
ETOHtex_reverse_num1,etoh_p --> etoh_e,NA
ETOHtrpp_reverse,etoh_c --> etoh_p,NA
F6PA_reverse_num1,dha_c + g3p_c --> f6p_c,NA
F6Ptex_reverse_num1,f6p_p --> f6p_e,NA
FCLPA_reverse_num1,dhap_c + lald__L_c --> fc1p_c,NA
FORCT_reverse,for_c + oxalcoa_c --> forcoa_c + oxa_c,2.8.3.16
FORtex_reverse_num1,for_p --> for_e,NA
FALDH2_reverse,Sfglutth_c + h_c + nadh_c --> hmgth_c + nad_c,1.1.1
FRULYSDG_reverse,g6p_c + lys__L_c --> frulysp_c + h2o_c,NA
FRULYSE_reverse,frulys_c --> psclys_c,NA
FALDtex_reverse_num1,fald_p --> fald_e,NA
FALDtpp_reverse,fald_c --> fald_p,NA
FALGTHLs_reverse,hmgth_c --> fald_c + gthrd_c,4.4.1.22
FBA_reverse_num1,dhap_c + g3p_c --> fdp_c,NA
FBA3_reverse,dhap_c + e4p_c --> s17bp_c,4.1.2
FRULYStex_reverse_num1,frulys_p --> frulys_e,NA
FRUURt2rpp_reverse,fruur_c + h_c --> fruur_p + h_p,NA
FRUURtex_reverse_num1,fruur_p --> fruur_e,NA
FRUtex_reverse_num1,fru_p --> fru_e,NA
FUCtex_reverse_num1,fuc__L_p --> fuc__L_e,NA
FUCtpp_reverse,fuc__L_c + h_c --> fuc__L_p + h_p,NA
FUM_reverse_num1,mal__L_c --> fum_c + h2o_c,NA
FUMtex_reverse_num1,fum_p --> fum_e,NA
FUSAtex_reverse_num1,fusa_p --> fusa_e,NA
G6Ptex_reverse_num1,g6p_p --> g6p_e,NA
GAL1Ptex_reverse_num1,gal1p_p --> gal1p_e,NA
G1Ptex_reverse_num1,g1p_p --> g1p_e,NA
GALBDtex_reverse_num1,gal_bD_p --> gal_bD_e,NA
G1SAT_reverse,5aop_c --> glu1sa_c,5.4.3.8
GALCTNLtex_reverse_num1,galctn__L_p --> galctn__L_e,NA
GALCTNtex_reverse_num1,galctn__D_p --> galctn__D_e,NA
GALCTt2rpp_reverse_num1,galct__D_c + h_c --> galct__D_p + h_p,NA
GALCTtex_reverse_num1,galct__D_p --> galct__D_e,NA
GALKr_reverse_num1,adp_c + gal1p_c + h_c --> atp_c + gal_c,NA
G3PCtex_reverse_num1,g3pc_p --> g3pc_e,NA
G3PD2_reverse,dhap_c + h_c + nadph_c --> glyc3p_c + nadp_c,1.1.1.94
GALTtex_reverse_num1,galt_p --> galt_e,NA
GALURt2rpp_reverse,galur_c + h_c --> galur_p + h_p,NA
GALURtex_reverse_num1,galur_p --> galur_e,NA
G3PEtex_reverse_num1,g3pe_p --> g3pe_e,NA
GALtex_reverse_num1,gal_p --> gal_e,NA
GAMAN6Ptex_reverse_num1,gam6p_p --> gam6p_e,NA
G3PGtex_reverse_num1,g3pg_p --> g3pg_e,NA
G3PItex_reverse_num1,g3pi_p --> g3pi_e,NA
GAMtex_reverse_num1,gam_p --> gam_e,NA
G3PStex_reverse_num1,g3ps_p --> g3ps_e,NA
GAPD_reverse,13dpg_c + h_c + nadh_c --> g3p_c + nad_c + pi_c,1.2.1.12
GARFT_reverse,fgam_c + h_c + thf_c --> 10fthf_c + gar_c,2.1.2.2
GBBTNtex_reverse_num1,gbbtn_p --> gbbtn_e,NA
G6PDH2r_reverse,6pgl_c + h_c + nadph_c --> g6p_c + nadp_c,1.1.1.363
GDPtex_reverse_num1,gdp_p --> gdp_e,NA
GHBDHx_reverse,ghb_c + nad_c --> h_c + nadh_c + sucsal_c,1.1.1.61
GGGABADr_reverse,gg4abut_c + 2.0 h_c + nadph_c --> ggbutal_c + h2o_c + nadp_c,1.2.1.-
GHMT2r_reverse,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,2.1.2.1
FE2tex_reverse_num1,fe2_p --> fe2_e,NA
GK1_reverse,adp_c + gdp_c --> atp_c + gmp_c,2.7.4.8
GLCATr_reverse,acglc__D_c + coa_c --> accoa_c + glc__D_c,2.3.1.79
GLUt2rpp_reverse,glu__L_c + h_c --> glu__L_p + h_p,NA
GLCNt2rpp_reverse_num1,glcn_c + h_c --> glcn_p + h_p,NA
GLCNtex_reverse_num1,glcn_p --> glcn_e,NA
GLUtex_reverse_num1,glu__L_p --> glu__L_e,NA
GLYALDtex_reverse_num1,glyald_p --> glyald_e,NA
GLYALDtpp_reverse,glyald_c --> glyald_p,NA
GLYAT_reverse,2aobut_c + coa_c --> accoa_c + gly_c,2.3.1.29
GLCRt2rpp_reverse_num1,glcr_c + h_c --> glcr_p + h_p,NA
GLCRtex_reverse_num1,glcr_p --> glcr_e,NA
GLYBtex_reverse_num1,glyb_p --> glyb_e,NA
GLCUR1Ptex_reverse_num1,glcur1p_p --> glcur1p_e,NA
GLCURt2rpp_reverse_num1,glcur_c + h_c --> glcur_p + h_p,NA
GLYC2Ptex_reverse_num1,glyc2p_p --> glyc2p_e,NA
GLYC3Ptex_reverse_num1,glyc3p_p --> glyc3p_e,NA
GLYCAt2rpp_reverse_num1,glyc__R_c + h_c --> glyc__R_p + h_p,NA
GLCURtex_reverse_num1,glcur_p --> glcur_e,NA
GLCtex,glc__D_p --> glc__D_e,NA
GLYCAtex_reverse_num1,glyc__R_p --> glyc__R_e,NA
GLYCLTt2rpp_reverse_num1,glyclt_c + h_c --> glyclt_p + h_p,NA
GLYCLTtex_reverse_num1,glyclt_p --> glyclt_e,NA
GLNtex_reverse_num1,gln__L_p --> gln__L_e,NA
GLTPD_reverse,h_c + nadh_c + tag6p__D_c --> galt1p_c + nad_c,1.1.1.251
GLYCtex_reverse_num1,glyc_p --> glyc_e,NA
GLYCtpp_reverse_num1,glyc_p --> glyc_c,NA
GLUABUTt7pp_reverse,4abut_p + glu__L_c --> 4abut_c + glu__L_p,NA
GLUDy_reverse,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,1.4.1.13
GLUR_reverse,glu__L_c --> glu__D_c,5.1.1.3
GLYt2pp,gly_c + h_c --> gly_p + h_p,NA
GLYtex_reverse_num1,gly_p --> gly_e,NA
GMPtex_reverse_num1,gmp_p --> gmp_e,NA
H2Otpp_reverse_num1,h2o_c --> h2o_p,NA
H2Stex_reverse_num1,h2s_p --> h2s_e,NA
H2tex_reverse_num1,h2_p --> h2_e,NA
H2tpp_reverse,h2_c --> h2_p,NA
HACD1_reverse_num1,3hbcoa_c + nad_c --> aacoa_c + h_c + nadh_c,NA
HACD2_reverse_num1,3hhcoa_c + nad_c --> 3ohcoa_c + h_c + nadh_c,NA
HACD3_reverse_num1,3hocoa_c + nad_c --> 3oocoa_c + h_c + nadh_c,NA
HACD4_reverse_num1,3hdcoa_c + nad_c --> 3odcoa_c + h_c + nadh_c,NA
GSNtex_reverse_num1,gsn_p --> gsn_e,NA
GTHOXtex_reverse_num1,gthox_p --> gthox_e,NA
HACD5_reverse_num1,3hddcoa_c + nad_c --> 3oddcoa_c + h_c + nadh_c,NA
HACD6_reverse_num1,3htdcoa_c + nad_c --> 3otdcoa_c + h_c + nadh_c,NA
HACD7_reverse_num1,3hhdcoa_c + nad_c --> 3ohdcoa_c + h_c + nadh_c,NA
HACD8_reverse_num1,3hodcoa_c + nad_c --> 3ohodcoa_c + h_c + nadh_c,NA
HADPCOADH3_reverse,h_c + nadh_c + oxadpcoa_c --> 3hadpcoa_c + nad_c,1.1.1.157
HCINNMt2rpp_reverse,3hcinnm_c + h_c --> 3hcinnm_p + h_p,NA
HCINNMtex_reverse_num1,3hcinnm_p --> 3hcinnm_e,NA
HCO3E_reverse_num1,h_c + hco3_c --> co2_c + h2o_c,NA
GTHOr_reverse,2.0 gthrd_c + nadp_c --> gthox_c + h_c + nadph_c,1.8.1.7
GTHRDtex_reverse_num1,gthrd_p --> gthrd_e,NA
GTPtex_reverse_num1,gtp_p --> gtp_e,NA
HEXt2rpp_reverse,h_c + hxa_c --> h_p + hxa_p,NA
HG2tex_reverse_num1,hg2_p --> hg2_e,NA
GUAtex_reverse,gua_p --> gua_e,NA
GUAtpp_reverse,gua_c --> gua_p,NA
GUI1_reverse,fruur_c --> glcur_c,5.3.1.12
GUI2_reverse,tagur_c --> galur_c,5.3.1.12
H2O2tex_reverse_num1,h2o2_p --> h2o2_e,NA
H2Otex_reverse_num1,h2o_p --> h2o_e,NA
HISt2rpp_reverse,h_c + his__L_c --> h_p + his__L_p,NA
HIStex_reverse_num1,his__L_p --> his__L_e,NA
HPPPNt2rpp_reverse,3hpppn_c + h_c --> 3hpppn_p + h_p,NA
HPPPNtex_reverse_num1,3hpppn_p --> 3hpppn_e,NA
HPYRI_reverse,2h3oppan_c --> hpyr_c,5.3.1.22
HOMtex_reverse_num1,hom__L_p --> hom__L_e,NA
HSDy_reverse_num1,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,NA
ILEt2rpp_reverse,h_c + ile__L_c --> h_p + ile__L_p,NA
ILEtex_reverse_num1,ile__L_p --> ile__L_e,NA
IMPC_reverse,fprica_c --> h2o_c + imp_c,2.1.2.3
HXAtex_reverse_num1,hxa_p --> hxa_e,NA
IMPtex_reverse_num1,imp_p --> imp_e,NA
INDOLEt2rpp_reverse,h_c + indole_c --> h_p + indole_p,NA
INDOLEtex_reverse_num1,indole_p --> indole_e,NA
INSTtex_reverse_num1,inost_p --> inost_e,NA
HYXNtex_reverse_num1,hxan_p --> hxan_e,NA
HYXNtpp_reverse,hxan_c --> hxan_p,NA
Htex_reverse_num1,h_p --> h_e,NA
INSt2pp,h_c + ins_c --> h_p + ins_p,NA
INStex_reverse,ins_p --> ins_e,NA
IPDDI_reverse,dmpp_c --> ipdp_c,5.3.3.2
ICDHyr_reverse,akg_c + co2_c + nadph_c --> icit_c + nadp_c,1.1.1.42
ICHORS,ichor_c --> chor_c,5.4.4.2
IPPMIa_reverse,2ippm_c + h2o_c --> 3c2hmp_c,4.2.1.33
IPPMIb_reverse,3c3hmp_c --> 2ippm_c + h2o_c,4.2.1.33
ISETACtex_reverse_num1,isetac_p --> isetac_e,NA
FE3tex_reverse_num1,fe3_p --> fe3_e,NA
IDOND_reverse,idon__L_c + nad_c --> 5dglcn_c + h_c + nadh_c,1.1.1.264
IDONt2rpp_reverse,h_c + idon__L_c --> h_p + idon__L_p,3.6.3
IDONtex_reverse_num1,idon__L_p --> idon__L_e,NA
KARA1_reverse,alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,1.1.1.383
KARA2_reverse,23dhmp_c + nadp_c --> 2ahbut_c + h_c + nadph_c,1.1.1.86
ILETA_reverse,3mop_c + glu__L_c --> akg_c + ile__L_c,2.6.1.42
Ktex_reverse_num1,k_p --> k_e,NA
L_LACt2rpp_reverse_num1,h_c + lac__L_c --> h_p + lac__L_p,NA
L_LACtex_reverse_num1,lac__L_p --> lac__L_e,NA
LALADGLUtex_reverse_num1,LalaDglu_p --> LalaDglu_e,NA
LALALGLUtex_reverse_num1,LalaLglu_p --> LalaLglu_e,NA
LCARR_reverse,12ppd__R_c + nad_c --> h_c + lald__D_c + nadh_c,1.1.1.77
LCARS_reverse,12ppd__S_c + nad_c --> h_c + lald__L_c + nadh_c,1.1.1.77
LCTStex_reverse_num1,lcts_p --> lcts_e,NA
LCTStpp_reverse,h_c + lcts_c --> h_p + lcts_p,NA
LDH_D_reverse_num1,h_c + nadh_c + pyr_c --> lac__D_c + nad_c,NA
LEUt2rpp_reverse,h_c + leu__L_c --> h_p + leu__L_p,NA
LEUtex_reverse_num1,leu__L_p --> leu__L_e,NA
LIPOtex_reverse_num1,lipoate_p --> lipoate_e,NA
LSERDHr_reverse,2amsa_c + h_c + nadph_c --> nadp_c + ser__L_c,1.1.1.276
MALDtex_reverse_num1,mal__D_p --> mal__D_e,NA
MALTATr_reverse,acmalt_c + coa_c --> accoa_c + malt_c,2.3.1.79
LYStex_reverse_num1,lys__L_p --> lys__L_e,NA
LYXtex_reverse_num1,lyx__L_p --> lyx__L_e,NA
M1PD_reverse,f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,1.1.1.17
MALtex_reverse_num1,mal__L_p --> mal__L_e,NA
MAN6PI_reverse,f6p_c --> man6p_c,5.3.1.8
MAN6Ptex_reverse_num1,man6p_p --> man6p_e,NA
MDH_reverse,h_c + nadh_c + oaa_c --> mal__L_c + nad_c,1.1.1.299
MANAO_reverse,fruur_c + h_c + nadh_c --> mana_c + nad_c,1.1.1.57
MANGLYCtex_reverse_num1,manglyc_p --> manglyc_e,NA
MANtex_reverse_num1,man_p --> man_e,NA
MCITL2_reverse,pyr_c + succ_c --> micit_c,4.1.3.30
MCOATA_reverse,coa_c + malACP_c --> ACP_c + malcoa_c,2.3.1.-
MELIBtex_reverse_num1,melib_p --> melib_e,NA
MEOHtex_reverse_num1,meoh_p --> meoh_e,NA
MEOHtrpp_reverse,meoh_c --> meoh_p,NA
METDtex_reverse_num1,met__D_p --> met__D_e,NA
METSOX1tex_reverse_num1,metsox_S__L_p --> metsox_S__L_e,NA
MSO3tex_reverse_num1,mso3_p --> mso3_e,NA
MTHFC_reverse,10fthf_c + h_c --> h2o_c + methf_c,1.5.1.15
