reac,reaction,ec_number
EX_k,k_e --> ,NA
EX_kdo2lipid4,kdo2lipid4_e --> ,NA
EX_23ccmp,23ccmp_e --> ,NA
EX_lac__D,lac__D_e --> ,NA
EX_lac__L,lac__L_e --> ,NA
EX_feenter,feenter_e --> ,NA
EX_feoxam,feoxam_e --> ,NA
EX_feoxam_un,feoxam_un_e --> ,NA
EX_for,for_e --> ,NA
EX_lcts,lcts_e --> ,NA
EX_23cgmp,23cgmp_e --> ,NA
EX_leu__L,leu__L_e --> ,NA
EX_lipa,lipa_e --> ,NA
EX_fru,fru_e --> ,NA
EX_frulys,frulys_e --> ,NA
EX_lipa,lipa_cold_e --> ,NA
EX_fruur,fruur_e --> ,NA
EX_23cump,23cump_e --> ,NA
EX_fuc__L,fuc__L_e --> ,NA
EX_fum,fum_e --> ,NA
EX_lipoate,lipoate_e --> ,NA
EX_lys__L,lys__L_e --> ,NA
EX_lyx__L,lyx__L_e --> ,NA
EX_mal__D,mal__D_e --> ,NA
EX_fusa,fusa_e --> ,NA
EX_23dappa,23dappa_e --> ,NA
EX_mal__L,mal__L_e --> ,NA
EX_malt,malt_e --> ,NA
EX_malthx,malthx_e --> ,NA
EX_maltpt,maltpt_e --> ,NA
EX_manglyc,manglyc_e --> ,NA
EX_melib,melib_e --> ,NA
EX_meoh,meoh_e --> ,NA
EX_met__D,met__D_e --> ,NA
EX_met__L,met__L_e --> ,NA
EX_malttr,malttr_e --> ,NA
EX_maltttr,maltttr_e --> ,NA
EX_26dap__M,26dap__M_e --> ,NA
EX_man,man_e --> ,NA
EX_man6p,man6p_e --> ,NA
EX_metsox_R__L,metsox_R__L_e --> ,NA
EX_metsox_S__L,metsox_S__L_e --> ,NA
EX_mg2,mg2_e --> ,NA
EX_2ddglcn,2ddglcn_e --> ,NA
EX_mincyc,mincyc_e --> ,NA
EX_minohp,minohp_e --> ,NA
EX_tre,tre_e --> ,NA
EX_34dhpac,34dhpac_e --> ,NA
EX_trp__L,trp__L_e --> ,NA
EX_mmet,mmet_e --> ,NA
EX_mn2,mn2_e --> ,NA
EX_3amp,3amp_e --> ,NA
EX_mnl,mnl_e --> ,NA
EX_tsul,tsul_e --> ,NA
EX_mobd,mobd_e --> ,NA
EX_3cmp,3cmp_e --> ,NA
EX_mso3,mso3_e --> ,NA
EX_ttdca,ttdca_e --> ,NA
EX_ttdcea,ttdcea_e --> ,NA
EX_n2o,n2o_e --> ,NA
EX_na1,na1_e --> ,NA
EX_ttrcyc,ttrcyc_e --> ,NA
EX_nac,nac_e --> ,NA
EX_tungs,tungs_e --> ,NA
EX_tym,tym_e --> ,NA
EX_tyr__L,tyr__L_e --> ,NA
EX_tyrp,tyrp_e --> ,NA
EX_nh4,nh4_e --> ,NA
EX_ni2,ni2_e --> ,NA
EX_nmn,nmn_e --> ,NA
EX_no,no_e --> ,NA
EX_no2,no2_e --> ,NA
EX_uacgam,uacgam_e --> ,NA
EX_udpacgal,udpacgal_e --> ,NA
EX_udpg,udpg_e --> ,NA
EX_no3,no3_e --> ,NA
EX_3gmp,3gmp_e --> ,NA
EX_novbcn,novbcn_e --> ,NA
EX_o16a4colipa,o16a4colipa_e --> ,NA
EX_o2,o2_e --> ,NA
EX_o2s,o2s_e --> ,NA
EX_udpgal,udpgal_e --> ,NA
EX_udpglcur,udpglcur_e --> ,NA
EX_ump,ump_e --> ,NA
EX_ura,ura_e --> ,NA
EX_ocdca,ocdca_e --> ,NA
EX_ocdcea,ocdcea_e --> ,NA
EX_urea,urea_e --> ,NA
EX_3hcinnm,3hcinnm_e --> ,NA
EX_uri,uri_e --> ,NA
EX_val__L,val__L_e --> ,NA
EX_octa,octa_e --> ,NA
EX_orn,orn_e --> ,NA
EX_orot,orot_e --> ,NA
EX_xan,xan_e --> ,NA
EX_xmp,xmp_e --> ,NA
EX_pacald,pacald_e --> ,NA
EX_3hpp,3hpp_e --> ,NA
EX_peamn,peamn_e --> ,NA
EX_xtsn,xtsn_e --> ,NA
EX_phe__L,phe__L_e --> ,NA
EX_xyl__D,xyl__D_e --> ,NA
EX_xylu__L,xylu__L_e --> ,NA
