reactions,metabolites,metabolitestotal,gpr,genes
DADNtex_reverse,dad_2_p,dad_2,ECDH1ME8569_0396,ECDH1ME8569_0396
DDPGALA_reverse,g3p_c,g3p,ECDH1ME8569_3580,ECDH1ME8569_3580
DDPGALA_reverse,pyr_c,pyr,ECDH1ME8569_3580,ECDH1ME8569_3580
DGSNtex_reverse_num1,dgsn_p,dgsn,ECDH1ME8569_0229,ECDH1ME8569_0229
DHACOAH_reverse,3hadpcoa_c,3hadpcoa,ECDH1ME8569_1337,ECDH1ME8569_1337
AGPR_reverse,acg5p_c,acg5p,ECDH1ME8569_3826,ECDH1ME8569_3826
DHAtex_reverse_num1,dha_p,dha,ECDH1ME8569_0229,ECDH1ME8569_0229
DHBD_reverse,23dhb_c,23dhb,ECDH1ME8569_0566,ECDH1ME8569_0566
DALAtex_reverse_num1,ala__D_p,ala__D,ECDH1ME8569_0229,ECDH1ME8569_0229
DAPE_reverse,26dap__M_c,26dap__M,ECDH1ME8569_3689,ECDH1ME8569_3689
DAPtex_reverse_num1,15dap_p,15dap,ECDH1ME8569_0229,ECDH1ME8569_0229
DHFR_reverse_num1,thf_c,thf,ECDH1ME8569_1549,ECDH1ME8569_1549
DHNPA2r_reverse,6hmhpt_c,6hmhpt,ECDH1ME8569_2955,ECDH1ME8569_2955
DHNPA2r_reverse,gcald_c,gcald,ECDH1ME8569_2955,ECDH1ME8569_2955
DHNPTE_reverse,dhmpt_c,dhmpt,ECDH1ME8569_2955,ECDH1ME8569_2955
DHPTPE_reverse,dhmptp_c,dhmptp,ECDH1ME8569_2241,ECDH1ME8569_2241
AICART_reverse,fprica_c,fprica,ECDH1ME8569_3866,ECDH1ME8569_3866
AICART_reverse,thf_c,thf,ECDH1ME8569_3866,ECDH1ME8569_3866
DHORTS_reverse,cbasp_c,cbasp,ECDH1ME8569_0997,ECDH1ME8569_0997
DINStex_reverse_num1,din_p,din,ECDH1ME8569_0229,ECDH1ME8569_0229
AIRC3_reverse,5caiz_c,5caiz,ECDH1ME8569_0508,ECDH1ME8569_0508
DURItex_reverse,duri_p,duri,ECDH1ME8569_0396,ECDH1ME8569_0396
E4PD_reverse_num1,4per_c,4per,ECDH1ME8569_2828,ECDH1ME8569_2828
DMSOtex_reverse_num1,dmso_p,dmso,ECDH1ME8569_0229,ECDH1ME8569_0229
DMSOtpp_reverse,dmso_c,dmso,s0001,s0001
DMStex_reverse_num1,dms_p,dms,ECDH1ME8569_0229,ECDH1ME8569_0229
AKGt2rpp_reverse,akg_c,akg,ECDH1ME8569_2514,ECDH1ME8569_2514
DOPAtex_reverse_num1,dopa_p,dopa,ECDH1ME8569_0229,ECDH1ME8569_0229
DOXRBCNtex_reverse_num1,doxrbcn_p,doxrbcn,ECDH1ME8569_1321,ECDH1ME8569_1321
AKGtex_reverse_num1,akg_p,akg,ECDH1ME8569_0229,ECDH1ME8569_0229
DSERDHr_reverse,2amsa_c,2amsa,ECDH1ME8569_1482,ECDH1ME8569_1482
