,kcat,data_type,MW,kcat_MW
COBALT2tex_num5,25774.289347944356,fill,59146,1568786.420934631
FE2tex_num5,25774.289347944356,fill,59146,1568786.420934631
MG2tex_num5,25774.289347944356,fill,59146,1568786.420934631
CA2tex_num5,25774.289347944356,fill,59146,1568786.420934631
CU2tex_num5,25774.289347944356,fill,59146,1568786.420934631
MOBDtex_num5,25774.289347944356,fill,59146,1568786.420934631
FE3tex_num5,25774.289347944356,fill,59146,1568786.420934631
PTRCtex_num5,25774.289347944356,fill,59146,1568786.420934631
SPMDtex_num5,25774.289347944356,fill,59146,1568786.420934631
TR1031_num5,25774.289347944356,fill,59146,1568786.420934631
TR1032_num5,25774.289347944356,fill,59146,1568786.420934631
COt_1_num5,25774.289347944356,fill,59146,1568786.420934631
H2tex_num5,25774.289347944356,fill,59146,1568786.420934631
TR1035_num5,25774.289347944356,fill,59146,1568786.420934631
GLUtex_num5,25774.289347944356,fill,59146,1568786.420934631
GLCGLYCtex_num5,25774.289347944356,fill,59146,1568786.420934631
PC8XM_num2,0.00142,Other_species,46726,0.10940375807901383
PHETA1_reverse_num2,139.099,Database,84704,5911.838874197204
TYRTA_reverse_num3,1033.36211111,Other_species,77404,48060.87023921244
ACOTA_reverse_num2,1.55,Other_species,93134,59.91367277256426
ACODA_1_reverse_num2,340.0678965822785,Other_species,42657,28699.731056947337
BT0003_reverse_num2,0.59,Database,25724,82.56880733944953
BT0003_reverse_num3,0.59,Database,25333,83.84320846326925
BT0007_reverse_num2,0.59,Database,25724,82.56880733944953
BT0007_reverse_num3,0.59,Database,25333,83.84320846326925
FBA_reverse_num2,12.35,Other_species,33149,1341.216929620803
3OAR40_2_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR60_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR80_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR100_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR120_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR140_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
3OAR160_reverse_num2,0.44499999999999995,Database,25724,62.27647333229668
LI0019_reverse_num2,0.59,Database,25724,82.56880733944953
NNATr_reverse_num2,8.681885429166666,Other_species,38532,811.1384704920584
NMNAT_reverse_num2,6.998489143478261,Other_species,38532,653.8607110070004
FBA3_reverse_num2,16.6515,Other_species,33149,1808.362243204923
NTD6_reverse_num2,0.3,Database,24907,43.36130405106998
NTD7_reverse_num2,377.45,Database,30465,44602.658788774
ADK1_reverse_num2,32.576099996,Other_species,20340,5765.681415221239
DADK_reverse_num2,321.90057272727273,Other_species,20340,56973.55269509251
DHORTS_reverse_num2,1.605,Database,76254,75.77307419938626
UMPK_reverse_num2,170.79666666666668,Other_species,165906,3706.1227442045497
UPPRT_reverse_num2,0.024,Database,23638,3.6551315678145357
ICHORS_reverse_num2,1.6320000000000001,Database,132266,44.41957872771536
NAt3pp_reverse_num3,25774.289347944356,fill,47872,1938240.3420078477
NAt3pp_reverse_num4,25774.289347944356,fill,75548,1228191.8998861609
NAt3pp_reverse_num5,25774.289347944356,fill,44753,2073323.3895515315
NAt3pp_reverse_num6,25774.289347944356,fill,57539,1612600.8733658856
Htex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
H2Otex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
