reactions,data_type,kcat,MW,kcat_MW
FRULYSt2pp,ours,15.81730016978087,47575.973000000056,1196.8705424313878
FRUURt2rpp,ours,15.81730016978087,47137.38670000007,1208.006735155113
PHEMEabcpp,ours,15.713091249433704,17698.109800000002,565.6733038676346
PAPA141pp,ours,15.455207313598278,29020.883700000028,1917.1968332912534
MALTptspp,ours,15.455207313598278,18250.83530000001,377.0647919185963
MCOATA,ours,15.455207313598278,32416.84700000001,1355.1829023348362
DHPTDNR,ours,15.455207313598278,23904.896500000003,2327.5041717479844
MALTTRabcpp,ours,15.455207313598278,57012.69250000002,320.4724464311499
SELtpp,ours,15.446401550502312,30291.46790000002,392.9794937890061
ASPCT_num1,ours,15.43406522533158,34426.94620000002,1077.8944457626126
NADH18pp,ours,15.36231331718064,25055.5645,102.33810474777687
URIH_num1,ours,15.36231331718064,33747.65119999997,1638.760801873238
PRPPS,ours,15.206268283842274,34217.885000000024,1599.8231866707176
DXPS,ours,15.206268283842274,67616.15660000016,809.607770901194
GPDDA4pp,ours,15.201717849570077,40842.87450000001,1339.919996533355
GPDDA5pp,ours,15.201717849570077,40842.87450000001,1339.919996533355
FACOAE140,ours,15.197609308948635,31965.918600000045,1711.5539270695324
LCARS,ours,15.052203362191577,40512.90400000003,1337.5474664538892
LPLIPAL1G120pp,ours,15.052203362191577,23621.8715,2293.9728591737394
LPLIPAL1G140pp,ours,15.052203362191577,23621.8715,2293.9728591737394
ARBTptspp_num1,ours,15.012047614591951,66482.15310000026,388.3471999883666
SCYSDS,ours,14.889990166267845,15800.13859999999,889.9377582653326
MNLptspp,ours,14.78459317890808,9119.2594,378.41337939811206
G3PD6,ours,14.78459317890808,45356.710000000094,358.6030603627393
CBPS,ours,14.73996497826874,41430.510300000045,333.1674546442515
NADH17pp,ours,14.736405364362264,68235.30240000018,98.16853520994188
RNTR2c2_num1,ours,14.736405364362264,80021.63100000033,365.9838040692668
TAURabcpp,ours,14.592039167371698,29811.538600000003,568.6835207616584
MICITDr,ours,14.592039167371698,93497.01500000064,561.8504612424017
O16AP2pp,ours,14.592039167371698,44743.76280000008,648.0723544447816
UDCPDPpp_num1,ours,14.592039167371698,29020.883700000028,1810.1220330012923
URACPAH,ours,14.592039167371698,25208.35700000001,2083.8859510970146
ALAALAD,ours,14.590459665152888,21212.805599999992,2476.129550470703
GLYCTO4,ours,14.590459665152888,45109.64480000002,382.6133845573389
FA161ACPHi,ours,14.590459665152888,22960.8319,2287.6198485887785
3OAS181,ours,14.590459665152888,43045.28340000006,1220.2418161928126
AACPS8,ours,14.590459665152888,8639.416499999992,587.9400016991359
GLYt2pp_copy1_num1,ours,14.590459665152888,51659.05060000008,1016.7754572429234
ADNt2pp_copy2,ours,14.590459665152888,46139.31040000012,1138.4143876270475
FE3DHBZStonex_num1,ours,14.590459665152888,15526.81839999999,350.48212527211916
MMCD,ours,14.590459665152888,29172.249800000016,1800.5349314727987
AST,ours,14.590459665152888,38455.42360000003,1365.8841816671695
ACPPAT120,ours,14.590459665152888,8639.416499999992,1121.0639961953311
MMETt2pp,ours,14.590459665152888,50525.197300000094,1039.5932643799947
DAGK181,ours,14.590459665152888,13244.52499999999,3965.8390764901296
TKT2,ours,14.590459665152888,73041.82930000033,719.1174604734352
TMAOR1pp,ours,14.590459665152888,43606.071400000044,380.4528606138093
DHAPT,ours,14.590459665152888,9119.2594,283.9613607483578
EAR100y,ours,14.590459665152888,27863.63610000001,1885.0969272653679
LPLIPAL2A160,ours,14.590459665152888,38977.781800000055,1347.5793739127125
FHL_num1,ours,14.51269708592533,56766.494200000016,111.73890237837543
PSSA160,ours,14.51269708592533,141708.5374000001,368.6842759646686
RNDR1_num1,ours,14.442189819406638,43516.750900000094,358.94689242583115
FECRMabcpp,ours,14.442189819406638,28886.09530000001,392.96618272967976
MPTS,ours,14.442189819406638,8757.826599999995,2019.9913367642384
PA140abcpp,ours,14.442189819406638,64459.97920000018,806.5761732337597
LPLIPAL2E160,ours,14.43339475961709,38977.781800000055,1333.0728105882476
G3PAT160,ours,14.421598186898672,8639.416499999992,519.0748544550912
RNTR4c2_num1,ours,14.309297566898122,17445.723699999995,355.37643187783704
S2FE2SR,ours,14.282025542140412,46822.17320000006,271.4894532533195
G3PAT161,ours,14.282025542140412,8639.416499999992,514.051232986451
GGGABAH,ours,14.282025542140412,28012.69570000001,1835.4282109202886
