WILD TYPE,0.41,8.16,0.6,4.95,0.77,0.07,0.2,0.02,0.04,0.02,0.32,0.01,0.02,0.01,0,0.02,0.01,0.02,8.12,2.38,1.58,5.71,0.8,6.41,0.5,0.25,0.5,13.81,12.88,9.98,9.14,2.16,2.16,1.25,1.25,0.82,0.42,0.23,2.59,5.53,0,0.02,0.08,0.13,0.1,0.17,0.15,0.05,0.04,0.05,0.17,0.17,0.09,0.04,0.11,0.11,0.11,0.11,0.2,0.2,0.08,0.13,0.08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcription factor mutants  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cra,0.38,8.06,0.54,5.12,0.78,0.07,0.2,0.02,0.06,0.02,0.24,0,0,0.01,0,0.03,0.01,0.01,7.47,2.14,1.4,5.3,0.74,5.92,0.45,0.21,0.45,12.71,11.86,9.11,8.39,1.64,1.64,0.8,0.8,0.34,0.46,0.23,2.48,5.41,0,0.02,0.01,0,0.01,0.01,0.01,0,0,0,0.03,0.03,0.01,0.06,0.06,0.06,0.06,0.06,0.04,0.03,0.01,0.04,0,0
CreB,0.41,7.37,0.54,4.33,0.78,0.06,0.19,0.02,0.06,0.02,0.32,0.04,0.01,0.01,0.01,0.03,0.01,0,7.22,2.03,1.47,5.16,0.56,5.83,0.47,0.24,0.47,12.4,11.56,8.89,7.99,1.96,1.96,1.13,1.13,0.7,0.42,0.2,2.37,4.72,0,0.02,0.26,0.14,0.24,0.12,0.14,0.04,0.05,0.04,0.12,0.13,0.16,0.01,0.05,0.05,0.05,0.05,0.01,0.04,0.05,0.08,0.04,0
Crl,0.41,6.33,0.46,4.03,0.74,0.1,0.23,0.01,0.07,0.02,0.36,0.04,0.06,0.05,0.01,0.04,0.01,0.01,6.28,2.11,1.27,4.15,0.85,4.73,0.41,0.21,0.41,10.46,9.75,7.34,7.03,1.83,1.83,1.11,1.11,0.65,0.46,0.07,2.05,4.08,0,0.01,0.37,0.09,0.36,0.46,0.42,0.03,0.03,0.03,0.4,0.4,0.58,0.08,0.09,0.09,0.1,0.1,0.08,0.18,0.04,0.13,0.01,0
Crp,0.34,5.27,0.32,2.61,0.74,0.07,0.27,0.03,0.05,0.01,0.27,0.03,0.01,0.04,0.01,0.03,0,0.02,4.96,1.56,1.13,3.37,0.44,3.93,0.37,0.21,0.37,8.46,7.92,6.1,5.6,1.26,1.26,0.7,0.7,0.38,0.32,0.23,1.72,3.48,0,0.01,0.14,0.12,0.14,0.01,0.06,0.04,0.04,0.04,0.07,0.07,0.06,0.05,0.08,0.08,0.08,0.08,0.06,0.13,0.04,0.18,0.03,0
CsgD,0.41,7.48,0.55,5.31,0.8,0.04,0.25,0.02,0.08,0.02,0.29,0.04,0.01,0.01,0.01,0.04,0.01,0.01,7.47,1.9,1.49,5.54,0.41,6.22,0.48,0.25,0.48,13.03,12.19,9.45,8.46,1.83,1.83,1,1,0.52,0.48,0.21,2.45,5.32,0,0.02,0.28,0.16,0.26,0.13,0.16,0.05,0.05,0.05,0.13,0.13,0.23,0,0.06,0.06,0.06,0.06,0.04,0.1,0.16,0.06,0.05,0
CspA,0.42,7.13,0.55,4.25,0.75,0.08,0.2,0.03,0.04,0.01,0.34,0.01,0.02,0.02,0.01,0.01,0,0.01,7.08,2.28,1.54,4.77,0.75,5.48,0.5,0.26,0.5,11.9,11.06,8.48,7.66,2.01,2.01,1.18,1.18,0.85,0.33,0.29,2.37,4.33,0,0.03,0.01,0.12,0.01,0.11,0.09,0.04,0.04,0.04,0.12,0.12,0.19,0.04,0.06,0.06,0.06,0.06,0.13,0.06,0.13,0.07,0.03,0
CysB,0.34,6.68,0.47,4.73,0.79,0.08,0.21,0.02,0.03,0.01,0.3,0.05,0.01,0.04,0,0.03,0.01,0.04,6.62,1.87,1.18,4.72,0.69,5.24,0.38,0.17,0.38,11.28,10.55,8.32,7.6,1.57,1.57,0.84,0.84,0.59,0.25,0.19,1.99,4.88,0,0.02,0.29,0.28,0.27,0.01,0.08,0.09,0.1,0.09,0.06,0.04,0.26,0.01,0.08,0.08,0.08,0.08,0.36,0.28,0.01,0.28,0.04,0
CytR,0.45,6.9,0.55,3.55,0.76,0.09,0.19,0.02,0.01,0,0.35,0.01,0.02,0.01,0,0,0,0.01,6.75,2.14,1.37,4.58,0.77,5.18,0.44,0.21,0.44,11.27,10.43,8.08,7.05,2.03,2.03,1.2,1.2,1.1,0.1,0.27,2.13,3.71,0,0.01,0.02,0.11,0.01,0.13,0.08,0.04,0.04,0.04,0.08,0.08,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.01,0,0.01,0.02,0
DcuR,0.42,7.49,0.57,5.19,0.76,0.07,0.2,0.04,0.02,0.01,0.28,0.01,0.01,0.01,0.02,0.03,0.01,0.04,7.48,2.3,1.55,5.16,0.75,5.87,0.5,0.26,0.5,12.66,11.8,9.41,8.29,1.77,1.77,0.92,0.92,0.86,0.07,0.47,2.34,5.16,0,0.13,0.08,0.15,0.05,0.07,0.15,0.05,0.05,0.05,0.28,0.28,0.37,0.22,0.3,0.3,0.3,0.3,0.39,0.09,0.42,0.33,0.08,0
EvgA,0.36,9.13,0.59,4.72,0.8,0.05,0.22,0.03,0.05,0.01,0.26,0.05,0.01,0.01,0.02,0.06,0.01,0.01,8.17,2.13,1.55,6.01,0.58,6.69,0.49,0.23,0.49,14.11,13.15,10.23,9.03,2.25,2.25,1.3,1.3,0.94,0.37,0.32,2.68,5.29,0,0.28,0.42,0.13,0.69,0.54,0.78,0.04,0.04,0.04,1.05,1.06,0.55,0.52,0.56,0.56,0.57,0.57,0.06,0.52,0.35,0.16,0.04,0
