,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b2066,383.666372,529.4940383,263.1040042,145.3091669,154.5876145,139.7828639,159.5721705,,161.0650995,157.3850454,208.69768,180.2479932,,240.114626,194.0432694,,207.9859434,208.7526748,,122.9929669,,228.8220671,,269.4388454,,274.0780221,,60.08125,65.425,55.94210526,65.49519231,63.16289593,59.42608696,69.75833333,68.588,82.53543307,80.58527132,61.99236641,77.48863636,65.43181818,88.73605948,68.14695341,78.59139785,67.75704225,82.93515358,83.02364865,69.57718121,78.79,88.6920904,87.31331593,90.45862884,103.6480186,116.233945,,,,,
b2068,10.69226641,28.75511699,8.345532064,5.049668076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2069,22.56895048,20.21954153,37.79480504,19.10454115,,,,,,,,,,,,,,,,,,,,,,,,0.2125,0.35625,0.968421053,1.326923077,1.162895928,2.956521739,1.104166667,1.308,2.338582677,1.317829457,5.297709924,1.890151515,1.189393939,2.758364312,3.121863799,2.35125448,7.612676056,1.174061433,2.277027027,0.677852349,10.09333333,15.56779661,6.65535248,8.219858156,11.16083916,28.5206422,,,,,
b2074,99.32570943,113.2972449,50.38045675,14.70547404,,,,,,,,,,,,,,,,,,,,,,,,46.66875,46.675,28.49473684,25.61538462,50.05429864,49.56521739,25.8125,33.64,46.75984252,39.74031008,41.78625954,45.93939394,44.81439394,25.95167286,31.98566308,47.77777778,44.51056338,38.81911263,48.625,70.68791946,15.4,19.03954802,23.94255875,5.955082742,16.42424242,3.621559633,,,,,
b2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.025,0.521052632,0.394230769,0,0.204347826,0.408333333,0.248,0.437007874,0.313953488,0.450381679,0.416666667,1.348484848,0.416356877,0,0.028673835,0,0,1.773648649,0,,,0.065274151,,0.002331002,,,,,,
b2078,36.38576031,59.55679565,25.02410975,11.55761143,,,,243.8936831,,,,,,,,,,,73.49142437,,,,,,,,,3.41875,3.475,5.810526316,4.798076923,3.981900452,8.865217391,5.325,4.144,5.547244094,5.058139535,4.56870229,5.890151515,5.958333333,4.732342007,2.655913978,4.666666667,3.228873239,3.177474403,5.878378378,7.731543624,1.363333333,4.048022599,2.216710183,0.446808511,3.398601399,0.768348624,,,,,
b2079,105.0104177,217.2513547,92.94964944,67.0562216,,,,,,,,,,,,,,,,,,,,,,,,58.7875,92.19375,47.45263158,54.52403846,88.58371041,71.45217391,49.00833333,52.552,67.2007874,58.82945736,73.54580153,68.5,68.01515152,50.50185874,122.2831541,97.5125448,97.28873239,108.0409556,73.54054054,145.8288591,50.05666667,44.61581921,56.61357702,22.53900709,43.84149184,22.82798165,81.28,75.91,65.36,56.3,60.9
b2080,3197.563325,10801.35096,1026.060459,344.0717897,2454.568803,2469.965852,2629.071598,2596.841118,2258.846613,1632.888334,1178.279886,1425.583754,890.3006003,639.2404012,1222.073526,776.5338129,467.6903136,318.4305642,291.4309037,483.9388614,794.7353851,266.3304738,,141.1089922,,118.5620765,,882.8,764.24375,330.9210526,233.6153846,395.3393665,151.6913043,173.9625,107.796,170.3543307,122.8992248,206.7824427,138.9810606,173.1780303,131.8066914,260.7455197,109.9139785,136.0035211,341.1296928,97.30405405,188.5939597,2.01,0.785310734,28.96605744,0.245862884,38.37529138,0.355504587,2976.3,1824.62,929.29,610.69,400.01
b2081,191.6427801,165.2045179,301.7498813,188.9898889,157.4837667,170.3453321,140.400404,156.6958398,,149.714175,176.6083558,175.4044357,179.7212699,180.6063233,163.6587059,,184.3584185,183.6352241,177.1595546,169.0190392,224.877267,194.0187331,,209.2597546,,221.0212373,,21.74375,25.18125,62.71578947,58.65384615,37.2760181,73.50434783,69.06666667,48.036,68.72047244,74.82170543,75.59923664,64.09090909,56.90909091,81.73234201,73.85304659,90.4516129,93.25,81.57679181,77.35135135,128.6040268,115.2,120.5141243,71.18276762,130.1654846,159.3473193,221.6651376,80.59,118.27,126.63,118.43,127.72
b2086,76.66593525,230.3776514,50.90089076,19.05515472,,,,,,,,,,,,,,,,,,,,,,,,92.24375,90.43125,49.85789474,41.5625,37.09049774,43.04782609,29.89166667,18.316,34.55511811,21.86821705,29.26717557,26.20075758,25.87878788,24.70260223,41.57706093,28.3297491,14.67957746,62.74061433,16.27364865,15.37583893,,,11.85639687,,9.571095571,,167.38,111.12,87.82,46,
b2091,1653.743538,450.5812539,2049.750434,148.8106681,3987.699529,4532.004426,3678.759841,2878.532873,2906.461538,2001.735087,3410.015991,2061.544336,1440.172373,2774.863849,5332.94156,2702.133706,1532.918457,1439.211312,939.4975922,4395.519565,2748.271425,2763.428693,1764.644421,2647.822714,1740.544874,1905.604264,746.0688398,59.10625,57.84375,674.7789474,579.6394231,326.6651584,471.8478261,550.4291667,243.976,369.4409449,355.6511628,237.6374046,234.219697,282.6174242,289.8141264,53.37634409,126.8422939,45.18309859,35.66211604,138.7162162,80.28187919,15,11.12711864,170.3890339,31.14893617,286.5897436,7.770642202,7111.86,,,,
b2092,846.3857416,1243.151518,4688.533369,409.4650105,5097.366798,5249.130055,6110.958064,3936.982417,5236.612067,4972.060847,4637.595286,6331.739634,3488.148023,2650.281576,5576.040492,5504.213791,2178.019369,1686.039129,1630.105719,4159.783785,4426.998655,3506.26877,3597.445823,3065.38875,2683.687596,2029.713272,1500.684592,110.15625,86.125,1999.989474,2299.745192,518.3484163,1049.36087,2692.654167,1099.216,1182.287402,1256.612403,1167.114504,869.1325758,979.2462121,1794.052045,77.89964158,393.8566308,204.3591549,126.9351536,692.1959459,107.4731544,1.83,3.076271186,537.8120104,2.453900709,831.4125874,5.805045872,2937.04,,,,
b2093,8196.317554,2007.854897,22520.15578,2363.393757,75515.25206,69603.0171,81192.59163,44426.61047,41066.54003,72783.76295,55899.99098,44568.75511,44784.74069,28224.55456,68005.57788,39649.003,23053.27363,16668.65703,16511.53563,52088.95385,35413.4762,43594.18286,24838.20901,25870.53692,18679.53583,19237.42138,7808.838827,1307.39375,729.7875,18193.63684,22050.10096,8801.199095,16782.39565,27534.7625,5404.636,9542.413386,9948.949612,7767.557252,6673.689394,5633.882576,15561.39777,1884.376344,3726.168459,2273.78169,1478.836177,4093.077703,1193.077181,1222.726667,838.2627119,7770.668407,2978.529551,7034.247086,174.1536697,26208.83,,,,
b2094,5080.064734,2150.481481,7324.369245,1255.133263,25950.6385,27235.33819,25805.7047,23982.53668,28279.37023,26394.64585,23820.80923,31092.33824,20557.21412,16920.09172,26759.71135,27931.40427,14761.68141,11810.08927,11927.24763,23881.31935,25151.22556,21741.86381,20433.97175,19891.8764,16059.59377,13706.34078,5851.230978,332.7375,203.5,5593.852632,6314.350962,3105.126697,9850.395652,8108.975,4905.424,6096.712598,5178.275194,4918.423664,5103.189394,3883.814394,6544.687732,1087.043011,2255.691756,1996.771127,1274.204778,2692.128378,518.852349,1650.673333,53.71186441,4728.561358,2902.309693,5059.923077,24.58715596,12658.07,17521.76,13581.1,10396.13,4858.61
b2095,284.8333252,393.2953871,4723.337414,439.721221,28955.91785,57559.38373,30166.70015,16624.99844,22340.51589,28952.72989,33818.90467,30240.28098,21046.32776,24086.16775,23732.39002,22444.58266,22458.94595,22648.41205,17307.53789,31278.08895,20145.16307,31647.50066,24511.53683,24299.57899,17053.15257,20616.46821,14133.17517,179.93125,193.3375,1329.778947,1272.802885,3170.742081,5115.617391,1692.554167,2518.436,2173.531496,2253.790698,2511.206107,1095.439394,1377.602273,1414.505576,287.3763441,916.7526882,497.5739437,334.1433447,1474.067568,340.7651007,257.02,104.8559322,1290.592689,1431.146572,2871.748252,46.37844037,25648.84,,,,
b2096,10607.58847,2414.660125,16607.32152,1142.477568,55071.58043,58053.42761,62055.36445,48837.68784,56425.94187,52111.03489,39431.37855,51090.34677,28004.69125,21272.54296,42465.55823,41949.78622,15550.15032,11902.43725,11893.94116,31575.30741,31202.2304,23724.2211,23949.16729,19545.98027,17129.06485,13093.78079,9997.579782,570.0625,499.7125,10209.99474,7924.379808,7134.886878,16954.2913,9599.579167,6834.736,10619.80315,9956.472868,5930.129771,5303.060606,7558.560606,8336.769517,945.2795699,2635.397849,1739.066901,1328.023891,4150.209459,626.4899329,1676.373333,77.23163842,3205.446475,3765.283688,2657.888112,85.38073394,32059.5,,,,
b2097,298.1807535,238.555485,87.71370266,36.02934292,4428.047702,4830.322002,6356.898539,5217.317863,5247.361174,3464.724572,3105.361698,3805.744217,2767.157966,2386.608341,3191.780823,2536.65295,1701.759868,1543.449435,1564.217433,1928.865684,1462.874856,1138.899447,867.5529161,679.1731185,668.5107531,566.8522185,549.8090366,2428.96875,2821.5375,2406.168421,2028.423077,2043.280543,1837.378261,1542.358333,1314.164,1676.287402,1461.112403,1292.70229,1276.920455,1624.306818,1337.304833,1503.003584,996.2293907,760.4647887,2228.709898,839.2668919,1435.92953,233.7933333,128.8163842,348.9086162,92.07328605,275.4638695,63.17889908,5498,9221.58,5753.83,4058.9,3568.71
b2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05,11.6875,13.85263158,25.70192308,15.83257919,17.70869565,37.59583333,21.604,30.03543307,26.02713178,26.37022901,14.63636364,,23.71003717,16.49462366,,22.77816901,25.04095563,,14.96308725,,,,,15.58041958,,,,,,
b2103,,,,,617.5610282,576.1255744,551.1093448,606.7266703,524.4647561,545.4049422,523.1690855,479.7337617,449.4421909,437.2921087,443.0974596,426.9991003,418.9890242,406.0013278,416.0602624,410.6014535,422.6473281,367.9382121,373.803818,379.242066,457.572893,375.780658,363.5823252,2.075,1.9375,4.231578947,4.639423077,2.619909502,4.986956522,4.941666667,10.088,7.767716535,7.968992248,5.687022901,21.23106061,,3.639405204,7.544802867,,9.816901408,3.225255973,,8.218120805,0.98,1.737288136,,7.6643026,33.27738928,5.44266055,1531.2,1421.96,1163.35,1104.66,1053.38
b2104,,,,,497.6784875,458.4178898,464.2223754,481.4731531,443.5344718,407.2561406,470.8691531,384.2523985,379.5968097,375.2368497,395.8247986,316.8180267,372.8159152,355.3980116,371.6233235,374.5143629,323.2308591,375.6367093,357.381706,336.2950155,317.2556838,319.5426399,304.5568696,0.0125,0.1875,0.352631579,0,0.352941176,1.4,1.054166667,0.988,2.192913386,0.647286822,2.393129771,1.049242424,,0.758364312,0.189964158,,1.225352113,0.686006826,,0.211409396,,,,,25.23543124,,1381.04,1392.81,1182.95,1063.81,1123.45
b2105,229.0984343,644.8737128,121.7319892,98.36917432,858.3341434,1001.223033,,,,,748.9333918,,,600.7157357,560.8436674,482.2009487,806.1582463,,763.4272807,,,495.7861289,,411.7198197,,,,210.0125,262.7,126.8842105,123.4086538,127.8235294,145.8869565,109.2916667,173.88,157.7795276,112.6860465,150.610687,149.0454545,109.8030303,96.40892193,200.0573477,120.8853047,173.9049296,162.3788396,75.62162162,161.5771812,140.53,121.5112994,86.72062663,20.38061466,29.56876457,20.97018349,433.94,458.77,346.39,316.5,346.49
b2107,321.7433155,474.9075822,268.2144782,111.6317238,,,,,374.5251596,,,,,,,,,,,176.3173876,,,,,,,,329.675,257.73125,150.0684211,169.8653846,177.0588235,158.8521739,145.1541667,185.532,163.4330709,152.1899225,186.5572519,165.6136364,139.6931818,157.2081784,216.7562724,158.0501792,156.4929577,267.4027304,158.7601351,224.9865772,166.89,175.9293785,158.45953,194.9361702,205.7925408,315.603211,458.05,459.87,,555.42,319.89
b2113,966.0872262,1681.367506,859.2376899,575.1119245,472.3261406,483.7462291,408.2235316,466.1314722,464.7419265,478.8982246,459.6928459,460.4299597,477.0251713,457.000322,472.817828,473.9196559,488.292252,518.8188747,534.1556899,454.7472678,520.0729969,461.1716594,464.2508168,497.3281172,511.9494058,542.1967657,586.0850818,311.95625,260.7625,217.7631579,226.1105769,330.6923077,306.273913,239.8166667,363.72,340.0511811,369.5581395,384.4465649,353.4318182,334.4166667,296.1598513,331.6523297,383.0860215,463.6091549,509.7576792,410.5574324,542.761745,439.2833333,395.4237288,378.8668407,512.6099291,483.6783217,569.059633,571.01,579.79,609.04,580.82,740.29
b2114,1013.592568,1700.137761,924.0457542,668.3683202,954.4186736,965.1350854,802.8020623,855.6075069,897.3827967,951.4315053,967.6873296,911.5284395,986.3818926,950.736231,873.5755897,951.8069103,1027.539429,1072.538116,1115.740112,913.9492976,961.3964157,902.3319878,989.7160718,973.0694793,1019.822459,951.3265915,1092.707359,413.625,443.25625,442,468.0432692,465.5248869,475.5826087,494.0875,566.88,501.5354331,501.8914729,508.4312977,555.6666667,560.2272727,559.7137546,470.6415771,599.1505376,733.1971831,553.4197952,648.7871622,750.3825503,717.3066667,738.4378531,497.1932115,537.1938534,599.4219114,617.2477064,977.41,1087.51,1078.79,1110.5,1214.21
b2124,60.70524045,83.76997726,65.15911805,32.61585087,,,,,,,,,,,,,,,,,,,,,,,,10.95,8.05,9.3,5.8125,5.2760181,7.891304348,6.566666667,9.572,7.381889764,5.96124031,7.923664122,14.17045455,5.068181818,7.866171004,6.53046595,8.23297491,11.63028169,4.139931741,7.675675676,8.27852349,33.21333333,31.58474576,4.352480418,29.60756501,19.01864802,50.84633028,,,,,
b2125,72.7523673,27.54116962,66.81345512,12.10407642,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.16875,3.926315789,3.8125,2.886877828,3.934782609,3.904166667,5.608,3.456692913,4.240310078,3.438931298,3.890151515,3.113636364,3.513011152,0.315412186,1.76344086,0.612676056,0.535836177,2.402027027,0.268456376,,,3.026109661,,4.566433566,,765.26,897.18,732.81,617.9,373.69
b2126,8.150238467,5.984625847,11.96159472,2.093337547,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.205263158,1.908653846,0.058823529,0.808695652,1.558333333,1.808,0.460629921,0.217054264,0.003816794,0.507575758,0.075757576,1.992565056,0.003584229,0.23655914,0.003521127,0.071672355,0.003378378,0.05033557,,,0.409921671,,0.137529138,,,,,,
b2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,112.7875,83.06842105,20.27403846,41.68325792,12.06521739,99.1875,48.792,45.70866142,42.77131783,36.15648855,63.12121212,,42.96654275,26.5125448,,41.48591549,52.29692833,,27.03691275,,,,,16.56177156,,,,,,
b2131,377.5880419,823.4373467,449.476511,165.1205544,478.727057,597.4314088,174.2868703,,290.7703069,197.2211201,360.9857734,,198.7756077,244.9063849,247.4117154,,196.254656,201.3438513,219.4766166,213.6502254,202.3470952,163.2966215,,189.2491163,268.7321561,201.4971659,,99.95,83.59375,85.42105263,76.29326923,129.0542986,41.72173913,54.475,42.564,60.96456693,72.71705426,60.59541985,51.57954545,83.27272727,37.12639405,107.2903226,44.46953405,41.66549296,81.50853242,47.53378378,51.5738255,22.62,7.302259887,25.46475196,8.872340426,17.77622378,2.383027523,1928.64,1313.05,985.25,938.17,725.51
b2132,293.6705961,377.9847328,221.0637174,98.04989449,179.1717179,128.1564141,174.2638225,165.5606913,183.4950945,155.9113763,168.4892201,167.0239438,167.8091975,188.946229,182.3900186,203.1702884,171.6226973,158.6197059,179.6559172,199.5230743,165.503794,181.5878373,202.3473672,196.6687338,183.6115921,172.4702818,171.5578049,35.83125,33.89375,29.38421053,38.14423077,33.54298643,50.66521739,41.69583333,62.9,54.56299213,44.9379845,47.61450382,56.73106061,45.0719697,41.99256506,34.00358423,49.2078853,55.35211268,29.67576792,42.78378378,40.69463087,68.71666667,91.05084746,67.64490862,76.44680851,75.51515152,79.51376147,139.14,181.53,174.01,153.1,181.23
b2133,965.1847386,965.6525523,787.5944679,279.8621339,1126.953326,1128.16389,1092.240259,1107.591066,1125.767768,1138.042344,991.8107734,1136.65658,922.5322488,821.2475647,936.3951064,881.3757242,755.5016075,683.2721077,621.4042172,778.3414894,749.2973432,560.5318737,471.9672132,450.0091848,412.0817473,385.6172237,393.0690476,248.01875,275.21875,311.1684211,250.5,232.5022624,292,259.9625,230.9,271.9133858,234.0930233,220.2137405,210.9621212,217.0568182,245.2713755,231.4014337,267.8709677,214.1478873,205.6245734,185.0506757,143.3187919,71.87666667,80.05649718,161.6109661,45.36406619,104.6946387,30.35321101,1027.69,1151.32,1131.08,851.33,614.35
b2134,2.349463911,34.42827621,27.87229966,38.97158852,,,,,,,,,,23.95741598,,,,30.32834509,,,,,,,,31.75985478,,0.11875,0.0125,0.026315789,0.014423077,0.018099548,0.004347826,0.008333333,0.032,0.003937008,0.003875969,0.003816794,0.003787879,0.003787879,0.003717472,0.010752688,0.010752688,0.003521127,0.003412969,0.016891892,0.030201342,0,0.514124294,0.002610966,0.061465721,0.002331002,0.128440367,,,,,
b2137,17.45021893,102.0806031,27.75436517,11.34090047,,,,,,,,,,,,,,,,,,,,,,,,58.18125,62.1375,77.75789474,46.33173077,29.21719457,33.18695652,23.1,13.884,26.43700787,15.9379845,33.03816794,23.03409091,17.01136364,12.73977695,26.60573477,4.781362007,25.21830986,21.68600683,9.165540541,7.617449664,,,10.53263708,,11.45687646,,402.26,228.28,136.02,132.85,102.29
b2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.005263158,0.004807692,0.004524887,0.004347826,0.004166667,0.004,0.003937008,0.007751938,0.003816794,0.003787879,0.003787879,0.003717472,0.003584229,0.003584229,0.003521127,0.04778157,0.003378378,0.003355705,1.113333333,0.97740113,1.671018277,1.479905437,0.002331002,1.438073394,,,,,
b2142,2.549035299,52.01389152,67.10731984,29.57708956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2143,516.2172305,1726.439881,310.7008188,128.5157484,260.6943393,281.4172804,325.6646347,,,134.5905319,202.7915612,188.068707,137.1154117,137.5630712,146.6077407,,112.6496525,113.8905129,,92.38891667,88.51833231,72.01142952,,53.65475603,55.68529229,58.12247167,45.54686017,465.4875,530.24375,232.4631579,165.8894231,89.50678733,106.6826087,131.45,74.508,110.7952756,90.51550388,107.6984733,79.92045455,122.8787879,94.12267658,237.9641577,118.1792115,90.35211268,281.5017065,67.14527027,172.4798658,89.21,57.55932203,52.02088773,927.0591017,787.8904429,776.6788991,1833.58,1043.51,584.94,556.79,421.59
b2144,16.55253093,29.49504208,23.97192305,9.967431405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33125,0,0.226315789,0.264423077,0.755656109,0.847826087,0.154166667,0.56,0.480314961,0.399224806,0.316793893,0.151515152,0.371212121,0.394052045,0.562724014,0.318996416,0.38028169,0.003412969,0.375,0.211409396,0.15,0.217514124,0.268929504,4.891252955,23.54545455,0.231651376,,,,,
b2148,554.3650272,379.217858,465.8472043,13.81490109,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.01875,10.60526316,15.33653846,24.14479638,3.573913043,10.65416667,4.82,5.661417323,5.620155039,4.874045802,3.954545455,9.310606061,13.0929368,0.17921147,0.867383513,0.186619718,0.078498294,1.763513514,0.218120805,0.163333333,0.514124294,5.524804178,4.846335697,7.986013986,3.139908257,,,,,
b2149,787.7199064,437.8552645,700.9458,51.33371933,664.7079434,837.4324309,691.5069811,531.6099853,589.4501346,566.8419396,671.1316171,645.4717777,559.4653753,484.8368129,800.3642568,692.2175466,356.9821826,194.4292198,206.439408,842.5373789,610.3460595,1011.254503,734.6335394,988.659868,511.7074152,581.7589282,114.9374053,14.825,12.9375,205.3894737,186.6923077,241.2579186,49.79565217,201.2875,84.256,92.91338583,96.6124031,77.45038168,64.40530303,125.5492424,133.7769517,8.096774194,30.6702509,8.919014085,6.375426621,41.375,14.2852349,2.71,8.344632768,58.75979112,29.42553191,78.21212121,18.25229358,509.71,486.27,475.47,267.41,105.54
b2150,12668.02002,5204.287536,11700.44522,768.8358726,67532.65347,53533.09599,70733.41405,15243.794,36372.47517,41132.23566,57706.87736,59421.77877,29689.71706,27858.13434,70766.73746,42532.47405,17860.57506,8087.282156,7440.782156,29094.27223,29680.01724,64778.96146,43069.3636,78757.90897,35136.04951,18853.42347,1614.526467,2217.55,1726.0625,10399.19474,11481.39904,39267.29864,8500.426087,12333.34167,7195.968,11272.0748,10484.5814,6794.274809,6627.477273,13793.44318,7713.925651,925.1577061,2026.996416,1134.93662,1039.59727,3278.628378,1103.47651,313.1866667,504.579096,5668.741514,4453.01182,4695.258741,1578.78211,16567.7,,,,
b2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.005263158,0.052884615,1.266968326,0.217391304,0.05,0.004,0.003937008,0.065891473,0.003816794,0.003787879,0.003787879,0.003717472,0.003584229,0.003584229,0.003521127,0.003412969,0.003378378,0.003355705,,,0.002610966,,0.002331002,,,,,,
b2153,1040.733316,550.7413378,1102.173975,1057.144178,2225.678032,2131.094324,1623.516501,1471.912688,1593.088909,2336.110091,2358.365812,1793.572156,2318.383636,2536.613958,1706.489211,1771.662455,2554.073377,2721.522668,2818.03074,1757.032276,1876.885714,1657.257185,1822.290076,1762.262246,1723.000647,1690.857071,1939.686436,641.41875,719.6875,681.2736842,1003.519231,1568.343891,1269.643478,1328.608333,2040.964,1911.818898,2032.472868,2225.21374,2591.829545,1612.522727,2146.98513,3639.082437,3588.362007,4991.679577,3351.829352,2973.415541,2283.271812,3892.276667,3307.40678,672.0339426,429.4539007,386.6853147,379.9724771,1451.99,1748.16,1859.39,1913.08,2229.74
b2154,439.4801943,424.324864,394.9251063,145.2841889,,,,,176.5897618,,,134.0518273,,,161.2112427,,,,,156.758985,,,,,,,,65.525,46.7625,62.58947368,68.93269231,62.6199095,65.03478261,80.5875,54.384,61.95275591,65.70155039,64.05725191,63.42045455,68.24242424,87.30855019,72.1218638,46.17562724,45.48943662,45.60750853,52.05743243,33.98322148,43.25666667,25.88700565,37.91644909,14.00945626,21,16.74770642,380.91,460.97,440.75,330.23,300.08
b2155,684.9257073,782.0360639,384.4683927,206.2977746,52.01462202,42.80610481,40.10768466,,74.64636733,41.98704452,62.1922333,89.38055443,77.09787298,79.36335859,90.71866101,111.7315375,80.85663195,68.90379876,87.60909084,93.69027149,134.8057658,75.65683734,107.3566532,105.5839183,90.57783332,38.53174768,64.14289466,1947.49375,1913.55,58.95789474,56.03365385,81.36651584,101.8086957,105.05,140.864,163.8031496,167.5930233,320.5076336,179.6590909,140.4393939,136.5724907,1934.695341,900.3655914,202.4190141,152.0853242,292.6959459,142.0604027,163.2466667,222.9152542,277.6109661,33.40425532,63.48484848,44.98623853,,,,,
b2156,297.0213808,940.7711412,209.5743862,191.5086101,,43.89651256,,,,,,,,68.69525268,,,,183.3333203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2157,171.438432,339.7678496,100.2663384,56.91933273,,,,,,,,,,,,,,,,,,,,,,,,18.05625,13.50625,19.64736842,21.79807692,13.02262443,28.62608696,18.60833333,18.24,26.38188976,10.63565891,26.20229008,27.99621212,13.125,22.42379182,9.885304659,12.81362007,43.02112676,14.23549488,14.15540541,17.81879195,11.77666667,8.949152542,27.04699739,12.87943262,37.44522145,15.65137615,,,,,
b2159,16.66818147,28.78869715,68.90770013,47.04184405,,,,,,,,,,,,,,57.37687596,,,,,,,51.46164611,,,166.0875,132.14375,56.06315789,60.95192308,110.8506787,53.74347826,64.64583333,82.068,58.77559055,87.4496124,87.1870229,74.8219697,89.86742424,70.03717472,181.5017921,134.265233,72.33450704,152.21843,88.53378378,146.0671141,70.88333333,84.03954802,88.88772846,79.79905437,65.46853147,89.41055046,,,,,
b2165,46.93215967,22.20427829,56.0334129,2.59366907,,,,,,,,,,,,,,,,,,,,,,,,10.575,2.53125,36.05263158,66.71153846,20.33936652,11.60869565,56.95416667,11.668,24.4015748,28.36821705,25.73282443,15.54166667,23.5719697,22.73977695,15.85304659,1.35483871,2.496478873,1.948805461,10.65540541,1.533557047,2.856666667,0.68079096,25.65535248,7.146572104,20.16783217,0.513761468,,,,,
b2167,301.7464808,1551.373245,119.4778672,59.44796034,63.23396308,82.57956192,74.26639128,,,66.56675113,58.45199185,,,51.68160894,54.94803054,,52.40991057,42.07754986,39.25882321,88.77766078,,49.56835226,,,,42.44372563,,104.40625,129.79375,127.6789474,109.5336538,79.04977376,52.36956522,88.825,47.8,55.31496063,53.91472868,111.6145038,62.59848485,79.00757576,88.75836431,78.05017921,82.1827957,60.70422535,57.63481229,1136.550676,90.39597315,4.753333333,14.11581921,48.72584856,14.29314421,66.45221445,30.21788991,217.66,183.18,182.18,143.49,108.8
b2168,211.2194635,1104.811595,126.6169526,93.24204758,72.59305706,86.68440824,90.0700121,76.83116798,69.15579369,,76.95972857,74.58883882,90.97237533,88.84887552,79.5901415,89.41452992,95.1951265,64.20127946,87.84744519,89.07554415,83.50926702,83.2337933,85.93544637,75.18221045,,68.40933724,,24.5125,38.9875,41.03157895,32.54326923,38.61538462,10.34347826,32.7875,16.684,21.60629921,32.46124031,36.9351145,31.64393939,29.35984848,42.46840149,36.21505376,51.43727599,19.87676056,22.6996587,832.6722973,26.68791946,15.95,12.82485876,29.08355091,31.88179669,38.73659674,25.10321101,167.38,160.62,154.4,169.58,136.59
