,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0180,,,,,1887.536689,1833.253682,1643.577044,1686.863864,1778.753102,2067.621944,2088.582364,2023.139122,2242.429516,2441.361813,2101.736683,2087.469932,2453.079596,2567.053852,2576.146558,2302.535368,2313.325374,2506.840279,2552.904543,2641.668281,2881.241376,2877.247781,2725.478068,1623.3,1830.03125,1504.231579,1580.110577,1668.959276,1214.178261,1604.570833,1327.352,1210.240157,1549.302326,1775.629771,1595.034091,1834.223485,1858.6171,2175.028674,2034.874552,1735.834507,1755.43686,1902.239865,1935.520134,1397.656667,1343.728814,1806.556136,1689.208038,2126.610723,1458.942661,1988.56,2685.5,3115.06,3448.21,4052.98
b0181,614.5298968,798.9248178,456.2039655,228.922574,592.3127667,609.930591,659.1780985,645.5423659,734.5176667,700.3346947,573.0693539,675.5257089,746.0932018,557.5124306,594.1742321,544.066279,547.9392727,478.4205432,561.5173764,506.3213457,579.3410705,468.6579303,465.3726071,436.2505484,466.3730662,413.9707844,383.8581681,253.55625,240.73125,324.9473684,312.0769231,379.9095023,277.1347826,318.9875,404.2,338.1141732,379.2596899,359.9045802,380.4962121,376.2045455,308.0557621,278.9677419,366.6630824,343.0704225,221.4129693,375.7027027,297.9597315,263.38,358.4915254,316.1488251,264.9172577,346.4265734,361.8073394,1062.82,1025.9,857.4,855.44,588.92
b0182,59.43238568,73.8285239,44.46181759,21.7153611,,,,,,,,,,,,,,,,,,,,,,,,12.1875,6.775,16.12631579,14.25,12.61538462,10.07826087,10.98333333,13.332,11.16141732,7.562015504,11.3740458,11.54924242,6.920454545,10.9070632,7.304659498,9.043010753,10.8943662,6.488054608,10.06081081,7.134228188,8.08,7.901129944,14.39164491,11.69503546,14.96736597,9.974770642,675.02,,451.78,359.07,311.02
b0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99375,0.46875,1.715789474,3.014423077,5.923076923,9.491304348,4.8375,12.08,13.01968504,11.84108527,13.62977099,14.15151515,8.920454545,6.840148699,2.003584229,6.103942652,32.01056338,0.464163823,8.263513514,4.16442953,4.006666667,7.607344633,45.79373368,15.57919622,49.73659674,13.23853211,,,,,
b0184,24.78753613,28.30742558,26.73612732,7.276365835,,,,,,,,,,,,,,,,,,,,,,,,3.01875,2.39375,3.331578947,2.677884615,3.601809955,1.691304348,2.404166667,1.948,1.893700787,2.023255814,2.70610687,1.628787879,2.348484848,2.349442379,2.23655914,2.279569892,1.165492958,1.211604096,2.439189189,2.352348993,,,1.167101828,,6.51981352,,,,,,
b0185,1559.200325,2431.997588,1301.324032,686.5915746,2077.895443,2109.800951,2252.154293,2305.66513,2505.910052,2077.494474,2055.422042,2370.112278,2030.439789,2031.757667,2375.315705,2386.930169,2097.981299,2004.892487,1972.643751,2444.434824,2371.009342,2495.248171,2361.766963,2236.760105,2409.333733,2443.722015,2307.945513,895.2625,984.6875,1000.821053,937.5048077,1053.443439,845.0913043,964.6791667,1161.464,1112.448819,1014.011628,1037.293893,1165.632576,1100.371212,1044.152416,1072.27957,974.1899642,1346.894366,999.3686007,1058.128378,1150.157718,1023.586667,1258.110169,1771.524804,1164.683215,1858.195804,1309.974771,2099.46,2093.06,1760.13,1637.09,1812.89
b0186,16.7970582,41.77983074,10.59019054,3.601576287,,,,,,,,,,,,,,,,,,,,,,,,4.4375,8.9625,11,8.125,3.65158371,4.204347826,5.683333333,2.636,4.385826772,3.062015504,4.480916031,2.522727273,2.814393939,4.360594796,1.358422939,1.777777778,2.024647887,3.119453925,1.726351351,0.973154362,,,1.248041775,,2.223776224,,,,,,
b0187,131.6466338,337.4541324,135.4270424,60.29278462,,,,,,,,,,,,,,,,,,,,,,,,80.70625,171.90625,67.36842105,76.72596154,142.9547511,61.48695652,56.36666667,37.688,44.53149606,69.1627907,58.64122137,50.11742424,80.93939394,47.63197026,117.5770609,73.97132616,48.03521127,112.2730375,90.58108108,30.45973154,29.57666667,39.49435028,30.17493473,5.359338061,25.42424242,16.01605505,317.54,233.23,223.85,210.09,234.15
b0188,60.97911138,107.7527515,52.66112544,36.12185727,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.889473684,3.192307692,1.475113122,1.739130435,2.970833333,2.596,1.952755906,2.042635659,0.003816794,2.295454545,2.564393939,2.784386617,1.35125448,2.534050179,0.278169014,1.965870307,2.989864865,3.61409396,,,0.002610966,,0.953379953,,,,,,
b0189,644.8675076,2079.689354,583.6368365,371.6080763,,,,,,,,,,,,,,,,,,,,,,18.30531521,,433.30625,318.7625,135.9052632,166.5096154,197.4343891,188.6391304,166.6791667,248.752,203.1614173,189.3062016,312.3969466,263.125,194.2840909,172.9925651,441.2078853,268.3333333,259.9119718,563.0819113,244.0371622,481.8590604,308.7133333,234.7740113,177.2872063,289.534279,210.1818182,238.2385321,746.66,736.01,787.55,743.54,822.48
