reaction_id,name,reversible,dG_reaction,source
R_EX_hom__L_e,L-Homoserine exchange,False,0,calculated_from_formation_energies
R_EX_ethso3_e,Ethanesulfonate exchange,False,0,calculated_from_formation_energies
R_EX_14glucan_e,"1,4-alpha-D-glucan exchange",False,0,calculated_from_formation_energies
R_EX_etoh_e,Ethanol exchange,False,0,calculated_from_formation_energies
R_EX_f6p_e,D-fructose 6-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_hxa_e,Hexanoate (n-C6:0) exchange,False,0,calculated_from_formation_energies
R_EX_hxan_e,Hypoxanthine exchange,False,0,calculated_from_formation_energies
R_EX_fald_e,Formaldehyde exchange,False,0,calculated_from_formation_energies
R_EX_15dap_e,"1,5-Diaminopentane exchange",False,0,calculated_from_formation_energies
R_EX_fe2_e,Fe2+ exchange,True,0,calculated_from_formation_energies
R_EX_idon__L_e,L-Idonate exchange,False,0,calculated_from_formation_energies
R_EX_ile__L_e,L-Isoleucine exchange,False,0,calculated_from_formation_energies
R_EX_fe3_e,Fe3+ exchange,True,0,calculated_from_formation_energies
R_EX_23camp_e,"2',3'-Cyclic AMP exchange",False,0,calculated_from_formation_energies
R_EX_fe3dcit_e,Fe(III)dicitrate exchange,False,0,calculated_from_formation_energies
R_EX_fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine exchange",False,0,calculated_from_formation_energies
R_EX_fe3hox_e,Fe(III)hydroxamate exchange,False,0,calculated_from_formation_energies
R_EX_imp_e,IMP exchange,False,0,calculated_from_formation_energies
R_EX_indole_e,Indole exchange,False,0,calculated_from_formation_energies
R_EX_inost_e,Myo-Inositol exchange,False,0,calculated_from_formation_energies
R_EX_ins_e,Inosine exchange,False,0,calculated_from_formation_energies
R_EX_isetac_e,Isethionic acid exchange,False,0,calculated_from_formation_energies
R_EX_fe3hox_un_e,"Fe(III)hydoxamate, unloaded exchange",False,0,calculated_from_formation_energies
R_EX_fecrm_e,Ferrichrome exchange,False,0,calculated_from_formation_energies
R_EX_fecrm_un_e,Ferrichrome minus Fe(III) exchange,False,0,calculated_from_formation_energies
R_EX_k_e,K+ exchange,True,0,calculated_from_formation_energies
R_EX_kdo2lipid4_e,KDO(2)-lipid IV(A) exchange,False,0,calculated_from_formation_energies
R_EX_23ccmp_e,"2',3'-Cyclic CMP exchange",False,0,calculated_from_formation_energies
