n,raw_r2,raw_rmse,log1p_r2,log1p_rmse,log10eps_r2,log10eps_rmse,zero_true_fraction,zero_pred_fraction,lt_0p1_fraction,lt_0p5_fraction,scope,Method,threshold
44,0.42028503476645473,2.590779137934951,0.7476262040694786,0.3695941577248722,-12.426736995460264,1.9776084703418142,0.0,0.11363636363636363,0.0,0.29545454545454547,classic_Zwf,KinLLM,0.2
31,0.29215328044852396,3.0853554931957468,0.6149679576178362,0.43403974490982844,-18.06151911062795,1.9055735390778934,0.0,0.0967741935483871,0.0,0.0,classic_Zwf,KinLLM,0.5
21,0.03555182741031293,3.73591611989192,0.4005309965063846,0.4776919932317045,0.4138253267347751,0.26581511238340005,0.0,0.0,0.0,0.0,classic_Zwf,KinLLM,1.0
126,0.7898892337722165,0.5205635577534857,0.8716690592538836,0.16773102638463566,0.6028390318023016,1.6905223308165669,0.36507936507936506,0.4444444444444444,0.5555555555555556,0.753968253968254,classic_Pgi,KinLLM,0.0
78,0.7539680011900314,0.6614480070700134,0.8310410797687953,0.21268141169657429,-7.207886074180159,1.9073484475280529,0.0,0.1282051282051282,0.28205128205128205,0.6025641025641025,classic_Pgi,KinLLM,0.01
71,0.7433446589265421,0.6932703070529876,0.8177432328213714,0.22286527792401048,-7.781352875902368,1.790259001192202,0.0,0.09859154929577464,0.2112676056338028,0.5633802816901409,classic_Pgi,KinLLM,0.05
56,0.7096696764830017,0.780345672141727,0.7747323580006683,0.2502271370934209,-11.744922116957925,1.9118372827267505,0.0,0.10714285714285714,0.0,0.44642857142857145,classic_Pgi,KinLLM,0.1
42,0.6424540682386279,0.8990777920292676,0.6741958779103581,0.2848535659419441,-28.06726072531876,2.204296842447762,0.0,0.14285714285714285,0.0,0.2619047619047619,classic_Pgi,KinLLM,0.2
31,0.5322171983514535,1.0357759656709267,0.52377762400606,0.3076869968302765,-33.570477728232675,1.8041157240981056,0.0,0.0967741935483871,0.0,0.0,classic_Pgi,KinLLM,0.5
23,0.3706521852677287,1.179776393066662,0.36717300368394734,0.3104314338456549,0.3204025982464044,0.19837820129294756,0.0,0.0,0.0,0.0,classic_Pgi,KinLLM,1.0
126,0.3906997648689141,0.9367959213814265,0.4297507994527813,0.38580844842103296,0.308517228949156,2.2510905160247323,0.35714285714285715,0.4444444444444444,0.5555555555555556,0.7301587301587301,classic_Crp,KinLLM,0.0
78,0.2673836782714145,1.1777456686126901,0.25157816610294403,0.4777787960882125,-10.846914303832525,2.4037507735691412,0.0,0.16666666666666666,0.28205128205128205,0.5641025641025641,classic_Crp,KinLLM,0.01
70,0.21757829024068132,1.2431293153789569,0.16940462583449778,0.5041408443772343,-14.516833011332885,2.5357640735348412,0.0,0.18571428571428572,0.2,0.5142857142857142,classic_Crp,KinLLM,0.05
56,0.07068754134186617,1.3894717844413464,-0.09951944980664695,0.5628270472685709,-25.00425721861866,2.678017707835847,0.0,0.19642857142857142,0.0,0.39285714285714285,classic_Crp,KinLLM,0.1
45,-0.05683927620172424,1.4706333796773414,-0.47538996256432564,0.5944824155033844,-52.861533052025294,2.8755864621860305,0.0,0.2222222222222222,0.0,0.24444444444444444,classic_Crp,KinLLM,0.2
34,-0.20197911815313208,1.489087038252542,-1.2685352554355962,0.6152819129976647,-109.33696928650768,2.864789514570383,0.0,0.20588235294117646,0.0,0.0,classic_Crp,KinLLM,0.5
28,-0.5597565195505734,1.6259050011528802,-2.2404650621484428,0.6636110997972311,-156.61163051994598,2.948524418548865,0.0,0.21428571428571427,0.0,0.0,classic_Crp,KinLLM,1.0
378,0.4321923216330623,1.2507167960352494,0.6181296730566487,0.33077214674856115,0.6005959483175173,1.7078240157928177,0.35978835978835977,0.42857142857142855,0.5343915343915344,0.746031746031746,all_classic,fba,0.0
236,0.3683847474969729,1.5748116730939055,0.5221938558467569,0.410701916106308,-6.960610977870256,1.991205486110232,0.0,0.1016949152542373,0.2542372881355932,0.5932203389830508,all_classic,fba,0.01
213,0.34645545308282377,1.6575907383311195,0.48317852921385307,0.43208733622806883,-8.35948000050209,1.9508668360204433,0.0,0.09389671361502347,0.17370892018779344,0.5492957746478874,all_classic,fba,0.05
